nacionalidad,hombres,mujeres
"ALEMANIA","70","68"
"ANDORRA","3","1"
"ARGELIA","61","39"
"ARGENTINA","79","89"
"ARGENTINA","1","1"
"ARMENIA","0","1"
"AUSTRIA","1","0"
"BANGLA-DESH","3","1"
"BELGICA","22","24"
"BENIN","5","0"
"BIELORRUSIA","2","3"
"BOLIVIA","433","461"
"BOLIVIA","1","0"
"BRASIL","0","1"
"BRASIL","16","57"
"BULGARIA","222","179"
"BULGARIA","1","0"
"BURKINA FASSO","24","8"
"CAMERUN","5","1"
"CANADA","2","0"
"CHILE","10","11"
"CHINA","55","65"
"CHIPRE","2","0"
"COLOMBIA","120","174"
"COREA (REP.)","1","0"
"COSTA DE MARFIL","4","0"
"COSTA RICA","7","7"
"CROACIA","0","1"
"CUBA","46","54"
"DINAMARCA","2","1"
"ECUADOR","2","3"
"ECUADOR","3083","2610"
"EGIPTO","1","0"
"EL SALVADOR","6","7"
"ESLOVENIA","1","1"
"ESPAÑA","36061","36742"
"ESTADOS UNIDOS","6","10"
"ETIOPIA","3","0"
"FILIPINAS","0","1"
"FINLANDIA","0","1"
"FRANCIA","4","2"
"FRANCIA","780","800"
"GAMBIA","15","0"
"GEORGIA","4","5"
"GHANA","380","82"
"GUATEMALA","3","10"
"GUINEA","10","1"
"GUINEA BISSAU","8","0"
"GUINEA ECUATORIAL","4","3"
"HONDURAS","28","77"
"HUNGRIA","0","1"
"INDIA","39","19"
"INDONESIA","0","2"
"IRAQ","3","6"
"IRLANDA","3","4"
"ISRAEL","0","1"
"ITALIA","41","20"
"JORDANIA","2","2"
"KENIA","0","2"
"LETONIA","0","1"
"LIBANO","5","2"
"LITUANIA","11","10"
"LUXEMBURGO","0","1"
"MALI","30","5"
"MALTA","1","0"
"MARRUECOS","3","1"
"MARRUECOS","5023","2722"
"MAURITANIA","6","1"
"MEJICO","9","16"
"MOLDAVIA","2","3"
"MONACO","1","0"
"MOZAMBIQUE","1","0"
"NICARAGUA","106","196"
"NIGERIA","83","35"
"NORUEGA","1","1"
"OTROS PAISES DE AMERICA","0","1"
"PAISES BAJOS","44","31"
"PAKISTAN","135","16"
"PANAMA","2","2"
"PARAGUAY","18","35"
"PARAGUAY","0","1"
"PERU","86","73"
"POLONIA","9","28"
"PORTUGAL","48","29"
"REINO UNIDO","221","216"
"REPUBLICA CHECA","0","1"
"REPUBLICA DEMOCRATICA DEL","1","0"
"REPUBLICA DOMINICANA","46","64"
"REPUBLICA ESLOVACA","1","0"
"RUMANIA","1","0"
"RUMANIA","816","610"
"RUSIA","11","63"
"SENEGAL","131","9"
"SERBIA","0","1"
"SIERRA LEONA","2","0"
"SIRIA","2","0"
"SUECIA","2","2"
"SUIZA","23","25"
"TOGO","3","0"
"TUNEZ","3","2"
"TURQUIA","7","2"
"UCRANIA","21","43"
"URUGUAY","4","5"
"UZBEKISTAN","0","1"
"VENEZUELA","27","41"
"ZIMBABWE","1","0"
