pedania,habitantes,km2,h_km2
"AGUADERAS","794","42.645","18.619"
"ALMENDRICOS","1740","74.942","23.218"
"AVILES","299","40.536","7.376"
"BARRANCO HONDO","30","149.362","0.201"
"BEJAR","52","53.618","0.97"
"CAMPILLO","3947","26.1","151.226"
"CARRASQUILLA","28","26.643","1.051"
"CAZALLA","2909","18.671","155.803"
"COY","354","149.362","2.37"
"CULEBRINA","9","88.974","0.101"
"DOÑA INES","119","149.362","0.797"
"ESCUCHA","864","47.819","18.068"
"FONTANARES","97","41.117","2.359"
"GARROBILLO","69","20.437","3.376"
"GRANJA (LA)","8","149.362","0.054"
"HINOJAR","64","149.362","0.428"
"HOYA (LA)","4083","47.855","85.32"
"HUMBRIAS","15","31.3","0.479"
"JARALES","36","44.411","0.811"
"MARCHENA","1596","22.642","70.488"
"MORATA","575","42.194","13.628"
"NOGALTE","63","31.345","2.01"
"ORTILLO","26","149.362","0.174"
"PACA (LA)","1155","70.17","16.46"
"PARRILLA","301","37.921","7.938"
"POZO HIGUERA","580","24.838","23.351"
"PULGARA","1044","3.165","329.858"
"PUNTARRON","5","50.962","0.098"
"PURIAS","2790","69.792","39.976"
"RAMONETE","1209","49.959","24.2"
"RIO (EL)","522","44.714","11.674"
"TERCIA","3057","20.918","146.142"
"TIATA - LA GRANJA","665","149.362","4.452"
"TORREALVILLA","98","87.257","1.123"
"TORRECILLA","2157","71.941","29.983"
"TOVA (LA)","561","79.443","7.062"
"ZARCILLA DE RAMOS","1049","110.958","9.454"
"ZARZADILLA DE TOTANA","464","71.717","6.47"
"ZARZALICO","113","30.172","3.745"
