pedania,hombres,mujeres
"AGUADERAS","422","372"
"ALMENDRICOS","873","867"
"AVILES","136","163"
"BARRANCO HONDO","14","16"
"BEJAR","30","22"
"CAMPILLO","2004","1943"
"CARRASQUILLA","12","16"
"CAZALLA","1474","1435"
"COY","179","175"
"CULEBRINA","6","3"
"DOÑA INES","64","55"
"ESCUCHA","427","437"
"FONTANARES","55","42"
"GARROBILLO","39","30"
"GRANJA (LA)","4","4"
"HINOJAR","35","29"
"HOYA (LA)","2210","1873"
"HUMBRIAS","12","3"
"JARALES","18","18"
"MARCHENA","819","777"
"MORATA","322","253"
"NOGALTE","33","30"
"ORTILLO","14","12"
"PACA (LA)","558","597"
"PARRILLA","157","144"
"POZO HIGUERA","320","260"
"PULGARA","515","529"
"PUNTARRON","3","2"
"PURIAS","1435","1355"
"RAMONETE","721","488"
"RIO (EL)","280","242"
"TERCIA","1547","1510"
"TIATA - LA GRANJA","331","334"
"TORREALVILLA","47","51"
"TORRECILLA","1141","1016"
"TOVA (LA)","267","294"
"ZARCILLA DE RAMOS","552","497"
"ZARZADILLA DE TOTANA","236","228"
"ZARZALICO","64","49"
