distrito,seccion,hombres,mujeres
"1","1","783","693"
"1","2","602","594"
"1","3","634","715"
"1","4","763","700"
"1","5","565","506"
"1","6","742","769"
"1","7","593","660"
"1","8","496","472"
"1","9","625","568"
"1","10","748","773"
"1","11","735","804"
"1","12","554","575"
"1","13","650","638"
"1","14","642","501"
"1","15","765","699"
"1","16","989","867"
"1","17","816","633"
"1","18","1060","912"
"1","19","2010","1482"
"1","20","597","625"
"1","21","626","720"
"1","22","509","532"
"1","23","687","688"
"1","24","627","661"
"1","25","638","643"
"1","26","513","530"
"1","27","746","696"
"1","28","706","698"
"1","29","833","731"
"1","30","947","919"
"1","31","642","565"
"1","32","1258","1099"
"1","33","516","537"
"1","34","950","879"
"1","35","437","374"
"1","36","511","525"
"1","37","435","453"
"1","38","810","808"
"1","39","655","575"
"1","40","505","568"
"1","41","561","546"
"1","42","561","596"
"1","43","462","465"
"1","44","752","789"
"2","1","613","649"
"2","2","658","629"
"2","3","930","916"
"2","4","850","867"
"2","5","852","876"
"2","6","819","777"
"2","7","825","622"
"2","8","434","388"
"2","9","1082","771"
"2","10","928","896"
"2","11","747","697"
"2","12","873","867"
"2","13","756","661"
"2","14","485","461"
"2","15","512","465"
"2","16","552","497"
"2","17","801","827"
"2","19","372","391"
"2","21","544","519"
"2","22","695","634"
"2","23","507","459"
"2","25","600","584"
"2","26","733","665"
"2","28","385","355"
"2","29","823","698"
