



 IDEXPEDIENTE;NOMBRE;CONTENT-URL;IDORGANISMO;NOMBRE-ORGANISMO;IDTIPO;DESCRIPCION-TIPO;PRESUPUESTO;CPVs
10531030;"Servicios para la vigilancia y protección de los edificios gestionados por la Secretaría General Técnica de la Gerencia de la Ciudad del Ayuntamiento de Madrid";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=df38671f30d5f510VgnVCM1000001d4a900aRCRD";"001302";"perfil.organismo.001302";"2";"Servicios";"3.860.104,89";"79710000-4,Servicios de seguridad;50610000-4,Servicios de reparación y mantenimiento de equipos de seguridad;79711000-1,Servicios de vigilancia de sistemas de alarma;";
10530320;"Acuerdo marco de las obras de reforma, reparación y conservación del conjunto de edificios cuya competencia corresponde al Distrito de Latina para el año 2018-2019.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=6a0864f8c585f510VgnVCM1000001d4a900aRCRD";"001210";"Distrito de Latina";"3";"Obras";"6.566.942,16";"45000000-7,Trabajos de construcción;";
10528260;"Dinamización deportiva en las instalaciones deportivas básicas y apoyo a los juegos deportivos municipales en el distrito de Usera para los años 2018/2020";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=fe0ff727f135f510VgnVCM2000001f4a900aRCRD";"001212";"Distrito de Usera";"2";"Servicios";"1.054.472,00";"92622000-7,Servicios de organización de espectáculos deportivos;";
10528099;"Impartición de Talleres en los Centros Culturales Meseta de Orcasitas, Orcasur, Usera y en los Centros Socioculturales San Fermín, Cánovas del Castillo y Juvenil del Distrito de Usera Cursos  2018-2019/2019-2020";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=40f761fe6b25f510VgnVCM2000001f4a900aRCRD";"001212";"Distrito de Usera";"2";"Servicios";"1.519.522,20";"92000000-1,Servicios de esparcimiento, culturales y deportivos;";
10526589;"Contrato administrativo para la prestación del servicio educativo de la Escuela Infantil sita en la calle Senda del Infante c/v Cº Arroyo del Fresno,del Distrito de Fuencarral-El Pardo, con servicio de desayuno, comida y merienda que incorporen productos de comercio justo.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=ada31ddbc894f510VgnVCM1000001d4a900aRCRD";"001208";"Distrito de Fuencarral-El Pardo";"2";"Servicios";"5.402.742,72";"80110000-8,Servicios de enseñanza preescolar;";
10526565;"Contrato administrativo para la prestación del servicio educativo de la Escuela Infantil sita en la calle Castillo de Candanchú 42-46 c/v calle Burguete, del Distrito de Fuencarral-El Pardo, con servicio de desayuno, comida y merienda que incorporen productos de comercio justo.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=c0601ddbc894f510VgnVCM1000001d4a900aRCRD";"001208";"Distrito de Fuencarral-El Pardo";"2";"Servicios";"5.349.140,94";"80110000-8,Servicios de enseñanza preescolar;";
10524164;"Prestación del servicio educativo en la Escuela Infantil Butarque";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=6a2a83837093f510VgnVCM1000001d4a900aRCRD";"001217";"Distrito de Villaverde";"2";"Servicios";"3.867.074,40";"80110000-8,Servicios de enseñanza preescolar;";
10523807;"Gestión de un Centro de Intervención Parental (CIP)";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=f07a778de883f510VgnVCM2000001f4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"2.306.621,99";"85312000-9,Servicios de asistencia social sin alojamiento;";
10523109;"La Quinta cocina con productos de comercio justo";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=f696ac304a33f510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"2.207.121,58";"85312000-9,Servicios de asistencia social sin alojamiento;55330000-2,Servicios de cafetería;";
10512248;"Gestión de tres espacios de igualdad en Chamartín, Hortaleza y el espacio de igualdad María Telo";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=c9565a569d0fe510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"3.622.078,72";"85320000-8,Servicios sociales;";
10508045;"Arrendamiento, sin opción a compra, de tres módulos prefabricados para acoger distintos equipamientos del Distrito de Fuencarral-El Pardo, en tres Lotes.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=9011688c151ee510VgnVCM2000001f4a900aRCRD";"001208";"Distrito de Fuencarral-El Pardo";"1";"Suministros";"318.115,00";"45223810-7,Construcciones prefabricadas;";
10500498;"Campamentos Urbanos del Distrito de Villaverde.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=09f7ce0dc82ce510VgnVCM2000001f4a900aRCRD";"001217";"Distrito de Villaverde";"2";"Servicios";"1.570.807,28";"80000000-4,Servicios de enseñanza y formación;";
10496033;"Talleres para la inserción social y laboral para personas sin hogar y en situación de vulnerabilidad o riesgo de exclusión social";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=ba6931bb324ae510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"1.556.462,50";"85320000-8,Servicios sociales;";
10489540;"Servicio psicopedagógico para diagnóstico y tratamiento del alumnado con dificultades de aprendizaje y/o de interacción social de los centros de enseñanza del Distrito de Villaverde.";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=ec4d9ee35b49e510VgnVCM2000001f4a900aRCRD";"001217";"Distrito de Villaverde";"2";"Servicios";"900.091,74";"80000000-4,Servicios de enseñanza y formación;";
10486178;"Servicio de apoyo a la gestión técnica y operativa del depósito de material sanitario de servicio  SAMUR-Proteccion Civil";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=ea9a6e0085a7e510VgnVCM2000001f4a900aRCRD";"001019";"Área de Gobierno de Seguridad y Emergencias";"2";"Servicios";"1.443.395,64";"79991000-7,Servicios de control de existencias;";
10481991;"Contrato de servicios para funciones de información, atención al público y control de los edificios municipales destinados a uso educativo: Centros de Educación Infantil y Primaria y Centros de Educación Especial";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=7f50aace5bf6e510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"2.723.453,20";"98341130-5,Servicios de conserjería                                                                                 ;";
10481970;"Gestión del Centro de acogida de baja exigencia para personas sin hogar Puerta Abierta";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=902faace5bf6e510VgnVCM1000001d4a900aRCRD";"001085";"Familia, Servicios Sociales y Participación Ciudadana";"2";"Servicios";"12.720.674,38";"85311000-2,Servicios de asistencia social con alojamiento;";
10479668;"Limpieza del centro de innovación La N@ve";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=e7c5f5196275e510VgnVCM2000001f4a900aRCRD";"001301";"Coordinación General de la Alcaldía";"2";"Servicios";"1.061.469,06";"90919000-2,Servicios de limpieza de oficinas, escuelas y equipo de oficina;";
10479576;"Servicio de limpieza de los edificios e instalaciones gestionados por la Gerencia de la Ciudad 300-2017-01774";"https://sede.madrid.es/sites/v/index.jsp?vgnextchannel=8afd814231ede410VgnVCM1000000b205a0aRCRD&vgnextoid=0ac3f5196275e510VgnVCM2000001f4a900aRCRD";"001302";"perfil.organismo.001302";"2";"Servicios";"1.864.706,60";"90911200-8,Servicios de limpieza de edificios;";
