DISTRITO;Especie;Nombre común;Nº de ejemplares
CENTRO;Platanus hybrida;Plátano de sombra;899
CENTRO;Sophora japonica;Acacia del Japón;753
CENTRO;Aesculus hippocastanum;Castaño de indias ;452
CENTRO;Acer x freemanii;Arce;376
CENTRO;Cupressus sempervirens;Ciprés común;295
CENTRO;Fraxinus angustifolia;Fresno de la tierra;240
CENTRO;Tilia platyphyllos;Tilo de hojas grandes;217
CENTRO;Pinus pinea;Pino piñonero;204
CENTRO;Gleditsia triacanthos;Acacia de tres espinas;197
CENTRO;Celtis australis;Almez;166
CENTRO;Otros;;2.415
ARGANZUELA;Platanus hybrida;Plátano de sombra;2.130
ARGANZUELA;Pinus pinea;Pino piñonero;1.558
ARGANZUELA;Melia azedarach;Cinamomo;1.433
ARGANZUELA;Populus nigra;Chopo negro;1.140
ARGANZUELA;Celtis australis;Almez;1.025
ARGANZUELA;Acer negundo;Arce;870
ARGANZUELA;Aesculus hippocastanum;Castaño de indias ;713
ARGANZUELA;Catalpa bignonioides;Catalpa;704
ARGANZUELA;Pinus halepensis;Pino carrasco;684
ARGANZUELA;Robinia pseudoacacia;Falsa acacia;683
ARGANZUELA;Otros;;10.569
RETIRO;Aesculus hippocastanum;Castaño de indias ;6.542
RETIRO;Ulmus pumila;Olmo de Siberia;1.704
RETIRO;Pinus pinea;Pino piñonero;1.555
RETIRO;Sophora japonica;Acacia del Japón;1.055
RETIRO;Cupressus sempervirens;Ciprés común;987
RETIRO;Platanus hispanica;Platano de sombra;941
RETIRO;Robinia pseudoacacia;Falsa acacia;772
RETIRO;Cercis siliquastrum;Árbol del amor;742
RETIRO;Trachycarpus fortunei;Palma de Fortune;730
RETIRO;Celtis australis;Almez;712
RETIRO;Otros;;11.768
SALAMANCA;Sophora japonica;Acacia del Japón;1.085
SALAMANCA;Pinus pinea;Pino piñonero;1.083
SALAMANCA;Platanus hybrida;Plátano de sombra;646
SALAMANCA;Ulmus pumila;Olmo de Siberia;601
SALAMANCA;Prunus cerasifera pissardii;Ciruelo rojo;504
SALAMANCA;Populus alba;Álamo blanco;429
SALAMANCA;Cupressus sempervirens;Ciprés común;352
SALAMANCA;Acer negundo;Arce;340
SALAMANCA;Ligustrum lucidum;Aligustre arbóreo;335
SALAMANCA;Cedrus atlantica;Cedro del Atlas;324
SALAMANCA;Otros;;4.269
CHAMARTIN;Platanus hybrida;Plátano de sombra;1.796
CHAMARTIN;Pinus pinea;Pino piñonero;1.445
CHAMARTIN;Ulmus pumila;Olmo de Siberia;978
CHAMARTIN;Prunus cerasifera pissardii;Ciruelo rojo;959
CHAMARTIN;Populus alba;Álamo blanco;752
CHAMARTIN;Cupressocyparis leylandii;Ciprés de Leyland;524
CHAMARTIN;Sophora japonica;Acacia del Japón;460
CHAMARTIN;Aesculus hippocastanum;Castaño de indias ;449
CHAMARTIN;Cupressus sempervirens;Ciprés común;426
CHAMARTIN;Robinia pseudoacacia;Falsa acacia;395
CHAMARTIN;Otros;;4.224
TETUAN;Platanus hybrida;Plátano de sombra;2.126
TETUAN;Pinus halepensis;Pino carrasco;1.757
TETUAN;Pinus pinea;Pino piñonero;1.017
TETUAN;Prunus cerasifera pissardii;Ciruelo rojo;736
TETUAN;Cupressus sempervirens;Ciprés común;454
TETUAN;Aesculus hippocastanum;Castaño de indias ;450
TETUAN;Ligustrum japonicum;Aligustre del Japón;423
TETUAN;Ulmus pumila;Olmo de Siberia;413
TETUAN;Sophora japonica;Acacia del Japón;365
TETUAN;Robinia pseudoacacia;Falsa acacia;340
TETUAN;Otros;;4.232
CHAMBERI;Sophora japonica;Acacia del Japón;1.041
CHAMBERI;Platanus hybrida;Plátano de sombra;320
CHAMBERI;Prunus cerasifera pissardii;Ciruelo rojo;166
CHAMBERI;Ulmus pumila;Olmo de Siberia;133
CHAMBERI;Aesculus hippocastanum;Castaño de indias ;77
CHAMBERI;Gleditsia triacanthos;Acacia de tres espinas;77
CHAMBERI;Albizia julibrissin;Acacia de Constantinopla;72
CHAMBERI;Ligustrum japonicum;Aligustre del Japón;61
CHAMBERI;Pinus pinea;Pino piñonero;60
CHAMBERI;Robinia pseudoacacia;Falsa acacia;54
CHAMBERI;Otros;;475
FUENCARRAL-EL PARDO           ;Pinus pinea;Pino piñonero;13.670
FUENCARRAL-EL PARDO           ;Ulmus pumila;Olmo de Siberia;6.479
FUENCARRAL-EL PARDO           ;Platanus hybrida;Plátano de sombra;5.617
FUENCARRAL-EL PARDO           ;Pinus halepensis;Pino carrasco;4.037
FUENCARRAL-EL PARDO           ;Pinus pinaster;Pino resinero;2.530
FUENCARRAL-EL PARDO           ;Celtis australis;Almez;2.455
FUENCARRAL-EL PARDO           ;Cedrus deodara;Cedro llorón;2.380
FUENCARRAL-EL PARDO           ;Populus alba;Álamo blanco;2.314
FUENCARRAL-EL PARDO           ;Prunus cerasifera pissardii;Ciruelo rojo;2.031
FUENCARRAL-EL PARDO           ;Aesculus hippocastanum;Castaño de indias ;1.843
FUENCARRAL-EL PARDO           ;Otros;;28.367
MONCLOA-ARAVACA               ;Pinus pinea;Pino piñonero;311.484
MONCLOA-ARAVACA               ;Quercus ilex;Encina;230.370
MONCLOA-ARAVACA               ;Cupressus arizonica;Ciprés de Arizona;54.493
MONCLOA-ARAVACA               ;Ulmus pumila;Olmo de Siberia;35.383
MONCLOA-ARAVACA               ;Fraxinus angustifolia;Fresno de la tierra;14.293
MONCLOA-ARAVACA               ;Pinus halepensis;Pino carrasco;14.211
MONCLOA-ARAVACA               ;Cupressus sempervirens;Ciprés común;5.549
MONCLOA-ARAVACA               ;Platanus hispanica;Platano de sombra;3.385
MONCLOA-ARAVACA               ;Sophora japonica;Acacia del Japón;2.562
MONCLOA-ARAVACA               ;Acer negundo;Arce;2.534
MONCLOA-ARAVACA               ;Otros;;38.491
LATINA;Pinus pinea;Pino piñonero;16.896
LATINA;Ulmus pumila;Olmo de Siberia;7.167
LATINA;Robinia pseudoacacia;Falsa acacia;3.395
LATINA;Pinus halepensis;Pino carrasco;3.340
LATINA;Platanus hybrida;Plátano de sombra;3.134
LATINA;Populus alba;Álamo blanco;2.032
LATINA;Prunus cerasifera pissardii;Ciruelo rojo;1.835
LATINA;Acer negundo;Arce;1.726
LATINA;Cupressus sempervirens;Ciprés común;1.698
LATINA;Cedrus deodara;Cedro llorón;1.300
LATINA;Otros;;15.923
CARABANCHEL;Pinus pinea;Pino piñonero;21.612
CARABANCHEL;Platanus hybrida;Plátano de sombra;3.697
CARABANCHEL;Cupressus arizonica;Ciprés de Arizona;2.678
CARABANCHEL;Ulmus pumila;Olmo de Siberia;2.566
CARABANCHEL;Jasminum sp;Jazmines;2.308
CARABANCHEL;Populus alba;Álamo blanco;1.917
