TEMA;TEMA NOMBRE;ENTIDAD;ENTIDAD NOMBRE;ELEMENTO;ELEMENTO NOMBRE;NOMBRE;NIVEL
2;"Divisiones administrativas";11;"Distrito Municipal";345;"Límite de distrito";"02_distrito_l.shp";"02011345"
2;"Divisiones administrativas";11;"Distrito Municipal";718;"Rótulo de distrito 20000";"02_distrito_20000_a.shp";"02011718"
2;"Divisiones administrativas";10;"Límite de Municipio";6;"Línea de término municipal";"02_limite_municipio_l.shp";"02010006"
2;"Divisiones administrativas";10;"Límite de Municipio";442;"Texto de municipio";"02_texto_municipio_a.shp";"02010442"
2;"Divisiones administrativas";16;"Límite de Término Municipal colindante";17;"Línea de término municipal colindante";"02_municipios_colindantes_l.shp";"02016017"
2;"Divisiones administrativas";16;"Límite de Término Municipal colindante";768;"Rótulo de término municipal colindante por hoja 20000";"02_termino_colindante_20000_a.shp";"02016768"
3;"Edificaciones, construcciones y cerramientos";18;"Cerramiento sin especificar";20;"Línea de cerramiento sin especificar";"03_cerramiento_sin_especificar_l.shp";"03018020"
3;"Edificaciones, construcciones y cerramientos";182;"Depósito";706;"Recinto de depósito";"03_deposito_p.shp";"03182706"
3;"Edificaciones, construcciones y cerramientos";28;"Edificio";758;"Línea de edificio";"03_edificio_l.shp";"03028758"
3;"Edificaciones, construcciones y cerramientos";28;"Edificio";37;"Recinto de edificio";"03_edificio_p.shp";"03028037"
3;"Edificaciones, construcciones y cerramientos";21;"Edificio en construcción";24;"Recinto de edificio en construcción";"03_edificio_en_construccion_p.shp";"03021024"
3;"Edificaciones, construcciones y cerramientos";22;"Edificio indefinido";28;"Póligono de edificio indefinido";"03_edificio_indefinido_p.shp";"03022028"
3;"Edificaciones, construcciones y cerramientos";25;"Marquesina";32;"Recinto de marquesina";"03_marquesina_p.shp";"03025032"
3;"Edificaciones, construcciones y cerramientos";32;"Patio";46;"Recinto de patio";"03_patio_p.shp";"03032046"
3;"Edificaciones, construcciones y cerramientos";26;"Porche, caseta, cobertizo";34;"Recinto de porche, caseta, cobertizo";"03_porche_caseta_cobertizo_p.shp";"03026034"
