ERAR_PARAMETRO;Muestra 1_1;Muestra 2_1;Muesta 1_2;Muestra 2_2;Muestra 1_3;Muestra 2_3;Muestra 1_4;Muesta 2_4;Muestra 1_5;Muestra 2_5;Muestra 1_6;Muestra 2_6;Muestra 1_7;Muestra 2_7;Muestra 1_8;Muestra 2_8;Muestra 1_9;Muestra 2_9;Muestra 1_10;Muestra 2_10;Muestra 1_11;Muestra 2_11;Muestra 1_12;Muestra 2_12;Muestra 1_13;Muestra 2_13;Muestra 1_14;Muestra 2_14;Muestra 1_15;Muestra 2_15;Muestra 1_16;Muestra 2_16;Muestra 1_17;Muestra 2_17;Muestra 1_18;Muestra 2_18;Muestra 1_19;Muestra 2_19;Muestra 1_20;Muestra 2_20;Muestra 1_21;Muestra 2_21;Muestra 1_22;Muestra 2_22;Muestra 1_23;Muestra 2_23;Muestra 1_24;Muestra 2_24
VIV_Turb;2,00;2,20;1,80;2,60;2,50;5,80;1,50;2,20;2,70;2,30;1,30;1,40;1,80;1,80;1,30;1,30;1,40;1,80;1,30;1,80;1,70;1,90;1,60;1,60;1,80;1,70;1,20;1,80;1,60;1,40;1,60;2,10;1,90;1,90;2,20;1,80;1,80;1,90;3,20;1,80;1,80;1,90;2,10;1,40;1,40;1,40;1,60;1,20
CHI_Turb;2,10;1,70;2,50;2,90;2,40;2,00;2,30;3,10;2,50;1,70;2,40;2,10;2,70;1,50;2,40;2,30;2,70;1,90;2,10;2,70;2,50;1,40;3,10;2,60;2,90;1,90;3,50;3,90;3,20;3,20;2,00;1,80;1,90;1,60;2,90;2,90;2,70;3,00;2,20;1,70;2,30;2,80;1,20;2,90;2,50;2,70;1,20;1,10
GAV_Turb;1,30;1,10;0,72;1,70;1,60;3,90;0,72;2,50;1,70;2,20;1,60;2,10;1,70;2,20;1,20;2,30;2,00;2,10;1,20;1,50;1,90;1,90;1,20;2,60;1,80;2,10;1,30;1,90;1,80;1,70;1,30;1,40;1,90;1,40;1,80;1,30;1,60;1,40;1,80;1,80;1,90;1,80;1,60;1,90;2,00;2,60;1,90;2,00
REJ_Turb;1,70;1,90;1,30;2,50;2,30;6,20;1,10;2,20;1,90;2,20;2,60;1,70;1,50;1,50;0,87;2,50;2,20;2,30;2,70;1,90;2,70;2,60;1,60;2,70;3,30;1,30;0,95;1,30;1,80;2,10;1,90;2,00;2,50;1,50;1,70;0,96;0,09;1,30;0,73;1,10;1,20;1,10;1,50;1,10;1,10;2,10;1,00;1,60
VIV_Ecoli;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,1;0,0;0,0;0,0;0,0;0,0;72,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CHI_Ecoli;0,0;0,0;23,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;80,1;0,0;0,0;0,0;0,0;1,0;0,0;2,0;3,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0
GAV_Ecoli;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
REJ_EColi;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;218,7;143,9;3,1;0,0;2,0;0,0;0,0;0,0;7,5;0,0;0,0;0,0;5,2;4,1;0,0;1,0;5,2;0,0;0,0;2,0;3,0;0,0;5,2;0,0;0,0;0,0;2,0;1,0;0,0;1,0;3,1;0,0
VIV_Leg;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A
CHI_Leg;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A;N.D;N.A;N.A;N.A;N.A;N.A;N.A;N.A
