Catalogación PGOUM97;Número catálogo;Catalogación 31_12_16;BIC_BIP;Denominación;OBSERVACIONES;VIA_CLASE_TX;VIA_NOMBRE;APP_NUM;APP_CLF;UTMX_ETRS;UTMY_ETRS
Ambiental;29764;"Desaparecido por 
Demolición Total";;;;CALLE;MAR DE BERING;2;D;445541,4;4480458,48
Ambiental;11268;"Desaparecido por 
Demolición Total";;;;CALLE;MAGALLANES;22;;440158,75;4476171,49
Ambiental;30525;"Desaparecido por 
Demolición Total";;;;CALLE;HUERTA DEL CONVENTO;13;;448787,36;4472400,17
Ambiental;15086;"Desaparecido por 
Demolición Total";;;;CALLE;CONDE DE PEÑALVER;70;;442751,94;4475901,28
Ambiental;30212;"Desaparecido por 
Demolición Total";;;;CALLE;PUERTO DEL SUEBE;6;;443615,26;4471953,94
Ambiental;30182;"Desaparecido por 
Demolición Total";;;;CALLE;NICOLAS SANCHEZ;43;;440072,37;4470670,34
Ambiental;30166;"Desaparecido por 
Demolición Total";;;;AVENIDA;MONTE IGUELDO;16;;443278,23;4471979,89
Ambiental;30530;Descatalogado;;;Don Antonio de Andrés, 14 y 17;PLAZA;DON ANTONIO DE ANDRES;14;;448626,92;4472586,79
Ambiental;15280;"Desaparecido por 
Demolición Total";;;;CALLE;JOSE ORTEGA Y GASSET;82;;442912,36;4475661,51
Ambiental;30531;"Desaparecido por 
Demolición Total";;;;CALLE;FUENTES DE SAN JORGE;2;;448616,9;4472510,09
Ambiental;29763;"Desaparecido por 
Demolición Total";;;;CALLE;AURELIO GONZALEZ DE GREGORIO;25;;441776,69;4482917,62
Ambiental;29351;Descatalogado;;;;CALLE;ACUARIO;25;;450878,4;4480605,47
Ambiental;29271;"Desaparecido por 
Demolición Total";;;;CALLE;LUIS CABRERA;26;;442653,68;4477011,12
Ambiental;29249;"Desaparecido por 
Demolición Total";;;;CALLE;NUESTRA SEÑORA DE VALVERDE;105;;441766,56;4483148,28
Ambiental;29236;Descatalogado;;;;CALLE;PROTASIO GOMEZ;7;;445903,59;4476756,35
Ambiental;29235;"Desaparecido por 
Demolición Total";;;;CALLE;GENERAL ARANAZ;51;;445757,64;4477236,51
Ambiental;29086;"Desaparecido por 
Demolición Total";;;;CALLE;NUESTRA SEÑORA DE VALVERDE;50;;441733,66;4482913,73
Ambiental;15241;"Desaparecido por 
Demolición Total";;;;CALLE;JOSE ORTEGA Y GASSET;56;;442610,22;4475683,18
Ambiental;14070;"Desaparecido por 
Demolición Total";;;;CALLE;GENERAL ORAA;34;;442136,57;4476376,5
Ambiental;11317;"Desaparecido por 
Demolición Total";;;;GLORIETA;QUEVEDO;2;;440224,55;4476089,29
Ambiental;11723;"Desaparecido por 
Demolición Total";;;Viriato 43 y 43 A;CALLE;VIRIATO;43;;440679,53;4476372,21
Ambiental;12045;"Desaparecido por 
Demolición Total";;;;CALLE;QUESADA;12;;440571,95;4476171,82
Ambiental;12081;"Desaparecido por 
Demolición Total";;;;CALLE;JUAN DE AUSTRIA;19;;440640,91;4476096,71
Ambiental;12193;"Desaparecido por 
Demolición Total";;;;CALLE;JUAN DE AUSTRIA;7;;440682,89;4475958,3
Ambiental;12384;"Desaparecido por 
Demolición Total";;;;CALLE;MANUEL GONZALEZ LONGORIA;10;;440894,68;4475566,07
Ambiental;30527;"Desaparecido por 
Demolición Total";;;;PLAZA;DON ANTONIO DE ANDRES;4;;448587,56;4472542,86
Ambiental;13367;"Desaparecido por 
Demolición Total";;;;CALLE;FERNANDEZ DE LA HOZ;63;;441106,57;4476922,71
Ambiental;29024;"Desaparecido por 
Demolición Total";;;;CALLE;ERASO;41;;443235,29;4476266,24
Ambiental;14103;"Desaparecido por 
Demolición Total";;;;CALLE;GENERAL ORAA;54;;442323,04;4476362,6
Ambiental;14208;"Desaparecido por 
Demolición Total";;;;CALLE;VELAZQUEZ;85;;442015,59;4476097,78
Ambiental;30600;"Desaparecido por 
Demolición Total";;;;CALLE;EUGENIA DE MONTIJO;43;;436895,95;4470375,63
Ambiental;14771;"Desaparecido por 
Demolición Total";;;;CALLE;CONDE DE PEÑALVER;24;;442718,49;4475446,58
Ambiental;30586;"Desaparecido por 
Demolición Total";;;Blasón, del 10 A al 10 C;CALLE;BLASON;10;A;437144,18;4470359,63
Ambiental;30539;"Desaparecido por 
Demolición Total";;;;AVENIDA;REAL;23;;448392,25;4472659,21
Ambiental;20758;"Desaparecido por 
Demolición Total";;;;CALLE;EMBAJADORES;142;;440818,45;4472136,3
Ambiental;12838;"Desaparecido por 
Demolición Total";;;;CALLE;VIRTUDES;22;;440755,54;4476591,05
Ambiental;25119;"Desaparecido por 
Demolición Total";;;;CALLE;JORGE MANRIQUE;14;;441598,12;4477199,1
