DISTRITO;Apartado;NUMERO DE ARCHIVO;DENOMINACION;SITUACION
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12000;"QUIOSCO DE BEBIDAS Nº 2 ""EL LAGO"" BAR-MERENDERO                                                      ";
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12001;"QUIOSCO DE BEBIDAS Nº 4 ""EL LAGO"" BAR-MERENDERO                                                      ";
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12002;"QUIOSCO DE BEBIDAS Nº 5 ""EL LAGO"" BAR-MERENDERO                                                      ";
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12003;"QUIOSCO DE BEBIDAS Nº 6 ""EL LAGO"" BAR-MERENDERO                                                      ";
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12004;"QUIOSCO DE BEBIDAS Nº 13 ""EL LAGO"" BAR-MERENDERO                                                     ";
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12005;QUIOSCO Nº 1 BAR MIRADOR                                                                             ;
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12006;QUIOSCO Nº 2 BAR MIRADOR                                                                             ;JUNTO A LAPLAZA DE NICARAGUA.
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12007;QUIOSCO Nº 3 BAR MIRADOR                                                                             ;JUNTO AL ESTANQUE EN EL PASEO DE VENEZUELA.
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12008;QUIOSCO Nº 4 BAR MIRADOR                                                                             ;JUNTO AL ESTANQUE GRANDE EN EL PASEO DE VENEZUELA.
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12009;QUIOSCO Nº 5 BAR MIRADOR                                                                             ;JUNTO AL PASEO DEL URUGUAY.
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12010;QUIOSCO Nº 6 BAR MIRADOR                                                                             ;"PASEO DE LAS ""ESTATUAS"" Y JUNTO AL ESTANQUE GRANDE."
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12011;QUIOSCO Nº 8  BAR MIRADOR                                                                            ;JUNTO AL PASEO DEL URUGUAY.
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12012;QUIOSCO Nº 9  BAR MIRADOR                                                                            ;PASEO DE LA INDEPENDENCIA Y JUNTO AL PASEO DE MÉXICO.
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12013;QUIOSCO Nº 10  BAR MIRADOR                                                                           ;JUNTO AL MONUMENTO A ALFONSO XII.
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12014;QUIOSCO Nº 12  BAR MIRADOR                                                                           ;PASEO DE VELAZQUEZ.
 VILLA DE VALLECAS;INSTALACIONES DE RESTAURACIÓN                     ;12015;QUIOSCO DE BEBIDAS                                                                                   ;
 CARABANCHEL;INSTALACIONES DE RESTAURACIÓN                     ;12016;QUIOSCO DE BEBIDAS Nº 5                                                                              ;
 ARGANZUELA;INSTALACIONES DE RESTAURACIÓN                     ;12017;QUIOSCO DE BEBIDAS                                                                                   ;
 PUENTE DE VALLECAS;INSTALACIONES DE RESTAURACIÓN                     ;12018;                                                                             ;PARQUE DE PIO FELIPE    
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12019;"QUIOSCO DE BEBIDAS Nº 3 ""LA PIÑA"" BAR-MERENDERO                                                      ";
 CHAMARTÍN;INSTALACIONES DE RESTAURACIÓN                     ;12020;QUIOSCO DE BEBIDAS Nº 1                                                                              ;
 PUENTE DE VALLECAS;INSTALACIONES DE RESTAURACIÓN                     ;12021;QUIOSCO DE BEBIDAS Nº C                                                                              ;
 CHAMARTÍN;INSTALACIONES DE RESTAURACIÓN                     ;12022;QUIOSCO DE BEBIDAS                                                                                   ;
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12023;FLORIDA PARK (CASA DEL CONTRABANDISTA)                                                               ;
 PUENTE DE VALLECAS;INSTALACIONES DE RESTAURACIÓN                     ;12024;QUIOSCO DE BEBIDAS                                                                                   ;
 LATINA;INSTALACIONES DE RESTAURACIÓN                     ;12025;BAR MIRADOR Nº 1                                                                                     ;
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12026;"QUIOSCO DE BEBIDAS Nº 10 BAR-MERENDERO (ANTIGUA DENOMINACIÓN ""EL FARO"").                             ";
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12027;"QUIOSCO DE BEBIDAS Nº 15 BAR-MERENDERO (ANTIGUA DENOMINACIÓN ""LAS MORERAS"").                         ";JUNTO AL FINAL DEL RESERVADO.PARQUE CASA DE CAMPO.
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12028;"QUIOSCO DE BEBIDAS Nº 17 BAR-MERENDERO (ANTIGUA DENOMINACIÓN ""PUERTA DEL BATÁN"").                    ";JUNTO A LA SALIDA DEL METRO DE BATAN.
 ARGANZUELA;INSTALACIONES DE RESTAURACIÓN                     ;12029;QUIOSCO DE BEBIDAS Nº 3                                                                              ;
 CARABANCHEL;INSTALACIONES DE RESTAURACIÓN                     ;12030;QUIOSCO DE BEBIDAS Nº 4                                                                              ;
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12031;"RESTAURANTE ""LOS PORCHES""                                                                            ";PARQUE DEL OESTE
 RETIRO;INSTALACIONES DE RESTAURACIÓN                     ;12032;QUIOSCO Nº 7  BAR MIRADOR                                                                            ;NUÑEZ Y JUNTO AL PASEO DE VENEZUELA.
 CHAMARTÍN;INSTALACIONES DE RESTAURACIÓN                     ;12033;QUIOSCO DE BEBIDAS                                                                                   ;
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12034;"QUIOSCO DE BEBIDAS Nº 12 ""EL LAGO"" BAR-MERENDERO                                                     ";
 HORTALEZA;INSTALACIONES DE RESTAURACIÓN                     ;12035;QUIOSCO DE BEBIDAS                                                                                   ;
 HORTALEZA;INSTALACIONES DE RESTAURACIÓN                     ;12036;QUIOSCO DE BEBIDAS                                                                                   ;
 SALAMANCA;INSTALACIONES DE RESTAURACIÓN                     ;12037;QUIOSCO DE BEBIDAS                                                                                   ;
 CARABANCHEL;INSTALACIONES DE RESTAURACIÓN                     ;12038;BAR-MERENDERO                                                                                        ;
 MORATALAZ;INSTALACIONES DE RESTAURACIÓN                     ;12039;QUIOSCO DE BEBIDAS                                                                                   ;
 CENTRO;INSTALACIONES DE RESTAURACIÓN                     ;12040;QUIOSCO DE BEBIDAS                                                                                   ;
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12041;QUIOSCO DE BEBIDAS Nº 2 BAR-MERENDERO                                                                ;
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12042;QUIOSCO DE BEBIDAS                                                                                   ;
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12043;QUIOSCO DE BEBIDAS                                                                                   ;
 CHAMBERÍ;INSTALACIONES DE RESTAURACIÓN                     ;12044;QUIOSCO DE BEBIDAS                                                                                   ;
 CHAMARTÍN;INSTALACIONES DE RESTAURACIÓN                     ;12045;QUIOSCO DE BEBIDAS Nº 1                                                                              ;
 CHAMARTÍN;INSTALACIONES DE RESTAURACIÓN                     ;12046;QUIOSCO DE BEBIDAS                                                                                   ;
 CENTRO;INSTALACIONES DE RESTAURACIÓN                     ;12047;QUIOSCO DE BEBIDAS EL ESPEJO                                                                         ;
 USERA;INSTALACIONES DE RESTAURACIÓN                     ;12048;QUIOSCO DE BEBIDAS Nº 1.                                                                             ;
 FUENCARRAL-EL PARDO;INSTALACIONES DE RESTAURACIÓN                     ;12049;Edificio de restauración Mc Donald's                                                                 ;
 CENTRO;INSTALACIONES DE RESTAURACIÓN                     ;12050;Quiosco de bebidas                                                                                   ;
 FUENCARRAL-EL PARDO;INSTALACIONES DE RESTAURACIÓN                     ;12051;QUIOSCO DE BEBIDAS                                                                                   ;
 CENTRO;INSTALACIONES DE RESTAURACIÓN                     ;12052;Quiosco de bebidas y terraza de veladores                                                            ;
 CENTRO;INSTALACIONES DE RESTAURACIÓN                     ;12053;Quiosco de bebidas y terraza de veladores                                                            ;
 ARGANZUELA;INSTALACIONES DE RESTAURACIÓN                     ;12054;Quiosco de hostelería y tumbonas                                                                     ;
CARABANCHEL;INSTALACIONES DE RESTAURACIÓN                     ;12055;MADRID RÍO-GRUPO SUR 1 (CAFETERÍA PASAJE DE MONTSERRAT).                                             ;MARGEN DERECHA DEL RÍO MANZANARES, FRENTE A LA AVENIDA MANZANARES ALNORTE DEL PASAJE DE MONTSERRAT Y NUEVA PASARELA SINGULAR PEATONAL. 
 USERA;INSTALACIONES DE RESTAURACIÓN                     ;12056;MADRID RÍO-GRUPO SUR 1. CAFÉ-BAR SAN ZACARÍAS                                                        ;A LA ALTURA DE C/ SAN ZACARÍAS.
 LATINA;INSTALACIONES DE RESTAURACIÓN                     ;12057;MADRID RÍO-GRUPO NORTE (CAFÉ-BAR PUENTE SEGOVIA Y CAFETERÍA PRESA Nº 6)                              ;"CAFÉ-BAR PUENTE DE SEGOVIA AL SUR DEL PUENTE DE SEGOVIA;CAFETERÍA PRESA Nº 6 A LA ALTURA DE LA PRESA Nº 6."
 CENTRO;INSTALACIONES DE RESTAURACIÓN                     ;12058;Quiosco de bebidas y terraza de veladores                                                            ;
 CENTRO;INSTALACIONES DE RESTAURACIÓN                     ;12059;QUIOSCO DE BEBIDAS                                                                                   ;
 MONCLOA-ARAVACA;INSTALACIONES DE RESTAURACIÓN                     ;12060;QUIOSCO DE BEBIDAS                                                                                   ;
 CARABANCHEL;INSTALACIONES DE RESTAURACIÓN                     ;12061;QUIOSCO DE BEBIDAS                                                                                   ;
