Identificador;DISTRITO;UBICACION;CENTRO;TIPO_VIAL;PARTICULA;NOMBRE_VIA;NUMERO_VIA;COORDENADAX;COORDENADAY;Longitud;Latitud
CONT_ROP_USA_1;CENTRO;Calle Santa Cruz de Marcenado 21;CantÛn de Limpieza;Calle;de;Santa Cruz de Marcenado;21;4.397.195.673;4.475.611.349;-3.7106636;40.428952
CONT_ROP_USA_2;CENTRO;Calle Casino3;"Centro Comunitario y Centro de DÌa ""Casino de la Reina""";Calle;del;Casino;3;440.195.735;4.473.140.126;-3.7048200;40.406727
CONT_ROP_USA_3;ARGANZUELA;Calle Estrella DenÈbola 5;Punto Limpio Fijo;Calle;de la ;Estrella DenÈbola;5;4.420.022.998;4.471.733.887;-3.6833972;40.394180
CONT_ROP_USA_4;ARGANZUELA;Calle Alicante 14;"Centro Deportivo Municipal Arganzuela ""La Fundi""";Calle;de;Alicante;14;4.413.472.861;4.471.738.567;-3.6911151;40.394179
CONT_ROP_USA_5;ARGANZUELA;Paseo De La Chopera 10;"Junta Municipal Distrito ""Casa del Reloj""";Paseo;de la;Chopera;10;440.672.626;4.471.620.681;-3.6990572;40.393068
CONT_ROP_USA_6;ARGANZUELA;Calle Arganda 25;"Centro Deportivo Municipal ""PeÒuelas""";Calle;de;Arganda;25;440.134.326;4.472.338.349;-3.7054634;40.399498
CONT_ROP_USA_7;ARGANZUELA;Paseo Imperial 20;"Centro Deportivo Municipal ""MarquÈs de Samaranch""";Paseo;-;Imperial;20;4.391.346.486;4.473.238.501;-3.7173327;40.407533
CONT_ROP_USA_8;ARGANZUELA;Calle Ricardo Damas 4;"InstalaciÛn Deportiva Municipal B·sica ""Ricardo Damas""";Calle;de;Ricardo Damas ;4;4.412.519.715;4.470.773.982;-3.6921572;40.385479
CONT_ROP_USA_9;RETIRO;Calle Luis PeidrÛ 2;"Centro Socio Cultural ""Luis PeidrÛ""";Calle;de;Luis PeidrÛ;2;4.428.424.267;4.472.040.205;-3.6735276;40.397003
CONT_ROP_USA_10;RETIRO;Avenida Barcelona 83;"Centro EducaciÛn Infantil Y Primaria ""Calvo Sotelo""";Avenida;de;Barcelona;83;4.428.349.727;4.472.473.383;-3.6736608;40.400903
CONT_ROP_USA_11;RETIRO;Calle PÌo Baroja 4;"Centro EducaciÛn Infantil Y Primaria ""Escuelas Aguirre""";Calle;de;PÌo Baroja;4;4.427.615.924;4.473.972.173;-3.6746558;40.414402
CONT_ROP_USA_12;RETIRO;Calle PÌo Baroja 8;"Centro Mayores ""PÌo Baroja""";Calle;de;PÌo Baroja;8;4.427.611.423;4.473.847.225;-3.6746446;40.413276
CONT_ROP_USA_13;RETIRO;Calle Juan Esplandi˙ 2;"Colegio P˙blico ""Ciudad De Roma""";Calle;de;Juan Esplandi˙;2;4.435.178.016;4.474.067.541;-3.6657541;40.415310
CONT_ROP_USA_14;SALAMANCA;Calle Doctor GÛmez Ulla 9;"InstalaciÛn Deportiva Municipal B·sica ""Eva Duarte""";Calle;de;Doctor G√≥mez Ulla;9;4.433.407.069;4475698.38;-3.6679856;40.429991
CONT_ROP_USA_15;SALAMANCA;Calle Alcalde Sainz de Baranda 94;"InstalaciÛn Deportiva Municipal B·sica ""Torre EspaÒa""";Calle;del;Alcalde Sainz de Baranda;94;4.439.315.951;4.474.722.214;-3.6609324;40.421238
CONT_ROP_USA_16;CHAMARTIN;Calle Pradillo 33;"Centro Deportivo Municipal ""Pradillo""";Calle;de;Pradillo;33;4.430.391.873;4.477.823.427;-3.6717244;40.449113
CONT_ROP_USA_17;CHAMARTIN;Avenida Alfonso XIII  128;Punto Limpio Fijo;Avenida;de;Alfonso XIII (Entrada junto gasolinera);128;443.406.003;4.478.883.969;-3.6674913;40.458687
CONT_ROP_USA_18;CHAMARTIN;Calle Puerto Rico 52;"InstalaciÛn Deportiva Municipal B·sica ""Puerto Rico""";Calle;de;Puerto Rico;52;4.428.440.464;4478937.36;-3.6741242;40.459135
CONT_ROP_USA_19;TETUAN;Calle Francos RodrÌguez 67;"Biblioteca Municipal ""Manuel V·zquez Montalb·n""";Calle;de;Francos RodrÌguez;67;439.740.684;4.478.745.132;-3.7107133;40.457186
CONT_ROP_USA_20;TETUAN;Calle Hierbabuena 2;"Centro Deportivo Municipal ""Playa Victoria""";Calle;de;Hierbabuena;2;4.404.902.861;4.478.949.567;-3.7018875;40.459078
CONT_ROP_USA_21;TETUAN;Calle General Aranda;"Centro Social Comunitario ""Josefa Amar""";Calle;de;General Aranda;30;4.411.702.211;4.480.508.094;-3.6940124;40.473170
CONT_ROP_USA_22;TETUAN;Calle Bravo Murillo;"Centro Deportivo Municipal ""Tri·ngulo De Oro""";Calle;de;Bravo Murillo;376;4.412.832.861;4.479.593.567;-3.6925947;40.464936
CONT_ROP_USA_23;FUENCARRAL;Calle Mira El Rio;"Centro Sociocultural ""Alfonso XII""";Calle;de;Mira El Rio;4;4.341.083.996;4.485.732.207;-3.7778586;40.519699
CONT_ROP_USA_24;FUENCARRAL;Calle Badalona;"Centro Servicios Sociales ""Badalona""";Calle;de;Badalona;122;4.409.105.099;4482768.12;-3.6972900;40.493511
CONT_ROP_USA_25;FUENCARRAL;Glorieta Pradera Vaquerizas 9;"Centro Cultural ""Alfredo Kraus""";Glorieta;de;Pradera Vaquerizas;9;4.388.431.416;4.482.484.858;-3.7216524;40.490803
CONT_ROP_USA_26;FUENCARRAL;Calle ⁄beda 6;Punto Limpio Fijo Distrito;Calle;de;⁄beda;6;439.270.209;4.481.531.528;-3.7165229;40.482249
CONT_ROP_USA_27;FUENCARRAL;Avenida Monforte de Lemos 38;"Centro De Mayores ""La Vaguada""";Avenida;de;Monforte de Lemos;38;4.398.644.231;4481121.43;-3.7094762;40.478599
CONT_ROP_USA_28;FUENCARRAL;Avenida Monforte de Lemos 13;"Centro Deportivo Municipal ""Vicente Del Bosque""";Avenida;de;Monforte de Lemos;13;4.412.184.111;4.481.145.475;-3.6935052;40.478912
CONT_ROP_USA_29;FUENCARRAL;Calle FermÌn Caballero 17;"Centro De Mayores ""Vocal Vecino  Justo Sierra""";Calle;de;FermÌn Caballero;17;4.405.600.569;4.481.939.088;-3.7013421;40.486018
CONT_ROP_USA_30;FUENCARRAL;Calle La MasÛ 80;"Centro Deportivo Municipal ""La MasÛ""";Calle;de;La MasÛ;80;4.394.242.485;4.481.796.399;-3.7147313;40.484648
