CODIGO;DIRECCION;N_ELEMENTOS;TIPO DE AREA;TIPO DE SUELO;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX_ETRS89;UTMY_ETRS89;IDENTIFICADOR;CODNDP
401001;PLAZA COMENDADORAS, Nº 9;8;MARQUESINAS;ARENA;169,407;53,43;Pza · PLAZA COMENDADORAS , ASCENDIENTE 1: 015 · U;CENTRO;UNIVERSIDAD;40.427238;-3.70919;439842,476;4475419,696;5608;11006381
401002;PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA, Nº 1;1;CONJUNTO MULTIPLE;CAUCHO;3,499;11,98;CALLEJON DEL MERCADO;CENTRO;UNIVERSIDAD;40.420897;-3.704868;440203,458;4474712,874;5629;31037270
401003;PLAZA SANTA BARBARA, Nº 8;2;CONJUNTO;ARENA;143,587;47,92;PLAZA SANTA BARBARA, N? 8;CENTRO;JUSTICIA;40.427119;-3.703772;440301,985;4475402,726;10126;11005154
401004;CUESTA SANTO DOMINGO, Nº 22;2;SOLO PEDALES;SOLADO;0;0;CUESTA SANTO DOMINGO, N? 22;CENTRO;PALACIO;40.4201;-3.708452;439898,695;4474626,805;5619;11000189
401005;GLORIETA PUERTA DE TOLEDO, Nº 1;2;CONJUNTO;ARENA;137,696;47,7;GLORIETA PUERTA DE TOLEDO;CENTRO;EMBAJADORES;40.407288;-3.71071;439695,763;4473206,264;5567;20105763
401006;CALLE EMBAJADORES, Nº 66;7;CONUNTO;ARENA;223,688;59,8;PARQUE CASINO DE LA REINA;CENTRO;EMBAJADORES;40.4067;-3.704209;440246,794;4473136,549;5544;31047998
401007;PLAZA SANTA BARBARA, Nº 7;1;CONJUNTO;ARENA;60,641;31,59;PLAZA SANTA BARBARA, N? 7;CENTRO;JUSTICIA;40.427175;-3.696187;440945,384;4475403,841;7341;20103471
402001;CALLE CANARIAS, Nº 17;7;CONJUNTO;ARENA;295,346;69,12;CENTRO DE MAYORES DE ARGANZUELA - PALOS DE LA FRONTERA;ARGANZUELA;PALOS DE MOGUER;40.402191;-3.695649;440969,202;4472630,298;3485;11010094
402002;RONDA SEGOVIA, Nº 48;2;CONJUNTO;ARENA;57,992;31,28;Pza · PLAZA PZA.MERCADO CON TSIA. GIL IMON N?44 ,;ARGANZUELA;IMPERIAL;40.407153;-3.713662;439445,158;4473193,294;9972;20184196
402003;CALLE GASOMETRO, Nº 32;2;CONJUNTO;ARENA;58,122;28,62;P? · PASEO DOCTOR VALLEJO NAJERA N?25 , ASCENDIEN;ARGANZUELA;ACACIAS;40.402437;-3.707992;439922,068;4472665,905;9969;31044316
402004;CALLE TEJO, Nº 5;6;POSTES;ARENA;0;0;CALLE TEJO, N? 5;ARGANZUELA;ATOCHA;40.397016;-3.677594;442496,9346;4472043,948;12215;20139391
403003;CALLE JUAN ESPLANDIU, Nº 4;2;CONJUNTO;ARENA;198,592;57,16;PARQUE DE ROMA;RETIRO;ESTRELLA;40.41684;-3.661142;443909,585;4474233,851;5899;31020467
403007;CALLE FEDERICO MORENO TORROBA, Nº 9;2;SOLO PEDALES;CAUCHO;16,972;21,2;CALLE FEDERICO MORENO TORROBA, N? 9;RETIRO;ADELFAS;40.404878;-3.66673;443425,466;4472909,708;5994;31022068
403008;CALLE CERRO NEGRO, Nº 5;10;MARQUESINAS;SOLADO;297,87;69,92;PARQUE CERRO NEGRO;RETIRO;ADELFAS;40.395784;-3.672321;442943,383;4471903,772;8103;31020470
403009;CALLE ANDALUCIA, Nº 15;6;POSTES;SOLADO;119,43;43,83;CALLE ANDALUCIA, N? 15;RETIRO;ADELFAS;40.401589;-3.672374;442943,784;4472548,239;8106;31052577
403010;CALLE LUIS PEIDRO, Nº 17;5;SOLO PEDALES;SOLADO;673,53;127,92;CALLE LUIS PEIDRO, N? 17;RETIRO;ADELFAS;40.396621;-3.672552;442924,501;4471996,832;9065;31041015
404001;CALLE LOS PEÑASCALES, Nº 7;3;MARQUESINAS;SOLADO;0;0;CALLE LOS PEÑASCALES, N? 7;SALAMANCA;FUENTE DEL BERRO;40.423913;-3.667015;443417,217;4475022,662;6798;11016408
404002;CALLE FRANCISCO SILVELA, Nº 12;8;CONJUNTO MULTIPLE;ARENA;291,569;88,22;PARQUE EVA DUARTE DE PERON;SALAMANCA;GUINDALERA;40.429989;-3.669748;443190,522;4475698,869;3614;11017054
404003;AVENIDA BRASILIA, Nº 6;2;CONJUNTO MULTIPLE;ARENA;89,769;40,04;PARQUE BREOGAN;SALAMANCA;GUINDALERA;40.441897;-3.660705;443967,419;4477014,937;6968;31026007
404004;CALLE RAMON DE AGUINAGA, Nº 1;5;POSTES;HIERBA ARTIFICIAL;342,985;80,4;CALLE RAMON DE AGUINAGA, N? 1;SALAMANCA;FUENTE DEL BERRO;40.427348;-3.664883;443601,002;4475402,636;6808;11016757
405001;CALLE SANTA RITA, Nº 1;4;MARQUESINAS;ARENA;120,869;45,92;CALLE SANTA RITA, N? 1;CHAMARTÍN;PROSPERIDAD;40.446069;-3.668712;443291,91;4477483,063;9148;31026122
405002;PASEO CASTELLANA, Nº 300;5;CONJUNTO MULTIPLE;ARENA;198,412;61,21;EN MEDIANA AJARDINADA;CHAMARTÍN;CASTILLA;40.480318;-3.685151;441927,288;4481295,46;6938;20151190
405003;CALLE DOCTOR MARCO CORERA, Nº 2;7;0;0;0;0;PARQUE DE BERLIN;CHAMARTÍN;CIUDAD JARDÍN;40.449845;-3.676109;442667,806;4477907,007;3212;31052956
405004;CALLE PADRE CLARET, Nº 38;3;POSTES;ARENA;28,607;22,77;PARQUE FELIX RORIGUEZ DE LA FUENTE;CHAMARTÍN;PROSPERIDAD;40.452014;-3.664647;443641,549;4478140,371;10541;31041818
405005;CALLE VINAROZ, Nº 29;2;0;0;0;0;PARQUE DE LA INFANCIA DE CHAMARTIN;CHAMARTÍN;CIUDAD JARDÍN;40.448127;-3.677209;442573,0996;4477717,072;11026;11024027
406001;CALLE SINESIO DELGADO, Nº 23;6;MARQUESINAS;SOLADO;0;0;PARQUE DE AGUSTIN RODRIGUEZ SAHAGUN;TETUÁN;VALDEACEDERAS;40.471531;-3.705224;440218,185;4480333,499;9208;31045419
