Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2015;1;1;2;106255;8;6;9;3;0;6;122;167;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;"STA. MARIA DE YERMO ""A""                           ";MIXTO;Moncloa
2015;1;1;2;106394;6;8;9;4;0;5;134;178;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;DEHESA DE LA VILLA                                ;MIXTO;Moncloa
2015;1;1;2;106472;1;18;9;9;0;0;231;141;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;PRINCIPE ROJO                                     ;MIXTO;Moncloa
2015;1;1;2;106948;10;-1;9;0;0;9;34;242;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;BUEN CONSEJO BLANCO                               ;MIXTO;Moncloa
2015;1;1;2;107225;5;8;9;4;0;5;167;200;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;PATROCINIO DE SAN JOSE                            ;MIXTO;Moncloa
2015;1;1;2;107312;9;4;9;2;0;7;153;240;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;SALESIANOS ESTRECHO                               ;MIXTO;Moncloa
2015;1;1;2;108302;2;14;9;7;0;2;230;85;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;ESCUELA NEWTON NEGRO                              ;MIXTO;Moncloa
2015;1;1;2;108384;3;12;9;6;0;3;220;145;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;MOVISTAR ESTUDIANTES                              ;MIXTO;Moncloa
2015;1;1;2;108400;7;8;9;4;0;5;175;189;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;ESCOLAPIAS                                        ;MIXTO;Moncloa
2015;1;1;2;108692;4;10;9;6;0;3;178;57;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;CREF CHAMBERI                                     ;MIXTO;Moncloa
