Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2014;1         ;1;1;96551;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;PILARISTAS                                        ;MIXTO;Chamartin
2014;1         ;1;1;97484;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;PARAISO SSCC                                      ;MIXTO;Chamartin
2014;1         ;1;1;97621;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;SPINOLA  A                                        ;MIXTO;Chamartin
2014;1         ;1;1;97622;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;SPINOLA- B                                        ;MIXTO;Chamartin
2014;1         ;1;1;97669;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;R. MAEZTU                                         ;MIXTO;Chamartin
2014;1         ;1;1;97814;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;SAN RAMON - A                                     ;MIXTO;Chamartin
2014;1         ;1;1;97815;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;SAN RAMON  - B                                    ;MIXTO;Chamartin
2014;1         ;1;1;98027;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;I. LAS TABLAS                                     ;MIXTO;Chamartin
2014;1         ;1;1;98274;1;8;8;0;8;0;0;0;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;PREBENJAMIN;FUTBOL SALA                                       ;PREBENJAMIN                                       ;MARIA VIRGEN                                      ;MIXTO;Chamartin
2014;1         ;1;3;97489;2;36;14;12;0;2;103;28;2014/2015                                         ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;ALEVIN-1;FUTBOL SALA                                       ;ALEVIN                                            ;PARAISO - A                                       ;MIXTO;Chamartin
