Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2016;1         ;1;1;112474;3;31;18;13;0;5;863;775;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;OCEAN BASKETBALL                                  ;MASCULINO;Salamanca
2016;1         ;1;1;112475;1;35;18;17;0;1;1137;694;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;STANFORD MOUSE                                    ;MASCULINO;Salamanca
2016;1         ;1;1;112476;8;23;18;5;0;13;609;911;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;JABBA TIM                                         ;MASCULINO;Salamanca
2016;1         ;1;1;112477;4;30;18;12;0;6;936;635;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;CHEKEWAKA                                         ;MASCULINO;Salamanca
2016;1         ;1;1;112482;6;25;18;7;0;11;793;833;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;B. WILLIES                                        ;MASCULINO;Salamanca
2016;1         ;1;1;112483;10;18;18;0;0;18;584;1004;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;NEW YORK DICKS                                    ;MASCULINO;Salamanca
2016;1         ;1;1;112487;2;33;18;15;0;3;1281;934;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;TURCOS-GLU ATATURK                                ;MASCULINO;Salamanca
2016;1         ;1;1;112496;5;29;18;11;0;7;907;825;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;CB. PACHANGA                                      ;MASCULINO;Salamanca
2016;1         ;1;1;112498;7;24;18;6;0;12;667;893;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;LOS BOBOS DE BALL STREET                          ;MASCULINO;Salamanca
2016;1         ;1;1;112499;9;21;18;4;0;14;659;932;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  ST    1;BALONCESTO                                        ;SENIOR                                            ;PALOMAZAS                                         ;MASCULINO;Salamanca
2016;1         ;1;2;112493;3;26;16;10;0;6;808;597;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DM   2;BALONCESTO                                        ;SENIOR                                            ;KAEFECE TEAM                                      ;MASCULINO;Salamanca
2016;1         ;1;2;112503;4;25;16;9;0;7;648;577;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DM   2;BALONCESTO                                        ;SENIOR                                            ;GEPETTOS                                          ;MASCULINO;Salamanca
2016;1         ;1;2;112504;2;30;16;14;0;2;773;501;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DM   2;BALONCESTO                                        ;SENIOR                                            ;PRUSIA                                            ;MASCULINO;Salamanca
2016;1         ;1;2;112773;1;30;16;14;0;2;691;602;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DM   2;BALONCESTO                                        ;SENIOR                                            ;CUCOS TEAM                                        ;MASCULINO;Salamanca
