FECHA, PRODUCCION
2013-01-01, 9.28
2013-01-02, 16.41
2013-01-03, 17.66
2013-01-04, 17.37
2013-01-05, 18.18
2013-01-06, 18.71
2013-01-07, 18.74
2013-01-08, 18.42
2013-01-09, 16.16
2013-01-10, 14.78
2013-01-11, 17.61
2013-01-12, 14.82
2013-01-13, 17.86
2013-01-14, 19.61
2013-01-15, 18.07
2013-01-16, 5.68
2013-01-17, 17.28
2013-01-18, 5.41
2013-01-19, 8.38
2013-01-20, 15.5
2013-01-21, 21.54
2013-01-22, 7.53
2013-01-23, 21.91
2013-01-24, 7.54
2013-01-25, 6.36
2013-01-26, 20.45
2013-01-27, 17.08
2013-01-28, 15.86
2013-01-29, 21.62
2013-01-30, 21.09
2013-01-31, 21.88
2013-02-01, 22.51
2013-02-02, 17.88
2013-02-03, 23.22
2013-02-04, 23.05
2013-02-05, 22.29
2013-02-06, 20.32
2013-02-07, 24.52
2013-02-08, 24.58
2013-02-09, 24.4
2013-02-10, 21.6
2013-02-11, 16.93
2013-02-12, 15.51
2013-02-13, 25.33
2013-02-14, 23.52
2013-02-15, 24.34
2013-02-16, 23.29
2013-02-17, 12.53
2013-02-18, 15.77
2013-02-19, 2.17
2013-02-20, 14.71
2013-02-21, 17.7
2013-02-22, 6.16
2013-02-23, 20.68
2013-02-24, 26.81
2013-02-25, 27.68
2013-02-26, 26.08
2013-02-27, 13.63
2013-02-28, 12.6
2013-03-01, 23.67
2013-03-02, 12.26
2013-03-03, 10.86
2013-03-04, 5.75
2013-03-05, 7.78
2013-03-06, 15.54
2013-03-07, 11.24
2013-03-08, 25.05
2013-03-09, 9.55
2013-03-10, 14
2013-03-11, 22.44
2013-03-12, 8.55
2013-03-13, 30.15
2013-03-14, 30.36
2013-03-15, 27.73
2013-03-16, 5.54
2013-03-17, 13.28
2013-03-18, 29.44
2013-03-19, 3.61
2013-03-20, 29.87
2013-03-21, 28.02
2013-03-22, 11.55
2013-03-23, 10.93
2013-03-24, 17.23
2013-03-25, 17.47
2013-03-26, 18.16
2013-03-27, 18.82
2013-03-28, 24.29
2013-03-29, 17.93
2013-03-30, 26.7
2013-03-31, 8.58
2013-04-01, 27.64
2013-04-02, 22.62
2013-04-03, 8.23
2013-04-04, 12.38
2013-04-05, 14.48
2013-04-06, 31.21
2013-04-07, 26.8
2013-04-08, 27.6
2013-04-09, 23.89
2013-04-10, 27.6
2013-04-11, 26.14
2013-04-12, 26.43
2013-04-13, 28.54
2013-04-14, 27.85
2013-04-15, 26.52
2013-04-16, 28.11
2013-04-17, 25.95
2013-04-18, 22.55
2013-04-19, 27.43
2013-04-20, 16.13
2013-04-21, 27.58
2013-04-22, 20.14
2013-04-23, 25.53
2013-04-24, 28.05
