FECHA, PRODUCCION
2013-01-01, 97.67
2013-01-02, 141.33
2013-01-03, 150.28
2013-01-04, 146.16
2013-01-05, 150.01
2013-01-06, 152.37
2013-01-07, 152.78
2013-01-08, 150.81
2013-01-09, 134.78
2013-01-10, 123.8
2013-01-11, 140.56
2013-01-12, 124.29
2013-01-13, 146.32
2013-01-14, 159.84
2013-01-15, 151.78
2013-01-16, 50.81
2013-01-17, 141.68
2013-01-18, 41.65
2013-01-19, 76.26
2013-01-20, 155.01
2013-01-21, 154.47
2013-01-22, 58.33
2013-01-23, 174.79
2013-01-24, 53.47
2013-01-25, 64
2013-01-26, 154.77
2013-01-27, 139.66
2013-01-28, 126.8
2013-01-29, 173.86
2013-01-30, 168.29
2013-01-31, 175.12
2013-02-01, 180.37
2013-02-02, 177.73
2013-02-03, 183.92
2013-02-04, 182.75
2013-02-05, 175.38
2013-02-06, 164.38
2013-02-07, 194.02
2013-02-08, 193.21
2013-02-09, 191.55
2013-02-10, 170.53
2013-02-11, 159.58
2013-02-12, 143.12
2013-02-13, 195.77
2013-02-14, 186.94
2013-02-15, 194.96
2013-02-16, 186.58
2013-02-17, 98.21
2013-02-18, 138.46
2013-02-19, 18.91
2013-02-20, 126.13
2013-02-21, 163.25
2013-02-22, 54.91
2013-02-23, 161.08
2013-02-24, 212.43
2013-02-25, 220.81
2013-02-26, 209.34
2013-02-27, 133.63
2013-02-28, 113.58
2013-03-01, 213.47
2013-03-02, 128.08
2013-03-03, 109.81
2013-03-04, 56.99
2013-03-05, 76.87
2013-03-06, 163.49
2013-03-07, 132.51
2013-03-08, 205.27
2013-03-09, 99.47
2013-03-10, 139.46
2013-03-11, 191.14
2013-03-12, 73.61
2013-03-13, 258.39
2013-03-14, 258.82
2013-03-15, 229.7
2013-03-16, 51.61
2013-03-17, 126.82
2013-03-18, 257.88
2013-03-19, 36.92
2013-03-20, 267.17
2013-03-21, 243.61
2013-03-22, 79.56
2013-03-23, 77.31
2013-03-24, 148.99
2013-03-25, 119.35
2013-03-26, 161.74
