Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
01/01/2014,CENTRO,CENTRO HISTORICO,PL OBISPO Nr: 1,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2014,CENTRO,CENTRO HISTORICO,PL FELIX SAENZ Nr: 9,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2014,CENTRO,LA MALAGUETA,CL VELEZ MALAGA Nr: 1,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2014,CENTRO,SAN MIGUEL,PL PATROCINIO Nr: 1,Actuación Programada,Lugares de Captura,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
01/01/2014,CENTRO,EL EJIDO,CL PACO MIRANDA Nr: 1,Actuación Programada,Vía Pública,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
01/01/2014,CENTRO,LA CALETA,PSO MARITIMO PABLO RUIZ PICASSO Nr: 6,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2014,BAILEN-MIRAFLORES,VICTORIA EUGENIA,CL GALERA Nr: 1,Actuación Programada,Vía Pública,Control de Palomas,Paloma
01/01/2014,CRUZ DE HUMILLADERO,SANTA MARTA,CL ANDARAX Nr: 5,Actuación Programada,Lugares de Captura,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
01/01/2014,CAMPANILLAS,PARQUE TECNOLOGICO,CL SEVERO OCHOA Nr: 1,Actuación Programada,Lugares de Captura,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
02/01/2014,CENTRO,PERCHEL NORTE,PLLO SANTO DOMINGO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2014,CARRETERA DE CADIZ,SACABA BEACH,PSO IBERICO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2014,CHURRIANA,CHURRIANA,CL BENAMOCARRA Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
02/01/2014,TEATINOS-UNIVERSIDAD,CIUDAD UNIVERSITARIA,BV LOUIS PASTEUR Nr: 33,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2014,TEATINOS-UNIVERSIDAD,TORRE ATALAYA,CL NAVARRO LEDESMA Nr: 164,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2014,TEATINOS-UNIVERSIDAD,CAÑADA DE LOS CARDOS,CL ALICIA ALONSO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
