"EPIGRAFE","SUBEPIGRAFE","TOTAL ESTABLECIMIENTOS","TOTAL ESTABLECIMIENTOS VISITADOS","TOTAL INSPECIONES","TOTAL ANOMALIAS","TOTAL ACTUACIONES","MES"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,20,0,0,"ENERO   "
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS CARNE, AHUMADOS, EMBUTIDOS, SALAZONES",15,0,0,0,2,"ENERO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS PESCADO, AHUMADOS, SALAZONES",3,1,4,0,0,"ENERO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS FRUTAS, HORTALIZAS, TUBERCULOS",9,1,1,0,0,"ENERO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,2,5,0,0,"ENERO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,8,8,2,0,"ENERO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,20,0,0,"ENERO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,1,5,0,0,"ENERO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE ADITIVOS",2,1,2,0,0,"ENERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,2,2,0,1,"ENERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,2,2,0,0,"ENERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,0,0,0,2,"ENERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,4,7,0,1,"ENERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,0,0,0,1,"ENERO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,3,4,1,1,"ENERO"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,1,1,0,0,"ENERO"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,5,6,0,0,"ENERO"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,6,8,2,1,"ENERO"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,17,17,3,1,"ENERO"
