FECHA,Cupressaceae valor,Cupressaceae riesgo,Cupressaceae previsin,Cupressaceae tendencia,Platanus valor,Platanus riesgo,Platanus previsin,Platanus tendencia,Urticaceae valor,Urticaceae riesgo,Urticaceae previsin,Urticaceae tendencia,Quercus valor,Quercus riesgo,Quercus previsin,Quercus tendencia,Olea valor,Olea riesgo,Olea previsin,Olea tendencia,Gramneas valor,Gramneas riesgo,Gramneas previsin,Gramneas tendencia,Plantago valor,Plantago riesgo,Plantago previsin,Plantago tendencia,Chenopodiaceae valor,Chenopodiaceae riesgo,Chenopodiaceae previsin,Chenopodiaceae tendencia,Casuarina valor,Casuarina riesgo,Casuarina previsin,Casuarina tendencia,LAT,LON
20170101,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170102,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170103,1,N,1,E,0,N,0,E,1,N,1,E,1,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170104,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170105,1,N,1,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,36.7154446,-4.4729326
20170106,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170107,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170108,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170109,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170110,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
