Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
01/01/2017,CENTRO,SAN MIGUEL,PL PATROCINIO Nr: 1,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2017,CENTRO,CENTRO HISTORICO,PL OBISPO Nr: 1,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2017,BAILEN-MIRAFLORES,PARQUE VICTORIA EUGENIA,CL IBRAHIN Nr: 12,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2017,CRUZ DE HUMILLADERO,SANTA MARTA,CL ANDARAX Nr: 5,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2017,CARRETERA DE CADIZ,PUERTA BLANCA,AV GREGORIO DIEGO Nr: 1,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2017,CARRETERA DE CADIZ,PARQUE MEDITERRANEO,CL REALENGA DE SAN LUIS Nr: 11,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2017,CENTRO,EL MOLINILLO,CL DUQUE DE RIVAS Nr: 1,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2017,CENTRO,CENTRO HISTORICO,CL COMPAÑIA Nr: 2,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
01/01/2017,CENTRO,LA MALAGUETA,PSO MARITIMO CIUDAD DE MELILLA Nr: 17,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
03/01/2017,BAILEN-MIRAFLORES,LA CORTA,CL FAUNO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2017,PALMA-PALMILLA,,Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2017,CENTRO,LA MALAGUETA,PSO MARITIMO PABLO RUIZ PICASSO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2017,CARRETERA DE CADIZ,SACABA BEACH,PSO IBERICO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2017,BAILEN-MIRAFLORES,PAVERO,CL GENOVESES Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2017,CENTRO,EL EJIDO,CL JESUS DEL PRENDIMIENTO Nr: 1,GECOR,Vía Pública,Desratización,Ratas
03/01/2017,CRUZ DE HUMILLADERO,LA UNION,CL FRANCISCO DE SARRIA Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
03/01/2017,BAILEN-MIRAFLORES,LA TRINIDAD,CL VELARDE Nr: 17,Quejas y Sugerencias,Vía Pública,Desratización,Ratas
03/01/2017,ESTE,EL DRAGO,CL PALUSTRE EL Nr: 1,GECOR,Vía Pública,Desratización,Ratas
03/01/2017,BAILEN-MIRAFLORES,LA TRINIDAD,CL CATALUÑA Nr: 4,GECOR,Vía Pública,Desinsectación,Mosquitos
03/01/2017,ESTE,EL PALO,CL ALMERIA Nr: 43,Actuación Programada,Biblioteca Municipal,INSPECCIÓN,Indeterminado
03/01/2017,CIUDAD JARDIN,CIUDAD JARDIN,AV SANTIAGO RAMON Y CAJAL Nr: 24,Actuación Programada,Biblioteca Municipal,INSPECCIÓN,Indeterminado
03/01/2017,CIUDAD JARDIN,JARDIN DE MALAGA,PJE ALCALDE NICOLAS MAROTO Nr: 2,Actuación Programada,Biblioteca Municipal,INSPECCIÓN,Indeterminado
03/01/2017,PALMA-PALMILLA,503 VIVIENDAS,CL DOCTOR GALVEZ MOLL Nr: 11,Actuación Programada,Biblioteca Municipal,INSPECCIÓN,Indeterminado
03/01/2017,ESTE,PEDREGALEJO PLAYA,CL PRACTICANTE PEDRO ROMAN Nr: 7,Actuación Programada,Biblioteca Municipal,INSPECCIÓN,Indeterminado
03/01/2017,CIUDAD JARDIN,CIUDAD JARDIN,CL JEREZ PERCHET Nr: 3,Actuación Programada,Centro Servicios Sociales,INSPECCIÓN,Indeterminado
03/01/2017,ESTE,ECHEVERRIA DEL PALO,AV SALVADOR ALLENDE Nr: 1,Actuación Programada,Policía Local - Bomberos,Desinsectación,Cucarachas
03/01/2017,ESTE,EL PALO,CL MARTINEZ FALERO Nr: 34,Actuación Programada,Junta Municipal Distrito - OMA,INSPECCIÓN,Indeterminado
