FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_industria.fid--295bdb9_15f5b982349_-1bba,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T08:48:19.92,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367980.72802498203 4063739.587384521)
da_industria.fid--295bdb9_15f5b982349_-1bb9,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T08:49:57.173,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367931.0735910253 4063767.4049077737)
da_industria.fid--295bdb9_15f5b982349_-1bb8,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T08:52:01.92,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367886.4312707693 4063791.9539959896)
da_industria.fid--295bdb9_15f5b982349_-1bb7,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T09:39:59.62,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367816.535114863 4063822.1424751747)
da_industria.fid--295bdb9_15f5b982349_-1bb6,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T09:42:59.843,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367572.864954902 4063865.1591525455)
da_industria.fid--295bdb9_15f5b982349_-1bb5,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T09:46:03.653,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367568.52591067215 4063927.381037707)
da_industria.fid--295bdb9_15f5b982349_-1bb4,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T09:54:09.49,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367801.686067712 4063911.8760185023)
da_industria.fid--295bdb9_15f5b982349_-1bb3,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T09:57:17.32,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367717.72782356944 4063943.0278154393)
da_industria.fid--295bdb9_15f5b982349_-1bb2,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T09:59:24.077,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367579.2161809481 4064002.6715773423)
da_industria.fid--295bdb9_15f5b982349_-1bb1,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-07T10:20:21.717,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370729.6472336219 4063238.014107485)
da_industria.fid--295bdb9_15f5b982349_-1bb0,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-07T10:18:54.717,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370786.291305372 4063269.6397566125)
da_industria.fid--295bdb9_15f5b982349_-1baf,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T10:26:11.627,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370820.4532475154 4061262.8083219696)
da_industria.fid--295bdb9_15f5b982349_-1bae,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-07T10:17:26.837,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370843.5800645365 4063302.3296541385)
da_industria.fid--295bdb9_15f5b982349_-1bad,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-07T10:16:25.42,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370898.4826647961 4063333.7434293497)
da_industria.fid--295bdb9_15f5b982349_-1bac,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T10:29:57.023,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370829.8115761699 4060999.206551177)
da_industria.fid--295bdb9_15f5b982349_-1bab,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T10:34:45.82,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370782.6571431676 4061144.7310825437)
da_industria.fid--295bdb9_15f5b982349_-1baa,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-06T10:35:31.873,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370816.74629951624 4061130.2548066867)
da_industria.fid--295bdb9_15f5b982349_-1ba9,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-07T10:13:41.32,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (370871.03222959145 4063396.523426535)
