"TIPO","ENTIDAD","EJERCICIO","ORGÁNICO","PROGRAMA","ECONÓMICO","IMPORTE"
"G",10909,2017,0,1601,60900,400000
"G",10909,2017,0,1611,10100,78500
"G",10909,2017,0,1611,10101,11775
"G",10909,2017,0,1611,13000,16486586
"G",10909,2017,0,1611,13001,38028
"G",10909,2017,0,1611,13002,3462126
"G",10909,2017,0,1611,13100,361809
"G",10909,2017,0,1611,16000,5725696
"G",10909,2017,0,1611,16200,82569
"G",10909,2017,0,1611,16205,425305
"G",10909,2017,0,1611,16209,33000
"G",10909,2017,0,1611,20300,314780
"G",10909,2017,0,1611,20400,55000
"G",10909,2017,0,1611,20600,500
"G",10909,2017,0,1611,20800,55400
"G",10909,2017,0,1611,21200,1225906
"G",10909,2017,0,1611,21300,5926508
"G",10909,2017,0,1611,21600,802512
"G",10909,2017,0,1611,21900,677800
"G",10909,2017,0,1611,22000,34175
"G",10909,2017,0,1611,22001,6600
"G",10909,2017,0,1611,22100,6959749
"G",10909,2017,0,1611,22101,876317
"G",10909,2017,0,1611,22102,2131766
"G",10909,2017,0,1611,22103,81100
"G",10909,2017,0,1611,22111,1270360
"G",10909,2017,0,1611,22112,215650
"G",10909,2017,0,1611,22199,4000967
"G",10909,2017,0,1611,22200,210800
"G",10909,2017,0,1611,22201,245302
"G",10909,2017,0,1611,22204,146690
"G",10909,2017,0,1611,22300,390117
"G",10909,2017,0,1611,22401,45000
"G",10909,2017,0,1611,22402,208500
"G",10909,2017,0,1611,22500,240118
"G",10909,2017,0,1611,22501,119200
"G",10909,2017,0,1611,22502,971507
"G",10909,2017,0,1611,22602,219500
"G",10909,2017,0,1611,22700,255782
"G",10909,2017,0,1611,22701,609674
"G",10909,2017,0,1611,22706,920694
"G",10909,2017,0,1611,22799,2012663
"G",10909,2017,0,1611,23120,22370
"G",10909,2017,0,1611,31004,1074914
"G",10909,2017,0,1611,35900,41900
"G",10909,2017,0,1611,62200,450000
"G",10909,2017,0,1611,62300,5713181
"G",10909,2017,0,1611,62400,70000
"G",10909,2017,0,1611,62500,117000
"G",10909,2017,0,1611,62600,728000
"G",10909,2017,0,1611,62700,190000
"G",10909,2017,0,1611,64800,278513
"G",10909,2017,0,1611,91300,4897848
"I",10909,2017,0,,36400,68968155
"I",10909,2017,0,,39910,607476
"I",10909,2017,0,,52000,14905
"I",10909,2017,0,,59902,1789829
"I",10909,2017,0,,70100,539392
"G",11000,2017,0,9209,10100,"89202,66"
"G",11000,2017,0,9209,13000,"402257,18"
"G",11000,2017,0,9209,13001,400
"G",11000,2017,0,9209,13002,"105513,61"
"G",11000,2017,0,9209,16000,130000
"G",11000,2017,0,9209,16200,1000
"G",11000,2017,0,9209,16205,82600
"G",11000,2017,0,9209,16209,7000
"G",11000,2017,0,9209,20200,1
"G",11000,2017,0,9209,20400,1
"G",11000,2017,0,9209,20500,1900
"G",11000,2017,0,9209,21200,1
"G",11000,2017,0,9209,21300,1410
"G",11000,2017,0,9209,21400,2000
"G",11000,2017,0,9209,22000,4000
"G",11000,2017,0,9209,22001,1690
"G",11000,2017,0,9209,22002,8000
"G",11000,2017,0,9209,22100,3000
"G",11000,2017,0,9209,22101,360
"G",11000,2017,0,9209,22103,4200
"G",11000,2017,0,9209,22104,2000
"G",11000,2017,0,9209,22110,750
"G",11000,2017,0,9209,22111,3000
"G",11000,2017,0,9209,22201,400
"G",11000,2017,0,9209,22204,350
"G",11000,2017,0,9209,22300,100
