FID,ogc_fid,wkb_geometry,icon,elemento,direccion,foto,latitud,longitud,small_foto
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b74,5116,POINT (372985.9739128413 4064662.0846291077),,Alumbrado Inteligente,C/ Tomás Heredia,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/1.jpg,36.717300,-4.423480,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/1.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b75,5117,POINT (371087.9117939443 4061457.2318004216),,Generador Eólico,Calle Pacífico,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/2.jpg,36.688162,-4.444187,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/2.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b76,5118,POINT (371397.56192600867 4061962.783052015),,Farola Eólica,Calle Pacífico,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/3.jpg,36.692760,-4.440807,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/3.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b77,5119,POINT (371390.5773817256 4062074.849505287),,Farola Fotovoltaica,Calle Pacífico,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/4.jpg,36.693769,-4.440904,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/4.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b78,5120,POINT (371398.7383767575 4062041.1051664054),,Cargador Coche Eléctrico,Calle Pacífico,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/5.jpg,36.693466,-4.440807,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/5.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b79,5121,POINT (372401.21572583274 4064117.5272422866),,Aparcamientos libres,C/Jovellanos,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/6.jpg,36.712314,-4.429935,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/6.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b7a,5122,POINT (371535.34189287666 4062759.7581964782),,Zem2all. Centro de Control,"Avenida Sor Teresa Prat, 15",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/7.jpg,36.699961,-4.439399,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/7.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b7b,5123,POINT (367646.5536440754 4059380.090454844),,Punto de recarga rápida VE,"Avenida Comandante García Morato, 29004",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/8.jpg,36.668970,-4.482336,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/8.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b7c,5124,POINT (370664.9166330013 4065044.291374746),,Punto de recarga rápida VE,"Avenida Santa Rosa de Lima, 20-22, 29007",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/8.jpg,36.720431,-4.449527,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/8.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b7d,5125,POINT (372526.5436023713 4064686.2289936817),,Punto de recarga rápida VE,"Avenida Andalucía, 6, 29007, Málaga",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/8.jpg,36.717456,-4.428627,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/8.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b7e,5126,POINT (378575.09383052145 4064915.5708983075),,Punto de recarga rápida VE,"Avenida Alonso Carrillo De Albornoz s/n, 29017",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/8.jpg,36.720316,-4.360953,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/8.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b7f,5127,POINT (371534.4278975867 4062544.060023731),,Punto de recarga rápida VE,"Calle Concejal Muñoz Cerván, 11-17, 29004",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/8.jpg,36.698017,-4.439373,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/8.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b80,5128,POINT (367994.17064249865 4058037.831567652),,Punto de recarga rápida VE,"Calle Alfonso Ponce de León, 29004, Málaga",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/8.jpg,36.656922,-4.478216,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/8.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b81,5129,POINT (367588.0685743507 4064873.5427202582),,Punto de recarga rápida VE,"Avenida Jenofonte, 29010, Málaga",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/8.jpg,36.718468,-4.483941,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/8.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b82,5130,POINT (370309.606128463 4065076.413964436),,Proyecto Victoria- Cabecera,Paseo del Parque/Plaza del General Torrijos,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/9.jpg,36.720672,-4.453510,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/9.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b83,5131,POINT (370257.3190570607 4060789.12628971),,Proyecto Victoria- Fin de línea,Avenida Imperio Argentina,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/9.jpg,36.682028,-4.453368,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/9.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b84,5132,POINT (372235.828318753 4064086.040825),,Electrolinera,"Calle de la Explanada de la Estación, s/n",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/10.jpg,36.712008,-4.431781,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/10.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b85,5133,POINT (370253.2865231162 4063247.3623477765),,Centro de Control de Autobuses,"camino de San Rafael, 97",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/11.jpg,36.704181,-4.453830,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/11.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b86,5134,POINT (373083.1462365005 4064738.9817703),,Realidad Aumentada,Alameda Principal,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/12.jpg,36.718006,-4.422405,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/12.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b87,5135,POINT (373076.46571332857 4064674.0569287594),,Accesibilidad para Invidentes en autobuses,Alameda Principal,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/13.jpg,36.717420,-4.422469,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/13.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b88,5136,POINT (371498.09604316606 4062701.174021996),,Tus trámites online. Gestrisam,"Avenida Sor Teresa Prat, 17",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/14.jpg,36.699428,-4.439806,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/14.jpg
da_ecopuntos.fid--295bdb9_15f6ffaea6c_2b89,5137,POINT (371576.8052568225 4062486.0563668828),,Red municipal de comunicaciones,"C/ Concejal Muñoz Cerván, 3",http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/15.jpg,36.697500,-4.438889,http://ecociudad.malaga.eu/opencms/opencms/system/modules/eu.malaga.ayto.ambiente.msmart/resources/images/fotos/small/15.jpg
