FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,nombre,nombre_ciudad,direccion,id_estado,nombre_estado,num_derbis,lat,lon,id_externo
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7ca7,47,POINT (373173.6994274074 4064586.021572413),,,,,,,-1,-1,-1,,,10,01-Pz. Marina,MALAGA,Plaza de la Marina 1 Málaga,5,Con incidencia,255,36.718507,-4.420138,1
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7ca8,48,POINT (374076.06202870706 4064837.448732392),,,,,,,-1,-1,-1,,,18,02-Pz. Torrijos,MALAGA,Plaza de Torrijo,5,Con incidencia,255,36.720893,-4.410078,2
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7ca9,49,POINT (373458.1729077481 4065114.538596924),,,,,,,-1,-1,-1,,,5,03-Pz. Merced,MALAGA,Plaza de la Merced,5,Con incidencia,255,36.723308,-4.417041,3
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7caa,50,POINT (372684.19824007107 4064251.8597990144),,,,,,,-1,-1,-1,,,11,04-C.A.C.,MALAGA,Av. Comandante Benítez (Centro de Arte Contemporáneo),5,Con incidencia,255,36.71543,-4.425562,4
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cab,51,POINT (372460.58875735727 4063646.0057786372),,,,,,,-1,-1,-1,,,8,05-E. Usos Mult.,MALAGA,Paseo Antonio Machado (Edif. Usos Múltiples),5,Con incidencia,255,36.70994,-4.427964,5
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cac,52,POINT (371749.8947814748 4062519.701855985),,,,,,,-1,-1,-1,,,3,06-Princesa,MALAGA,Paseo Antonio Machado (C/ Princesa),5,Con incidencia,255,36.699694,-4.43573,6
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cad,53,POINT (371104.5783749395 4061349.524425977),,,,,,,-1,-1,-1,,,6,07-Diputación,MALAGA,Paseo Antonio Banderas (Diputación),5,Con incidencia,255,36.689061,-4.442755,7
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cae,54,POINT (371577.408014722 4064952.5960744033),,,,,,,-1,-1,-1,,,12,08-Mnez. Maldonado,MALAGA,C/ Martínez Maldonado (Junta de distrito 4),5,Con incidencia,255,36.721596,-4.438069,8
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7caf,55,POINT (370605.865603439 4064928.175478551),,,,,,,-1,-1,-1,,,7,09-Cdad. Deportiva,MALAGA,Avda. Santa Rosa de Lima (Ciudad Deportiva),5,Con incidencia,255,36.721244,-4.448941,9
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cb0,56,POINT (372516.0824974758 4065529.544513062),,,,,,,-1,-1,-1,,,1,10-G. Ginachero,MALAGA,Av. Dr. Gálvez Ginachero.,5,Con incidencia,255,36.726922,-4.427657,10
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cb1,57,POINT (372906.22975812823 4068064.5625930177),,,,,,,-1,-1,-1,,,9,11-Cdad. Jardín,MALAGA,Polideportivo Ciudad Jadín,5,Con incidencia,255,36.749820,-4.423711,11
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cb2,58,POINT (373514.9137053457 4064735.2079798225),,,,,,,-1,-1,-1,,,15,12-Rectorado,MALAGA,Av.Cervantes (Rectorado),5,Con incidencia,255,36.719897,-4.416343,12
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cb3,59,POINT (372283.2271548669 4064452.796067547),,,,,,,-1,-1,-1,,,26,13-Av. Andalucia,MALAGA,Avda Andalucía (plaza de Manuél Alcántara),5,Con incidencia,255,36.717187,-4.430084,13
da_aparcamientosBiciEMT.fid--5b4dc7ae_15d7714c61c_7cb4,60,POINT (372018.30507382477 4063965.5223460025),,,,,,,-1,-1,-1,,,2,14-Est. Autobuses,MALAGA,Estación de Autobuses,5,Con incidencia,255,36.71276,-4.432968,14
