FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,domicilio,tipo
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66b5,4739,POINT (371581.1681990983 4064246.968440126),,,,,,,-1,-1,-1,0,,C/ Babel_ 10,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66b6,4740,POINT (374119.5398955655 4064857.99752065),,,,,,,-1,-1,-1,0,,Paseo de Réding_ 33,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66b7,4741,POINT (371832.5413705223 4065316.0906423256),,,,,,,-1,-1,-1,0,,Av. Eugenio Gross_ 40,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66b8,4742,POINT (373183.31302857836 4064859.8919900036),,,,,,,-1,-1,-1,0,,C/ Molina Lario_ 6,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66b9,4743,POINT (373600.4019068183 4065407.747909104),,,,,,,-1,-1,-1,0,,C/ Lagunillas_ 51,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66ba,4744,POINT (371031.0899650138 4061923.9040265176),,,,,,,-1,-1,-1,0,,C/ Luis Barahona de Soto_ 1,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66bb,4745,POINT (372787.49936571706 4064118.5355405775),,,,,,,-1,-1,-1,0,,Alameda de Colón_ 24,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66bc,4746,POINT (371082.5144266306 4064482.464985962),,,,,,,-1,-1,-1,0,,Plaza de Pío XII_ 2,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66bd,4747,POINT (377120.0121194293 4064991.8322142744),,,,,,,-1,-1,-1,0,,C/ Juan Valera_ 2,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66be,4748,POINT (371217.2445471949 4063878.5477477536),,,,,,,-1,-1,-1,0,,Av. Ortega y Gasset_ 5,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66bf,4749,POINT (371202.64318303694 4064234.8298565787),,,,,,,-1,-1,-1,0,,C/ Miguel  Moreno Masson_ 2,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c0,4750,POINT (373120.1452278747 4068012.539469656),,,,,,,-1,-1,-1,0,,C/ Estudiante Crisóstomo_ 1,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c1,4751,POINT (371471.7675790274 4065650.1546121887),,,,,,,-1,-1,-1,0,,Camino de Suárez_ 32,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c2,4752,POINT (372148.04094661167 4067121.4301475603),,,,,,,-1,-1,-1,0,,C/ Ebro local C. (Mercado Palma),1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c3,4753,POINT (369056.96022805956 4065398.289675724),,,,,,,-1,-1,-1,0,,C/ Navarro Ledesma_ 56,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c4,4754,POINT (371283.9034843721 4065596.6960995053),,,,,,,-1,-1,-1,0,,C/ Martínez de la Rosa_ 151,1
