ENTIDAD,DESCRIPCIÓN
"10909","EMPRESA MUNICIPAL DE AGUAS"
"11000","CENTRO MUNICIPAL DE INFORMATICA"
"19910","PATRONATO BOTANICO MPAL. 'CIUDAD DE MALAGA'"
"20010","GERENCIA MPAL. URBANISMO, OBRAS E INFRAESTRUCTURA"
"25000","INSTITUTO MUNICIPAL PARA LA FORMACION Y EL EMPLEO"
"25100","FUNDACION PABLO RUIZ PICASSO"
"26755","FUNDACION DEPORTIVA MUNICIPAL"
"28909","MALAGA DEPORTES Y EVENTOS"
"30909","SOCIEDAD MUNICIPAL DE APARCAMIENTOS Y SERVICIOS"
"35909","FESTIVAL DE CINE MALAGA E INICIATIVAS AUDIOV. S.A"
"36900","ORQUESTA SINFONICA 'CIUDAD DE MALAGA'"
"36909","PALACIO DE FERIAS Y CONGRESOS"
"40909","EMPRESA MPAL. INICIATIVAS Y ACTIV. EMPRESARIALES"
"53909","MAS CERCA SAM"
"68909","EMPRESA LIMPIEZAS MUNICIPALES Y PARQUE DEL OESTE"
"72000","AGENCIA MUNICIPAL DE LA ENERGIA"
"77777","EXCMO. AYUNTAMIENTO DE MALAGA"
"77909","EMPRESA MALAGUEÑA DE TRANSPORTES"
"80000","GESTION TRIBUTARIA Y OTROS SERV DEL AYTO DE MALAG"
"80909","EMPRESA DE GESTION TRIBUTARIA S.A.M."
"82909","EMPRESA MPAL. DE GESTION DE MEDIOS DE COMUNICACIO"
"88888","TEATRO CERVANTES DE MALAGA, S.A.M."
"94600","INSTITUTO MUNICIPAL DE LA VIVIENDA"
"98909","SOCIEDAD MUNICIPAL DE VIVIENDAS DE MALAGA SL"
"99906","FUNDACION FELIX REVELLO DE TORO"
"99907","FUNDACION PALACIO VILLALON"
"99909","PARQUE CEMENTERIOS DE MALAGA"
