FID,ID_EQUIPAMIENTO,TOOLTIP,FINALIDAD,SDOPUNTO
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8f6,113,"Biblioteca Pública Municipal ""Francisco de Quevedo"" (La Luz)","Biblioteca Pública Municipal que se encuentra en el distrito 7. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (370205.5043828647 4062141.938577404)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8f5,116,"Biblioteca Pública Municipal ""Manuel Altolaguirre"" (Unión)","Biblioteca Pública Municipal que se encuentra en el distrito 6. Es un  centro vivo de cultura que pretende:

- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
- Estimular el interés en el conocimiento y favorecer el aprendizaje.


<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (371587.9703456046 4064055.1771195605)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8f4,122,"Biblioteca Pública Municipal ""Jorge Luis Borges"" (Campanillas)"," Biblioteca Pública Municipal que se encuentra en el distrito 9. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br><a href=""http://www.malaga.eu target=""_blank"">- Multimedia.</a>
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (362025.4682791733 4065799.732958877)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8f3,261,"Biblioteca Pública Municipal ""Salvador Rueda"" (Ciudad Jardín)","Biblioteca Pública Municipal que se encuentra en el distrito 3. Es un  centro vivo de cultura que pretende:

- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (372904.14740904985 4066837.331299235)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8f2,333,Sección de BIBLIOTECAS MUNICIPALES (Área de Cultura),"Dirección, supervisión y control del personal adscrito a la sección.
Elaboración de propuestas del presupuesto de la Red de Bibliotecas Municipales.
Gestión y planificación de los servicios bibliotecarios.
Coordinación de las actividades y servicios de las bibliotecas.
Planificación de instalaciones y equipamientos de nuevas bibliotecas y elaboración y diseño de 'programas funcionales' para la elaboración de proyectos de nueva construcción, ampliación y mejora de las bibliotecas existentes.
Coordinación y seguimiento del sistema de calidad en bibliotecas. 
Establecer relaciones con otras entidades y organismos que incidan en el ámbito de las bibliotecas.
Realización de memorias, estudios y estadísticas de la Red de Bibliotecas Municipales.
En general, todas las tareas afines a la categoría del puesto y semejantes a las anteriormente descritas, que les sean recomendadas por sus superiores jerárquicos y resulten necesarias por razones del servicio.
",POINT (372900.72209541994 4064442.811560362)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8f1,282,Bibliobús Municipal de Málaga,"Autobús equipado con una biblioteca que se desplaza por diferentes barriadas de Málaga:<br><br> <table border=""1"" width=""100%"" cellspacing=""0"" cellpadding=""0""> <tr> <td width=""20%"" align=""center""><b>LUNES</b></td><td width=""20%"" align=""center""><b>MARTES</b></td><td width=""20%"" align=""center""><b>MIERCOLES</b></td>    <td width=""20%"" align=""center""><b>JUEVES</b></td> <td width=""20%"" align=""center""><b>VIERNES</b></td></tr>
<tr><td width=""20%"" align=""center""><p><b>CAMPANILLAS</b><br>
<i>Huertecilla-Mañas</i><br><font color=""#0000FF"">16:00 a 17:00</font><br>
<i>Colmenarejo</i><br><font color=""#0000FF"">17:30 a 18:30</font><br>
<i>Castañetas</i><br><font color=""#0000FF"">19:00 a 20:00</font></td></p><td width=""20%"" align=""center""><p><b>CRUZ DE HUMILLADERO</b><br><i>Cortijo Alto</i><br><font color=""#0000FF"">16:00 a 17:30</font></p><p><b>CHURRIANA</b><br><i>Cortijo de Mazas</i><br><font color=""#0000FF""> 18:00 a 20:00</font></p>
</td></p><td width=""20%"" align=""center"">
<p><b>CHURRIANA</b><br><i>Guadalmar</i><br><font color=""#0000FF"">16:00 a 17:30</font><br><i>San Julián</i><br><font color=""#0000FF"">17:30 a 18:30</font><br></p>
<i><p><b>CRUZ DE HUMILLADERO</b><br><i>Los Prados</i><br><font color=""#0000FF"">19:00 a 20:00</font></td></p><td width=""20%"" align=""center""><p><b>EL PALO</b><br>
<i>Olías - La Araña(quincenal)</i><br><font color=""#0000FF"">16:00 a 17:00</font><br>
<i>Jarazmín</i><br><font color=""#0000FF"">17:30 a 18:30</font><br>
<i>La Mosca</i><br><font color=""#0000FF"">19:00 a 20:00</font></td></p><td width=""20%"" align=""center""><p><b>Pto. de la TORRE</b><br><i>Fuente Alegre (quincenal)</i><br>
<font color=""#0000FF"">16:00 a 17:00<br></font>
<i>Finca Cabello(quincenal)</font></i><br>
<font color=""#0000FF"">16:00 a 17:00</font></p>

<p><b>CAMPANILLAS</b><br><i>El Viso</i><br><font color=""#0000FF"">17:30 a 18:30</font><br><i>El Tarajal</i><br><font color=""#0000FF"">19:00 a 20:00</font></p>
</td></tr></table>",POINT (372906.06436500803 4064441.622588076)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8f0,107,"Biblioteca Pública Municipal ""Jorge Guillén"" (Perchel)","Biblioteca Pública Municipal que se encuentra en el distrito 1. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (372318.3521302605 4064208.4735421636)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8ef,119,"Biblioteca Pública Municipal ""José María Hinojosa"" (Colonia Santa Inés)","Biblioteca Pública Municipal que se encuentra en el Distrito 10 - Puerto de la Torre. Es un  centro vivo de cultura que pretende:

- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
- Estimular el interés en el conocimiento y favorecer el aprendizaje.


<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (368904.60669355566 4065418.5587145756)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8ee,109,"Biblioteca Pública Municipal ""Emilio Prados"" (Palo)","Biblioteca Pública Municipal que se encuentra en el distrito 2. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (378873.47320958116 4064766.7297324687)
da_bibliotecas.fid--7b4b556b_15ed4cde20f_-8ed,114,"Biblioteca Pública Municipal ""Francisco Guillén Robles"" (Santa Paula)","Biblioteca Pública Municipal que se encuentra en el distrito 7. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (370847.9393817488 4061546.34104977)
