FID,ID_EQUIPAMIENTO,TOOLTIP,FINALIDAD,SDOPUNTO
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-806,25,"Centro municipal socialcultural del Perchel ""La Serna"" (Distrito 1 Centro)","Centro donde se desarrollan actividades Culturales, recreativas, talleres, lugar de reuniones, etc. para su ámbito de influencia (barrio del Perchel)",POINT (372318.07008374535 4064129.694339817)
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-805,57,Centro Social - Casa de la Juventud (Distrito 2 Este),Centro en el que se realizan diferentes actividades.,POINT (378922.0236552304 4064599.603786407)
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-804,1206,Casa del Consulado.  Sociedad Económica de Amigos del País. ,"Periodo: Siglo XVIII.

El edificio creado en 1785, viene a ser ocupado primeramente por el Consulado del Mar, donde más tarde se establece el Colegio de los Jesuitas en parte de sus dependencias. Es un edificio que se convierte en ejemplo típico de la arquitectura doméstica del siglo XVIII, con balcones corridos en sus pisos superiores donde se abren huecos regulares y patio central rodeado de galerías voladas.",POINT (372986.1021564467 4064898.708386016)
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-803,1385,Centro Social OSAH,LOCAL MUNICIPAL QUE USA LA ASOCIACION COMO SEDE ,POINT (370989.3728515148 4064408.166146078)
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-802,1830,Parque de Huelin,Zona verde para el disfrute de los ciudadanos,POINT (371973.8015537545 4063159.0043847477)
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-801,1870,Centro Social Dos Hermanas (Distrito 7 Carretera de Cádiz),Centro social 'Adolfo Cervantes' en el que se realizan direfentes actividades.,
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-800,2950,Consulado Honorario de la Republica de Polonia de Andalucía,Consul Sr. D. José Luis Sánchez Dominguez. Consul Honorario de la Republica de Polonia en Andalucía,
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-7ff,2606,Centro Cultural Provincial de la Diputación de Málaga,"Espectáculos y conciertos
",
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-7fe,2770,La Caja Blanca,"Un lugar único, de vanguardia para difundir el arte y todas las creaciones artística imaginables e inimaginables: un espacio para la creación y el arte joven. Un lugar que ofrece a los ciudadanos/as la oportunidad de participar en los retos de la creación y de la expectación. Este centro de la imaginación es el futuro y se hace presente en la extraordinaria realidad cultural de Málaga y el gran momento de creatividad de sus jóvenes.",POINT (368293.15892833006 4065562.218792838)
da_centrosCulturales.fid--7b4b556b_15ed4cde20f_-7fd,1384,Centro Social AV Tiro Pichon,Asociación de Vecinos Tiro de Pichón ,POINT (370335.0656010423 4063936.56678888)
