FID,ID_EQUIPAMIENTO,DESCRIPCION,FINALIDAD,ACCESO_MIN,CALLE,NUMERO,OTROS,HORARIO,DIREC_WEB,E_MAIL,CONTACTO,DETALLE,MASINFO,OBSERVACION,TARJETA_JOVEN,LATITUD,LONGITUD,IMPORTE_INVERTIDO,FECHAINICIO_OBRA,FECHAFIN_OBRA,CATEGORIA,ESPECIALIDAD,DISTRITO,SDOPUNTO
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_6175,8810,Parque Infantil Fuente de Lavapies,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de pequeño y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Muelle simple
- Multijuegos
",N,CALLE FUENTE DE LAVAPIÉS,1,,,,parquesyjardines@malaga.eu,,,,,N,36.73271,-4.53153,,,,38,126,CAMPANILLAS,POINT (363250.30321554607 4066314.9282037383)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_6893,3733,Centro Ciudadano Colmenarejo,"Acoge las entidades: A.VV. Los Obreros (Colmenarejo) y el Hogar del Jub. Ntra. Sra. del Carmen, que desarrollan sus actividades en este centro para uso y disfrute de la ciudadanía en general.
",N,CALLE FUENTE DE LAVAPIÉS,3,,"de lunes a viernes, mañana y tarde",,,,,,,N,36.73248,-4.53143,,,,42,187,CAMPANILLAS,POINT (363258.824792273 4066289.269303018)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_6895,3329,Parque de Mayores Barriada Colmenarejo,"Los Parques de Mayores son equipamientos adaptados para mayores que unen la posibilidad de realizar ejercicio saludable de una forma entretenida, con la creación de espacios que facilitan la relación personal y social entre los mayores.",N,CALLE PRINCIPAL DE COLMENAREJO,1,Frente al Hogar de Jubilados y AV,,,,,,,,N,36.73258,-4.53284,,,,38,211,CAMPANILLAS,POINT (363133.095013396 4066302.3774020285)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68a1,4542,Centro de Actividades Físicas de Mayores Campanillas. Área de Deporte,"Centro en el que se desarrolla un programa de Actividades Físicas para Mayores que trata de incidir, entre otras, en la mejora de las condiciones y aptitudes físicas, en la adquisición de hábitos en el tiempo de ocio saludables, en el desarrollo personal y de las relaciones sociales.",N,CALLE CRISTOBALINA FERNÁNDEZ,4,Centro de Servicios Sociales,"<b>MAÑANAS</b>
 Lunes a  jueves 10:00 a 13:00 horas.
<b>TARDES</b>
 Martes y jueves: 17.00 a 19.00 horas.",http://deporte.malaga.eu,,,,,,N,36.72261,-4.53623,,,,34,103,CAMPANILLAS,POINT (362812.6429153688 4065201.159522126)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68a4,223,Jefatura de Policía de Barrio Campanillas (Policía Local),Se encarga de realizar las funciones específicas de Policía del Distrito de Campanillas.,S,CALLE CRISTOBALINA FERNÁNDEZ,4,,"Atención al ciudadano todos los días las 24 horas. <br>
Denuncias de lunes a viernes de 8:00 a 22:00 horas, excepto festivos.",http://www.malaga.eu,gd109.plocal@malaga.eu,INSPECTOR,,,,N,36.72304,-4.53672,,,,40,141,CAMPANILLAS,POINT (362769.6474863901 4065249.565383601)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68a5,196, Centro de Servicios Sociales Comunitarios Distrito Campanillas,"El Centro de Servicios Sociales, a través de un equipo interdisciplinar, ofrece:
- Una atención personalizada a individuos, grupos y entidades. 
- El estudio, valoración y tratamiento de las necesidades sociales. 
- La gestión de servicios y prestaciones sociales acorde con el diagnóstico social y las Normativas de Servicios Sociales vigentes. 
- Realización de actividades comunitarias.",S,CALLE CRISTOBALINA FERNÁNDEZ,4,,De 9:00 a 14:00 horas.,http://www.malaga.eu,css9@malaga.eu,,,,,N,36.72304,-4.53672,,,,114,431,CAMPANILLAS,POINT (362769.6474863901 4065249.565383601)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68a6,8448,Parque Infantil La Cenicienta,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con tres zonas con varios elementos de juego de pequeño, mediano y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho y césped artificial, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Columpio madera
- Muelle simple
- Conjunto casa, tobogán, rocódromo
- Columpio madera
- Muelle simple",N,CALLE DE LA CENICIENTA,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72585,-4.54245,,,,38,126,CAMPANILLAS,POINT (362262.93787170766 4065569.529927769)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68a7,8799,Parque La Cenicienta,"Está catalogado en el grupo de los Parques Biosaludables debido a que poseen un equipamiento diseñado para adultos para la práctica de ejercicio físico. Son especialmente recomendables para mayores de 60 años porque les permiten mejorar la movilidad, aumentar la flexibilidad y tonificar la musculación de todo el cuerpo, además de mantener la forma física y prevenir o tratar diferentes dolencias o lesiones concretas.
Este parque cuenta con los siguientes tipos de máquinas:

- Circuito (ciclo pedal, timón, giro de cintura, abdominales)
- Dorsales
- Barras paralelas
- Elíptica
- Volantes
- Giratorio de cintura triple
",N,CALLE DE LA CENICIENTA,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72585,-4.54245,,,,38,311,CAMPANILLAS,POINT (362262.93787170766 4065569.529927769)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68a8,666,PARQUE CEMENTERIO MÁLAGA S.A. (PARCEMASA),"Gestiona y explota los cementerios de Málaga capital. 
Servicios fúnebres.",S,DISEMINADO CEMENTERIO SAN GABRIEL,1,"Carretera COLONIA SANTA INES, Km 5<br>  CP 29590 Campanillas",,http://www.parcemasa.com,direccion@parcemasa.com,,,,,N,36.72170601,-4.51702944,,,,27,35,CAMPANILLAS,POINT (364525.80568184523 4065073.55938294)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68a9,44,Cementerio de San Gabriel,Servicio de cementerio y sala de duelo.,S,DISEMINADO CEMENTERIO SAN GABRIEL,1,"CMNO SANTA INÉS, Km. 5 <br>  CP 29590",Oficina información: de 8:00 a 15:30 horas.<br>Contratación y caja: de 8:00 a 14:30 horas.<br>Visita a Necrópolis: de 9:00 a 18:00 horas.<br>Información telefónica: 24 horas.,http://www.parcemasa.com,direccion@parcemasa.com,,,,,N,36.72170601,-4.51702944,,,,41,146,CAMPANILLAS,POINT (364525.80568184523 4065073.55938294)
