ID;MARCA;MODELO;FABRICANTE;DESCRICION;NIVEL;FECHA_TOMA_DATO
1;Cesva;LRF-04;CESVA;Limitadores;76.3;24-FEB-11 05.01.16,098088 AM
1;Cesva;LRF-04;CESVA;Limitadores;63.3;24-FEB-11 05.01.16,133756 AM
1;Cesva;LRF-04;CESVA;Limitadores;53;24-FEB-11 05.01.16,141488 AM
1;Cesva;LRF-04;CESVA;Limitadores;53.3;24-FEB-11 05.01.16,146929 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.4;24-FEB-11 05.01.16,356868 AM
1;Cesva;LRF-04;CESVA;Limitadores;77.4;24-FEB-11 05.01.16,374383 AM
1;Cesva;LRF-04;CESVA;Limitadores;78.8;24-FEB-11 05.01.16,387227 AM
1;Cesva;LRF-04;CESVA;Limitadores;77.5;24-FEB-11 05.03.15,395956 AM
1;Cesva;LRF-04;CESVA;Limitadores;60.4;24-FEB-11 05.03.15,407927 AM
1;Cesva;LRF-04;CESVA;Limitadores;52.1;24-FEB-11 05.03.15,419510 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.8;24-FEB-11 05.03.15,424607 AM
1;Cesva;LRF-04;CESVA;Limitadores;77.1;24-FEB-11 05.03.15,565183 AM
1;Cesva;LRF-04;CESVA;Limitadores;83.9;24-FEB-11 05.03.15,577378 AM
1;Cesva;LRF-04;CESVA;Limitadores;83.8;24-FEB-11 05.03.15,582035 AM
1;Cesva;LRF-04;CESVA;Limitadores;79.9;24-FEB-11 12.00.43,310220 PM
1;Cesva;LRF-04;CESVA;Limitadores;69.7;24-FEB-11 12.00.43,338557 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.8;24-FEB-11 12.00.43,373736 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.7;24-FEB-11 12.00.43,397268 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.7;24-FEB-11 12.00.43,690836 PM
1;Cesva;LRF-04;CESVA;Limitadores;81.6;24-FEB-11 12.00.43,715347 PM
1;Cesva;LRF-04;CESVA;Limitadores;82.7;24-FEB-11 12.00.43,725969 PM
1;Cesva;LRF-04;CESVA;Limitadores;91.2;24-FEB-11 12.01.34,322715 PM
1;Cesva;LRF-04;CESVA;Limitadores;84.9;24-FEB-11 12.01.34,373356 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.6;24-FEB-11 12.01.34,709339 PM
1;Cesva;LRF-04;CESVA;Limitadores;84.6;24-FEB-11 12.01.34,715166 PM
1;Cesva;LRF-04;CESVA;Limitadores;90;24-FEB-11 12.02.13,137921 PM
1;Cesva;LRF-04;CESVA;Limitadores;76.3;24-FEB-11 12.02.13,147048 PM
1;Cesva;LRF-04;CESVA;Limitadores;96.7;24-FEB-11 12.02.13,361976 PM
1;Cesva;LRF-04;CESVA;Limitadores;96;24-FEB-11 12.02.13,387672 PM
1;Cesva;LRF-04;CESVA;Limitadores;94;24-FEB-11 12.02.13,400050 PM
1;Cesva;LRF-04;CESVA;Limitadores;96;24-FEB-11 12.02.13,435495 PM
1;Cesva;LRF-04;CESVA;Limitadores;81.9;24-FEB-11 12.03.02,065812 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.4;24-FEB-11 12.03.02,078233 PM
1;Cesva;LRF-04;CESVA;Limitadores;97.7;24-FEB-11 12.03.02,493528 PM
1;Cesva;LRF-04;CESVA;Limitadores;96.6;24-FEB-11 12.03.02,501975 PM
1;Cesva;LRF-04;CESVA;Limitadores;94.1;24-FEB-11 12.03.02,518607 PM
1;Cesva;LRF-04;CESVA;Limitadores;93.1;24-FEB-11 12.03.02,526636 PM
1;Cesva;LRF-04;CESVA;Limitadores;71.6;24-FEB-11 12.03.42,186767 PM
1;Cesva;LRF-04;CESVA;Limitadores;62.1;24-FEB-11 12.03.42,287538 PM
1;Cesva;LRF-04;CESVA;Limitadores;59.7;24-FEB-11 12.03.42,313557 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.2;24-FEB-11 12.03.42,423155 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.4;24-FEB-11 12.03.42,843905 PM
1;Cesva;LRF-04;CESVA;Limitadores;71.2;24-FEB-11 12.03.42,859556 PM
1;Cesva;LRF-04;CESVA;Limitadores;75.3;24-FEB-11 12.03.42,872900 PM
1;Cesva;LRF-04;CESVA;Limitadores;75.1;24-FEB-11 12.03.42,899793 PM
1;Cesva;LRF-04;CESVA;Limitadores;82.8;24-FEB-11 12.04.27,274113 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.4;24-FEB-11 12.04.27,325783 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.8;24-FEB-11 12.04.27,357534 PM
1;Cesva;LRF-04;CESVA;Limitadores;50;24-FEB-11 12.04.27,373389 PM
1;Cesva;LRF-04;CESVA;Limitadores;71.6;24-FEB-11 12.04.27,631319 PM
1;Cesva;LRF-04;CESVA;Limitadores;82.7;24-FEB-11 12.04.27,639734 PM
1;Cesva;LRF-04;CESVA;Limitadores;81.1;24-FEB-11 12.04.27,646485 PM
1;Cesva;LRF-04;CESVA;Limitadores;79;24-FEB-11 12.05.08,190496 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.5;24-FEB-11 12.05.08,202081 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.3;24-FEB-11 12.05.08,207919 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.3;24-FEB-11 12.05.08,215258 PM
1;Cesva;LRF-04;CESVA;Limitadores;52.4;24-FEB-11 12.05.08,357873 PM
1;Cesva;LRF-04;CESVA;Limitadores;83.7;24-FEB-11 12.05.08,363006 PM
1;Cesva;LRF-04;CESVA;Limitadores;83.2;24-FEB-11 12.05.08,368580 PM
1;Cesva;LRF-04;CESVA;Limitadores;83.3;24-FEB-11 12.05.48,256482 PM
1;Cesva;LRF-04;CESVA;Limitadores;75.9;24-FEB-11 12.05.48,280854 PM
1;Cesva;LRF-04;CESVA;Limitadores;51;24-FEB-11 12.05.48,287801 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.8;24-FEB-11 12.05.48,305313 PM
