"poiID","nombre","direccion","telefono","correoelectronico","latitude","longitude","altitud","capacidad","capacidad_discapacitados","fechahora_ultima_actualizacion","libres","libres_discapacitados","nivelocupacion_naranja","nivelocupacion_rojo","smassa_sector_sare"
"1","Salitre","Calle Salitre - Málaga","","","36.7132149","-4.4276681","13.243120","342","","2017-10-31 16:42:02","205","","17","5",""
"2","Cervantes","Calle Cervantes - Málaga","","","36.7208633","-4.4119148","17.603046","414","","2017-10-31 16:42:03","179","","22","5",""
"3","El Palo","Calle Alonso Carrillo De AlbornozMálaga","","","36.7210350","-4.3607192","8.052847","-1","","2017-10-31 16:42:03","-1","","7","5",""
"4","Av. de Andalucía","Avenida De Andalucía - Málaga","","","36.7171364","-4.4277549","13.341649","517","","2017-10-31 16:42:03","410","","31","5",""
"5","Camas","Calle Camas -  Málaga","","","36.7202072","-4.4244981","8.186700","320","","2017-10-31 16:42:03","124","","23","5",""
"6","Cruz De Humilladero","Plaza Cruz De HumilladeroMálaga","","","36.7118645","-4.4409118","10.032028","104","","2017-10-31 16:42:03","102","","12","5",""
"8","Alcazaba","Plaza La Alcazaba - Málaga","","","36.7224312","-4.4165168","22.119249","344","","2017-10-31 16:42:04","99","","27","5",""
"9","San Juan De La Cruz","Plaza San Juan De La Cruz - Málaga","","","36.7178154","-4.4327059","16.551939","350","","2017-10-31 16:42:04","284","","35","5",""
"10","Pz. de la Marina","Plaza De La Marina - Málaga","","","36.7174149","-4.4200468","6.601910","440","","2017-10-31 16:42:04","43","","23","5",""
"12","Tejón y Rodriguez","Calle Tejón Y Rodriguez - Málaga","","","36.7235985","-4.4214821","20.743837","170","","2017-10-31 16:42:04","99","","13","5",""
"138","El Carmen","","","","36.7128143","-4.4301929","11.231559","-1","","2017-10-31 16:42:04","-1","","19","5",""
"139","Mármoles","","","","36.7205887","-4.4283662","12.562503","-1","","2017-10-31 16:42:05","-1","-1","10","5","12"
"140","El Limonar","Limonar -  Málaga (Málaga)","","","36.7229767","-4.3980031","5.447870","161","0","2017-10-31 16:42:05","-1","-1","16","8","16"
