X,Y,FID,Nom_de_la,Places
2.285673102329983,42.005127715685688,1,Aparcament Mercat Municipal,1
2.276285655826375,41.997326235889226,2,Aparcament Pavelló Municipal,3
2.284185147061594,41.999921257452165,3,Aparcament subterrani Plaça Fra Bernadí,7
2.28636062472774,42.001960045567685,4,Aparcament Torrent Magí,1
2.285713506593156,42.004408129179609,5,"Avinguda de Roma, 102",1
2.277787270999283,42.002674233034092,6,"Avinguda de Roma, 202",1
2.294238374195074,42.011977840246196,7,"Carrer Alp, 25",3
2.28359226218537,42.00122441103656,8,"Carrer Alta Cortada, 1",1
2.282500511242379,42.000589662987217,9,"carrer Baixa Cortada, 7",1
2.282426494594181,42.000578752320031,10,"carrer Baixa Cortada, 9",1
2.284174932788805,42.005394145914565,11,"Carrer Bellfort, 10-8",1
2.290862600617587,42.00050878687928,12,"Carrer Cavalleria, 98",1
2.285402150091579,42.00063899373307,13,Carrer de la Font,1
2.281349518384622,42.001103414884405,14,"Carrer de la Pau, (cantonada pl. Mercat)",2
2.282403369787304,42.003862241154209,15,"Carrer General Weyler, 6",1
2.281511908002754,42.005322775176744,16,"Carrer Girona, 22",1
2.275997992676062,41.999087489063143,17,Carrer Josep Serra Sió,2
2.290677010671717,42.00301073674941,18,"Carrer Lleida, 2",1
2.284860817528052,42.006022350030946,19,"Carrer Madiroles, 1",1
2.289094148383225,41.999865780043784,20,"Carrer Osona, 2",1
2.284236214107975,42.004711351194665,21,"Carrer Pericas, 5",1
2.284292167485428,42.005729291333367,22,Carrer Pintor Guàrdia-parc de l'Erm,2
2.278499655935083,41.99947475257229,23,"Carrer Rusiñol, 27",1
2.284398120751931,41.997603425014056,24,Carrer Sant Ferran,2
2.293766308535768,42.002072225713363,25,"Carrer Sescorts, 39",1
2.275162668773347,42.00247637827313,26,Carrer Tarafa (La Vola),1
2.288818069845061,41.999884924511953,27,Carrer Torrent Magí-Bisbe Aguilar,1
2.281259653058294,42.000602551971951,28,Pg. Doctor Joan Oliveras (davant 132),1
2.278983123841999,42.005515565352773,29,Carrer Vilamirosa 109,1
2.279067203856538,42.004731734032404,30,"Carrer Vilamirosa, 97",1
2.289801400440588,42.002265381538926,31,"Carretera Olot, 66",1
2.285009988532117,42.007824580698077,32,Centre Cívic. Carrer Mossèn Aulet,1
2.287549952212498,42.003073761728793,33,Centre d' Atenció Primària. Carrer Castellot,2
2.275167977970322,42.001531815091369,34,Escola Casals-Gràcia. Carrer Tarafa,1
2.28863941576593,42.008225656184358,35,Escola d' adults. Plaça Llevant,1
2.28402643011366,41.998777395766545,36,"Escola El Carme Vedruna. Carrer Sant Domènec,20",1
2.296694684080361,42.003023762876921,37,"Escola Pompeu Fabra. Carrer Pompeu Fabra, 34",2
2.284498635095228,42.005382120901906,38,Escola Puig-Agut. Carrer Pintor Guàrdia,2
2.27769761075796,42.008184758684912,39,"Escola Quatre Vents. Avinguda Pirineus,19",1
2.269404387498928,42.000179517924344,40,Estació Renfe,1
2.287415330317834,42.002068444280852,41,"Hospital Sant Jaume. Ctra Olot, 7",2
2.274896377429352,42.002464247380011,42,"Institut Antoni Pous i Argila. Avinguda de Roma,260",1
2.290845619871513,41.999174778778979,43,Museu Industrial del Ter. Passeig del Ter,2
2.285383748295178,42.002169946578135,44,"Passeig de Sant Joan, 113",2
2.284218099640626,42.003613429884986,45,"Passeig de Sant Joan, 149",1
2.283631629754646,42.004573432488613,46,"Passeig de Sant Joan, 156",1
2.283566185819409,42.004274034896468,47,"Passeig de Sant Joan, 161",1
2.283051307837754,42.004801467495462,48,Passeig de Sant Juan 175-177,1
2.28711757241504,42.004464091745739,49,"Passeig del Puig, 2",1
2.277128345208515,42.007971410050054,50,"Escola Quatre Vents. Avinguda Pirineus,19",1
2.29370016866897,42.003534158839905,51,Piscina Municipal. Carretera Olot,2
2.283754926471779,42.001194567196293,52,Plaça Dalt Vila,1
2.28935253939231,42.005139080422985,53,"Plaça de la Sardana, 6",1
2.288672914826938,42.007776857184638,54,"Plaça Llevant, 1",1
2.280757613845713,41.999435900452148,55,C. Vendrell 30,1
2.283117958353016,41.998734259777017,56,C. Sant Domènec 36,1
2.280671555936946,41.997878889791181,57,Pg. del Ter (davant 29),1
2.26944678831841,41.999793434442694,58,Estació Renfe,2
2.284501665835831,42.000780291917685,59,Carrer de la Font -tres creus-,2
2.28896558483097,42.007933787400411,60,"Plaça Llevant, 2",1
2.283940197921325,42.006993074645848,61,C. Madiroles -Parc de l'Erm-,1
2.284579636779697,42.007600553721183,62,Centre Cívic. Carrer Mossèn Aulet,1
2.279731110916328,42.001268199848546,66,Pg. Doctor Joan Oliveras 139,1
