X,Y,OBJECTID,Data_incor,Mes,Expedient,Sexe,Edat,Municipi,Franja_eda,Barri
2.487902730398403,42.17993602069167,1,17/02/2015,febrer,S,Dona,41,Olot,35 a 44 anys,fora de Manleu
2.294797145870533,42.07349474388765,2,19/02/2015,febrer,S,Dona,49,Sant Pere de Torelló,45 a 54 anys,fora de Manleu
2.37171070184067,42.043203260882578,3,24/02/2015,febrer,S,Dona,46,L'Esquirol,45 a 54 anys,fora de Manleu
2.37171070184067,42.043203260882578,4,02/03/2015,març,S,Dona,36,L'Esquirol,35 a 44 anys,fora de Manleu
2.312879775972674,41.984530603714475,5,04/03/2015,març,S,Home,45,Roda de Ter,45 a 54 anys,fora de Manleu
2.169804660645621,42.305665817132578,6,31/03/2015,març,S,Home,40,Ribes de Freser,35 a 44 anys,fora de Manleu
2.294797145870533,42.07349474388765,7,31/03/2015,març,S,Dona,34,Sant Pere de Torelló,25 a 34 anys,fora de Manleu
2.236916333484622,41.819335100206906,8,31/03/2015,març,S,Home,52,Balenyà,45 a 54 anys,fora de Manleu
2.37171070184067,42.043203260882578,9,15/04/2015,abril,S,Home,40,L'Esquirol,35 a 44 anys,fora de Manleu
2.312879775972674,41.984530603714475,10,16/04/2015,abril,S,Dona,28,Roda de Ter,25 a 34 anys,fora de Manleu
2.255639465131964,41.932233330077544,11,20/04/2015,abril,S,Dona,35,Vic,35 a 44 anys,fora de Manleu
2.487902730398403,42.17993602069167,12,28/04/2015,abril,S,Dona,40,Olot,35 a 44 anys,fora de Manleu
2.294797145870533,42.07349474388765,13,19/05/2015,maig,S,Home,21,Sant Pere de Torelló,16 a 24 anys,fora de Manleu
2.190964747211579,42.200594454569142,14,26/05/2015,maig,S,Home,25,Ripoll,25 a 34 anys,fora de Manleu
2.314276811711796,41.990252373298155,15,10/06/2015,juny,S,Dona,21,Les Masies de Roda,16 a 24 anys,fora de Manleu
2.487902730398403,42.17993602069167,16,16/06/2015,juny,S,Home,41,Olot,35 a 44 anys,fora de Manleu
2.255639465131964,41.932233330077544,17,23/06/2015,juny,S,Dona,26,Vic,25 a 34 anys,fora de Manleu
2.255639465131964,41.932233330077544,18,25/06/2015,juny,S,Dona,21,Vic,16 a 24 anys,fora de Manleu
2.322358186640522,41.926058023404693,19,29/06/2015,juny,S,Dona,41,Sant Julià de Vilatorta,35 a 44 anys,fora de Manleu
2.399109024140093,41.849371570101546,20,30/06/2015,juny,S,Home,46,Viladrau,45 a 54 anys,fora de Manleu
2.255639465131964,41.932233330077544,21,03/07/2015,juliol,S,Dona,41,Vic,35 a 44 anys,fora de Manleu
2.255639465131964,41.932233330077544,22,06/07/2015,juliol,S,Home,44,Vic,35 a 44 anys,fora de Manleu
2.239416580093107,41.943515067694811,23,27/07/2015,juliol,S,Dona,37,Gurb,35 a 44 anys,fora de Manleu
2.465450992689842,42.024640996069508,24,29/07/2015,juliol,S,Home,38,Rupit i Pruit,35 a 44 anys,fora de Manleu
2.255639465131964,41.932233330077544,25,31/07/2015,juliol,S,Dona,47,Vic,45 a 54 anys,fora de Manleu
2.512102322907881,41.878790363970978,26,13/08/2015,agost,S,Home,29,Sant Hilari Sacalm,25 a 34 anys,fora de Manleu
2.266119942392795,42.046789826123955,27,24/08/2015,agost,S,Dona,46,Torelló,45 a 54 anys,fora de Manleu
