X,Y,OBJECTID,Id,PK_anada,PK_tornada
2.291960969768892,41.999215792553834,1,1,0,10
2.286516053844745,41.997444782664189,2,2,0.5,9.5
2.280211634271064,41.996875070799753,3,3,1,9
2.274195947298934,41.997039649600609,4,4,1.5,8.5
2.268835629888589,41.997250012334931,5,5,2,8
2.263915317172223,41.997658202729738,6,6,2.5,7.5
2.259371199015744,41.995442716224083,7,7,3,7
2.254122509723997,41.994655818334955,8,8,3.5,6.5
2.248508816380516,41.995199197179581,9,9,4,6
2.244021111839386,41.998404285468972,10,10,4.5,5.5
2.24390381550109,42.002630452913209,11,11,5,5
