Tipologia,Servei,F2014,FID
Obligatori,Situacions de necessitat social i atenció immediata a persones en risc d'exclusió social,1290721.42,1
Obligatori,Instal.lacions esportives d'ús públic,1084409.67,2
Obligatori,Recollida de residus,1043878.46,3
Obligatori,Abastament domiciliari d'aigua potable,861416.73,4
Obligatori,Pavimentació de vies públiques,679815.42,5
Obligatori,Neteja viària,661343.67,6
Obligatori,Enllumenat públic,473142.17,7
Obligatori,Parc públic,353567.68,8
Obligatori,Tractament de residus,292735.47,9
Obligatori,Biblioteca pública,156273.85,10
Obligatori,Clavegueram,127388.91,11
Obligatori,Medi ambient urbà,54030.14,12
Obligatori,Accés als nuclis de població,7226.32,13
Obligatori,"Protecció contra la contaminació acústica, lumínica i atmosfèrica",1525.93,14
Obligatori,Protecció civil,759.91,15
Obligatori,Prevenció i extinció d'incendis,492.36,16
Obligatori,Cementiri,2,17
Obligatori,Parcs i jardins públics,2,18
Obligatori,Transport col.lectiu urbà,0,19
Obligatori,Gestió dels residus sòlids urbans,0,20
No obligatori,Conservació i manteniment d'edificis municipals,746790.37,21
No obligatori,Evacuació i tractament d'aigües residuals,597560.49,22
No obligatori,Policia Local,557579.04,23
No obligatori,Trànsit i mobilitat,482936.1,24
No obligatori,Protecció i gestió del patrimoni històric,457781.21,25
No obligatori,Promoció de la cultura,271340.24,26
No obligatori,"Urbanisme: planejament, gestió i execució de disciplina urbanística",214214.53,27
No obligatori,Fires,206256.84,28
No obligatori,Mercats,168025.45,29
No obligatori,Infraestructura viària i altres equipaments públics,104115.08,30
No obligatori,Promoció de la participació de la ciutadania en l'ús eficient i sostenible de les TIC ,102876.35,31
No obligatori,Promoció de l'esport,102755.86,32
No obligatori,Protecció de la salut pública,100281.09,33
No obligatori,Equipaments culturals,35963.55,34
No obligatori,Comerç ambulant,19570.74,35
No obligatori,Instal.lacions d'ocupació del temps lliure,10952.69,36
No obligatori,Vigilància del cumpliment de l'escolaritat obligatòria,7117.13,37
No obligatori,Activitats funeraries,4466.88,38
No obligatori,Instal.lacions esportives,2,39
No obligatori,Cooperar amb les administracions educatives en l'obtenció de solars per nous centres docents ,0,40
No obligatori,Informació i promoció de l'activitat turística,0,41
No obligatori,Promoció i gestió de l'habitatge de protecció pública amb criteris de sostenibilitat financera,0,42
No obligatori,Conservació i rehabilitació d'edificis,0,43
