OBJECTID,Campanya,Provincia,Comarca,Municipi,ID_MUN,Grup,Cultiu,Seca_Regad,HA,Shape__Area,Shape__Length
1,2016,Barcelona,Osona,GURB,08099,CEREALS,BLAT TOU,S,0.2533,2.75314375e-07,0.002167643007223
2,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,R,2.2505,2.447270081e-06,0.00641806402253
3,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,R,2.8862,3.13844869e-06,0.007544559733004
4,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,R,1.7927,1.949517762e-06,0.008761073493432
5,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,R,1.4843,1.613792195e-06,0.005865813341085
6,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,R,3.4012,3.699023668e-06,0.01311729112637
7,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,R,8.0324,8.735506057e-06,0.016196127932982
8,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,0.9642,1.048456069e-06,0.005180426731493
9,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,5.6108,6.101991453e-06,0.011817903668854
10,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,1.2996,1.41312529e-06,0.006211462024917
11,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,0.0419,4.579566e-08,0.001028333664163
12,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,3.2286,3.511059661e-06,0.008612741352985
13,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,6.1115,6.645860763e-06,0.014001201478435
14,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,1.4507,1.57766905e-06,0.007658260367854
15,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,5.2659,5.726797737e-06,0.010651179748426
16,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,0.7754,8.43267688e-07,0.003914256570653
17,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,0.9624,1.046628697e-06,0.004514417315938
18,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,0.877,9.54253643e-07,0.005052838566249
19,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,4.2826,4.657663632e-06,0.010121530818911
20,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,CIVADA,R,6.6055,7.182687091e-06,0.020288326730275
21,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,CIVADA,R,3.8528,4.189800222e-06,0.00933300685564
22,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,CIVADA,R,2.726,2.964467162e-06,0.007842056947904
23,2016,Barcelona,Osona,MANLLEU,08111,PROTEAGINOSES,PRSOLS,R,1.2869,1.399347586e-06,0.006021427795059
24,2016,Barcelona,Osona,MANLLEU,08111,FARRATGERES,ALFALS,R,0.4752,5.16487963e-07,0.003934316784148
25,2016,Barcelona,Osona,MANLLEU,08111,FARRATGERES,ALFALS,R,0.748,8.13362708e-07,0.003924447601487
26,2016,Barcelona,Osona,MANLLEU,08111,FARRATGERES,ALFALS,R,1.6929,1.840624812e-06,0.006436630493692
27,2016,Barcelona,Osona,MANLLEU,08111,FARRATGERES,ALFALS,R,5.8145,6.323104674e-06,0.012649199199215
28,2016,Barcelona,Osona,MANLLEU,08111,FARRATGERES,RAY-GRASS,R,5.4668,5.944357673e-06,0.010845471885414
29,2016,Barcelona,Osona,MANLLEU,08111,FARRATGERES,RAY-GRASS,R,0.2522,2.74065292e-07,0.002750611682209
30,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.0413,4.4863885e-08,0.000952209702435
31,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,1.1421,1.24171882e-06,0.006048198484639
32,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.215,2.33748272e-07,0.003193698109517
33,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.0771,8.382801e-08,0.002943134178136
34,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.0424,4.6520825e-08,0.000916230216643
35,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.0888,9.6410148e-08,0.00138619429837
36,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.063,6.8531868e-08,0.001393803840333
37,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.0231,2.4959554e-08,0.000726668644941
38,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.2863,3.11400704e-07,0.002245444568117
39,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,1.2787,1.390973009e-06,0.004970719974726
40,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.5185,5.64134155e-07,0.003005097580704
41,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.0432,4.7024047e-08,0.000835474305223
42,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.0061,6.311733e-09,0.00032364105737
43,2016,Barcelona,Osona,MANLLEU,08111,HORT1COLES,HORTA,R,0.0254,2.7657458e-08,0.000938231057044
44,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4113,4.46638425e-07,0.003296848810321
45,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.0538,5.8449101e-08,0.001251433303114
46,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.3895,4.23457377e-07,0.003202539418602
47,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.1125,1.22326163e-07,0.002988308695094
48,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.8214,8.93043901e-07,0.003614437242499
49,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.0012,1.088643849e-06,0.005441649679719
50,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.4361,1.561332347e-06,0.007406125745122
51,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.2621,2.459258206e-06,0.006689030118722
52,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.8153,3.060955703e-06,0.006938036593577
53,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.9756,2.148332231e-06,0.00682848365784
54,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.1384,1.23775504e-06,0.005111602554598
55,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.1394,1.51517712e-07,0.002514925289031
56,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.2191,2.38241299e-07,0.00265422518781
57,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.1825,1.285673005e-06,0.007875926509382
58,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.7102,2.946390657e-06,0.007152790954179
59,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.0786,1.172801696e-06,0.008786290837874
60,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,6.192,6.732656771e-06,0.017296774098803
61,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.3448,3.74951091e-07,0.002475410992825
62,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,7.5257,8.183676012e-06,0.015073938848002
63,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.7289,7.92604793e-07,0.007357359825701
64,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.204,2.22042908e-07,0.004392119627846
65,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4448,4.83667825e-07,0.005503938956855
66,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.2428,1.351268762e-06,0.005535874014342
67,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.2329,2.53300186e-07,0.002500332658174
68,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.6763,1.823305793e-06,0.005981187084505
69,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.0794,8.6311947e-08,0.001323862069256
70,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.7579,1.911445996e-06,0.0058628896951
71,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.9418,1.024152637e-06,0.005611213073877
72,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.2126,2.31200619e-07,0.002992497519053
73,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.8615,9.36819749e-07,0.003849207235064
74,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.3718,4.0420084e-07,0.003133226473349
75,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,5.62,6.111347932e-06,0.013220121032419
76,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4983,5.41865544e-07,0.003241877278242
77,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.5647,6.1405913e-07,0.003778035652998
78,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.1677,1.82362486e-07,0.00239456142772
79,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.0679,7.3871464e-08,0.001253533720351
80,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.97,2.142382665e-06,0.007027246022729
81,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.9345,2.103891969e-06,0.00844477292048
82,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.3569,3.87750731e-07,0.002494126338542
83,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.9749,1.060193964e-06,0.004253158546865
84,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.6615,7.19759068e-07,0.004238474510941
85,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4016,4.36737408e-07,0.003051876059031
86,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.1542,1.67739845e-07,0.001849400652077
87,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.015,1.6439753e-08,0.000898744398469
88,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4855,5.27986173e-07,0.003474593233389
89,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.2203,2.39622655e-07,0.002261623276843
