Any_,Municipi,Comercial,Domèstic,Municipal,Indústries,Serveis,FID
2010,Manlleu,593,11749,67,1071,1241,1
2011,Manlleu,493,11490,32,978,826,2
2012,Manlleu,392,10388,24,734,430,3
2013,Manlleu,334,9420,32,595,327,4
2014,Manlleu,368,8454,14,552,318,5
2015,Manlleu,394,8587,21,559,271,6
2016,Manlleu,260,10522,164,642,251,7
2010,Roda de Ter,1,1167,102,266,82,8
2011,Roda de Ter,0,1327,72,223,98,9
2012,Roda de Ter,0,1025,53,162,71,10
2013,Roda de Ter,4,1159,54,164,27,11
2014,Roda de Ter,0,1138,74,186,15,12
2015,Roda de Ter,0,1290,63,172,19,13
2016,Roda de Ter,0,1176,75,195,29,14
2010,L'Esquirol,0,344,22,1,10,15
2011,L'Esquirol,0,327,25,0,15,16
2012,L'Esquirol,0,219,21,0,9,17
2013,L'Esquirol,0,241,21,0,9,18
2014,L'Esquirol,0,228,17,0,9,19
2015,L'Esquirol,0,248,21,0,6,20
2016,L'Esquirol,0,293,26,0,4,21
2010,Masies de Roda,0,103,19,0,1,22
2011,Masies de Roda,0,85,20,0,0,23
2012,Masies de Roda,0,125,23,0,0,24
2013,Masies de Roda,0,172,17,0,0,25
2014,Masies de Roda,0,165,42,0,0,26
2015,Masies de Roda,0,151,23,0,0,27
2016,Masies de Roda,0,186,42,0,0,28
2010,Altres municipis,5,83,0,0,47,29
2011,Altres municipis,1,41,0,0,30,30
2012,Altres municipis,1,45,0,0,16,31
2013,Altres municipis,0,48,0,0,12,32
2014,Altres municipis,0,20,0,0,5,33
2015,Altres municipis,0,17,0,1,11,34
2016,Altres municipis,0,8,0,2,10,35
