codi,Nom_centre,Tipus_de_consum,import,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
EQU05,ESCOMESA COMPORTES CAMP DE FUTBOL,Electricitat dependències,€,ES0031408373739001WW0F,ENDESA ENERGÍA S.A.U.,82013610405,,248.45,153.25,221.96,270.85,274.33,308.9,1
ADM02,AJUNTAMENT,Aigua,€,,SOREA,4751726,06/06/2011,233.21,102.32,,,,,2
EQU06,CARGOLA MERCAT MUNICIPAL,Electricitat dependències,€,,ENDESA ENERGÍA XXI,40039258843,19/11/2010,320.54,,,,,,3
ADM02,AJUNTAMENT,Electricitat dependències,€,ES0031446461083001TP0F,ENDESA ENERGÍA S.A.U.,82013713620,,24851.47,29242.45,28628.81,26439.52,24685.46,24245.42,4
EQU06,CARGOLA MERCAT MUNICIPAL,Electricitat dependències,€,ES0031408435824001TK0F,ENDESA ENERGÍA XXI,999404397340,31/10/2011,43603.41,48594.92,474.43,,,,5
ADM02,AJUNTAMENT,Gas,€,ES0217010161678289MG,ENDESA ENERGÍA S.A.U.,999405720356,,11672.45,8686.89,11760.56,13504.02,11233.98,11668.74,6
EQU07,TURBINES HIDRAULIQUES,Electricitat dependències,€,ES0031408413499001VV0F,ENDESA ENERGÍA S.A.U.,82013611219,,,775.77,179.33,248.49,754.6,1206.23,7
ADM04,JUTJAT DE PAU,Electricitat dependències,€,ES0031446461084001CL0F,,40035242848,15/05/2010,180.2,,,,,,8
EQU08,SANT JAUME,Electricitat dependències,€,ES0031446462839001BG0F,ENDESA ENERGÍA S.A.U.,82013646402,,3407.86,3795.5,2773.91,3647.33,3094.82,3538.6,9
ADM06,OFICINA PROMOCIÓ ECONÒMICA,Aigua,€,,SOREA,111100012602,07/06/2010,21.39,,,,,,10
EQU09,CEMENTIRI,Electricitat dependències,€,ES0031446460995001SY0F,ENDESA ENERGÍA S.A.U.,82013615901,,2179.4,345.44,372.23,549.33,933.19,445.73,11
ADM06,OFICINA PROMOCIÓ ECONÒMICA,Aigua,€,,SOREA,4751724,06/06/2011,98.66,55.84,,,,,12
EQU10,FONT I ASCENSOR PLAÇA FRA BERNADÍ,Electricitat dependències,€,ES0031408501445001YC0F,ENDESA ENERGÍA S.A.U.,82013700419,,,,998.25,2554.86,1952.32,2009,13
ADM06,OFICINA PROMOCIÓ ECONÒMICA,Electricitat dependències,€,ES0031446462914001YR0F,ENDESA ENERGÍA S.A.U.,82013714360,,10465.26,9584.34,12283.67,12100.28,10694.92,11616.98,14
EQU11,CENTRE EL CANAL,Combustibles líquids dependències,€,,,11,,,,2769,4614.5,8526.5,3672,15
ADM08,SERVEIS SOCIAL,Aigua,€,,SOREA,4754805,07/06/2011,90.4,56.71,,,,,16
EQU11,CENTRE EL CANAL,Electricitat dependències,€,ES0031446462915001AN0F,ENDESA ENERGÍA S.A.U.,82030397741,,,,,,13844.38,16170.08,17
ADM08,SERVEIS SOCIAL,Electricitat dependències,€,ES0031408238837001LV0F,ENDESA ENERGÍA S.A.U.,82013692386,07/10/2015,9903.64,8273.76,8824.62,8460.91,8178.74,6215.67,18
EQU12,PÀRQUING SUBTERRANI PLAÇA FRA BERNADÍ,Electricitat dependències,€,ES0031448467664001HN0F,ENDESA ENERGÍA S.A.U.,82034683361,,,,,,,1102.82,19
ADM10,ARXIU I SOLITÀRIA,Aigua,€,,SOREA,4756520,06/06/2011,50.2,21.86,,,,,20
EQU12,PÀRQUING SUBTERRANI PLAÇA FRA BERNADÍ,Electricitat dependències,€,ES0031448408626001VE0F,ENDESA ENERGÍA S.A.U.,82034683429,,,,,,,2249.6,21
ADM10,ARXIU I SOLITÀRIA,Combustibles líquids dependències,€,,,10,01/01/2014,440.62,299.97,,460,,,22
ESC01,ESCOLA PUIG-AGUT,Aigua,€,,SOREA,111100010009,08/09/2010,35.21,,,,,,23
ADM10,ARXIU I SOLITÀRIA,Electricitat dependències,€,ES0031408412503001ED0F,GAS NATURAL FENOSA,31204013493,25/10/2012,743.78,810.22,759.04,,,,24
ESC01,ESCOLA PUIG-AGUT,Aigua,€,,SOREA,4756257,06/06/2011,70.47,22.16,,,,,25
ADM11,BIBLIOTECA MOSSEN BLANCAFORT,Aigua,€,,SOREA,4751706,07/06/2011,50.79,22.47,,,,,26
ESC01,ESCOLA PUIG-AGUT,Aigua,€,,SOREA,4756639,08/06/2011,592.2,270.89,,,,,27
ADM11,BIBLIOTECA MOSSEN BLANCAFORT,Electricitat dependències,€,ES0031446462070001HD0F,ENDESA ENERGÍA S.A.U.,82013715520,,2677.85,3175.88,3477.05,3695.97,4671.59,4961.7,28
ESC01,ESCOLA PUIG-AGUT,Combustibles líquids dependències,€,,,1,20/05/2014,13101.12,19966,20225.75,26994,5439.2,,29
ADM12,JUTJAT DE PAU,Aigua,€,,SOREA,4756675,06/06/2011,50.63,22.12,,,,,30
