OBJECTID,MUN_INE,UPOB_INE,CVIA_INE,NVIA_INE,TVIA_INE,TVIA_AJ,PVIA_AJ,NVIA_AJ,NOM_VIA,CVIA_AJ
1,08112,000101,413,TORELLÓ,C,C., ,Torelló,C. Torelló,413
2,08112,000101,363,MOSSÈN AULET,C,C.,de,Mossèn Aulet,C. de Mossèn Aulet,363
3,08112,000101,410,TER,PG,Pg.,del,Ter,Pg. del Ter,410
4,08112,000101,368,OLOT,CTRA,Ctra.,d',Olot,Ctra.d'Olot,368
5,08112,000101,425,VILAMONTA,C,C.,de,Vilamontà,C. de Vilamontà,425
6,08112,000101,411,TER (CASES ESCORXADOR),PG,Pg.,del,Ter (cases Escorxador),Pg. del Ter (cases Escorxador),411
7,08112,000101,835,MONTSENY,PTGE,Ptge., ,Montseny,Ptge. Montseny,835
8,08112,000101,330,DALT VILA,PL,Pl.,de,Dalt Vila,Pl. de Dalt Vila,330
9,08112,000101,372,PEP VENTURA,C,C.,d'en,Pep Ventura,C. d'en Pep Ventura,372
10,08112,000101,441,PUIG (EL),PG,Pg.,del,Puig,Pg. del Puig,441
11,08112,000101,352,INDUSTRIA,C,C.,de la,Indústria,C. de la Indústria,352
12,08112,000101,301,ALBERT DE BENET,C,C.,d',Albert de Benet,C.d'Albert de Benet,301
13,08112,000101,323,CAVALLERIA,C,C.,de la,Cavalleria,C. de la Cavalleria,323
14,08112,000101,324,CINGLE (DEL),PG,Pg.,del,Cingle,Pg. del Cingle,324
15,08112,000101,471,SALVADOR JUNCADELLA,C,C., ,Salvador Juncadella,C. Salvador Juncadella,471
16,08112,000101,328,COMTE,C,C.,del,Comte,C. del Comte,328
17,08112,000101,398,SANT JOSEP,C,C.,de,Sant Josep,C. de Sant Josep,398
18,08112,000101,317,CABRERA,C,C.,de,Cabrera,C. de Cabrera,317
19,08112,000101,843,CAMÍ DEL VICENÇ,C,C., ,Camí del Vicenç,C. Camí del Vicenç,843
20,08112,000101,364,MOSSÈN GUARDIET,C,C.,de,Mossèn Guardiet,C. de Mossèn Guardiet,364
21,08112,000101,423,VILA-SETRU,C,C.,de,Vila-Setrú,C. de Vila-Setrú,423
22,08112,000101,341,FONT (DE LA),C,C.,de la,Font,C. de la Font,341
23,08112,000101,373,PERICAS,C,C.,de l',Astrònom Pericas,C.de l'Astrònom Pericas,373
24,08112,000101,409,TER,C,C.,del,Ter,C. del Ter,409
25,08112,000101,414,TORRENT I GARRIGA,C,C.,de,Torrent i Garriga,C. de Torrent i Garriga,414
26,08112,000101,431,TAVERTET,C,C.,de,Tavertet,C. de Tavertet,431
27,08112,000101,388,ROMA,AV,Av.,de,Roma,Av. de Roma,388
28,08112,000101,344,GARCIA ESTRADA,C,C.,de,Garcia Estrada,C. de Garcia Estrada,344
29,08112,000101,380,PUIGPARDINES,C,C.,de,Puigpardines,C. de Puigpardines,380
30,08112,000101,375,PLA DELS ESTUDIANTS,C,C.,del,Pla dels Estudiants,C. del Pla dels Estudiants,375
