Org_,Fun_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,F__Despesa_compromesa_respecte_e,Obligacions_reconegudes,F__Obligacions_reconegudes_respe,Pagaments_fets,F__Pagaments_fets_respecte_les_o,FID
14,3321N,1510000,CULTURA. GRATIFICACIONS NETEJA BIBLIOTEQUES,0.01,33.82,33.83,33.82,,33.82,,33.82,,1001
11,491F,1500000,PRODUCTIVITAT GESTIÓ DADES,700,0,700,174.99,,174.99,,174.99,,1002
14,320,1500000,EDUCACIÓ PRODUCTIVITAT ADM.GNAL.,1750,0,1750,349.98,,349.98,,349.98,,1003
14,327,4890200,JOVENT CONVENI CASAL BOIRA BAIXA,1700,0,1700,0,,0,,0,,1004
14,323D,2269900,EDUCACIÓ DESPESES DIVERSES 4 VENTS,300,0,300,0,,0,,0,,1005
09,326T,2269915,DESPESES ACTIVITATS TRIPIJOC,0,0,0,0,,0,,0,,1006
12,323D,2269900,MATERIAL DIDÀCTIC,3600,0,3600,331.3,,331.3,,331.3,,1007
10,1622B,1200600,TRIENNIS DEIXALLERIA,1001.04,0,1001.04,216.96,,216.96,,216.96,,1008
11,491F,1600000,SEGURETAT SOCIAL GESTIÓ DADES,9980.39,0,9980.39,1252.94,,1252.94,,1252.94,,1009
14,3321N,1600000,CULTURA. SEGURETAT SOCIAL NETEJA BIBLIOTEQUES,5330.79,0,5330.79,860,,860,,860,,1010
14,327,4890400,JOVENT CONVENI AGRUPAMENT ESCOLTA I ARRELS,1700,0,1700,0,,0,,0,,1011
14,323D,2270000,EDUCACIÓ SERVEI NETEJA 4 VENTS,84979.44,0,84979.44,14163.24,,14163.24,,7081.62,,1012
09,327,2269900,DESPESES DIVERSES ASVAT,400,0,400,0,,0,,0,,1013
14,320,1510000,EDUCACIÓ GRATIFICACIONS ADM.GNAL.,0.01,0,0.01,0,,0,,0,,1014
12,323E,2269900,MATERIAL ESPECÍFIC,2500,0,2500,0,,0,,0,,1015
10,1622B,1210000,COMPLEMENT DESTINACIÓ DEIXALLERIA,6144.07,0,6144.07,1196.22,,1196.22,,1196.22,,1016
11,491F,6400010,PROPIETAT INTEL.LECTUAL LLICENCIES,0,0,0,0,,0,,0,,1017
14,327,4890500,JOVENT CONVENI ASSOCIACIÓ VEINS ERM (ESPLAI),600,0,600,600,,300,,300,,1018
14,3321T,2269900,CULTURA TAXA DRETS AUTOR PRESTECS,800,0,800,0,,0,,0,,1019
09,327,4890000,CONVENI SANT PAU FESTA GENT GRAN,1500,0,1500,0,,0,,0,,1020
14,323D,4890100,EDUCACIÓ CONVENI SUBV. 4 VENTS,4300,0,4300,4300,,2150,,2150,,1021
12,323N,1200500,BÀSIQUES AP NETEJA PREESCOLAR,7678.58,0,7678.58,1076.38,,1076.38,,1076.38,,1022
14,320,1600000,EDUCACIÓ SEGURETAT SOCIAL ADM.GNAL.,16361.83,0,16361.83,2196.15,,2196.15,,2196.15,,1023
10,1622B,1210100,COMPLEMENT ESPECÍFIC DEIXALLERIA,14737.22,0,14737.22,3602.76,,3602.76,,3602.76,,1024
11,491M,6230014,MILLORES SISTEMES INFORMACIO MPAL,0,0,0,0,,0,,0,,1025
14,333,2260900,CULTURA DESPESES EXPOSICIONS,2400,0,2400,0,,0,,0,,1026
14,327,4899900,JOVENT CONVENI GESTIÓ CAN PATALARGA,2500,0,2500,0,,0,,0,,1027
12,323N,1200600,TRIENNIS NETEJA PREESCOLAR,754.32,0,754.32,90.74,,90.74,,90.74,,1028
09,327,4890100,CONVENI ASS. GENT GRAN,3300,0,3300,0,,0,,0,,1029
14,323J,2279900,EDUCACIÓ EXTERNALITZACIÓ ELS PICAROLS,367434.51,0,367434.51,67005.66,,67005.66,,33201.25,,1030
10,1622B,1300000,BÀSIQUES DEIXALLERIA,15357.16,0,15357.16,3487.08,,3487.08,,3487.08,,1031
14,323,2210400,EDUCACIÓ VESTUARI CONSERGES,400,0,400,0,,0,,0,,1032
11,491P,2269900,ADM. ELECTRÒNICA I PLA DIRECTOR,6000,0,6000,517.27,,517.27,,517.27,,1033
14,334,2260900,CULTURA PROMOCIÓ ACTIVITATS CULTURALS,16130,0,16130,2370.04,,2370.04,,2310.04,,1034
14,327A,2260900,JOVENT ACTIVITATS,9000,0,9000,0,,0,,0,,1035
12,323N,1210000,COMPLEMENT DESTINACIÓ NETEJA PREESCOLAR,4270.14,0,4270.14,513.45,,513.45,,513.45,,1036
09,327A,2269912,DESPESES PROJ COOPERACIO,0,0,0,0,,0,,0,,1037
14,326,2020000,EDUCACIÓ DESPESES LOCAL TRIS-TRAS,9286.5,0,9286.5,0,,0,,0,,1038
14,334,4890000,CULTURA SUBVENCIONS ENTITATS,0.01,0,0.01,0,,0,,0,,1039
14,323,2269914,EDUCACIO AGENDES ESCOLARS,0,0,0,0,,0,,0,,1040
10,1622B,1300100,HORES EXTRES DEIXALLERIA,0.01,0,0.01,0,,0,,0,,1041
11,920,1200100,BÀSIQUES A2 ADM. GNAL .NOVES TECNOLOGIES,14417.36,0,14417.36,2905.71,,2905.71,,2905.71,,1042
14,327B,2260900,JOVENT ACTIVITATS MUSICALS,2000,0,2000,0,,0,,0,,1043
12,323N,1210100,COMPLEMENT ESPECÍFIC NETEJA PREESCOLAR,5390.64,0,5390.64,2411.84,,2411.84,,2411.84,,1044
09,327BF,4890000,CONVENI ASVAT,6800,0,6800,0,,0,,0,,1045
14,334,4890100,"CULTURA F P ESTUDIS MUSICALS, SUBVENCIÓ CICLES JAZZ",4000,0,4000,4000,,2000,,2000,,1046
14,326,2260200,EDUCACIÓ PUBLICITAT I PROPAGANDA,1000,0,1000,0,,0,,0,,1047
14,323,4899715,EDUCACIÓ AJUTS MENJADOR PICAROLS,0,0,0,0,,0,,0,,1048
10,1622B,1300200,ALTRES REMUNERACIONS DEIXALLERIA,23485.07,0,23485.07,5566.41,,5566.41,,5566.41,,1049
11,920,1200300,BÀSIQUES C1 ADM. GNAL. NOVES TECNOLOGIES,29654.52,0,29654.52,7397.85,,7397.85,,7397.85,,1050
14,327M,2219900,JOVENT MATERIAL MUSICAL,900,0,900,0,,0,,0,,1051
12,323N,1500000,PRODUCTIVITAT NETEJA PREESCOLAR,700,0,700,174.99,,174.99,,174.99,,1052
14,326,2260900,JOVENT ESCOLA D'ESTIU,3000,0,3000,0,,0,,0,,1053
14,323,4899815,EDUCACIÓ AJUTS MENJADOR COLORS,0,0,0,0,,0,,0,,1054
09,327C,1200100,BASIQUES A2 DESENVOLUPAMENT COMUNITARI,0.01,0,0.01,0,,0,,0,,1055
14,334,4890200,JOVENT CONVENI SUBVENCIÓ FES-TE JOVE,11000,0,11000,0,,0,,0,,1056
10,1622B,1310000,LABORAL TEMPORAL DEIXALLERIA,0.01,0,0.01,0,,0,,0,,1057
11,920,1200600,TRIENNIS ADM. GNAL NOVES TECNOLOGIES,4777.8,0,4777.8,1128.47,,1128.47,,1128.47,,1058
14,330,1200300,CULTURA BÀSIQUES C1 ADM.GNAL.,10637.97,8378.58,19016.55,4363.38,,4363.38,,4363.38,,1059
12,323N,1510000,GRATIFICACIONS NETEJA,0.01,0,0.01,0,,0,,0,,1060
14,326,2269900,EDUCACIÓ DESPESES DIVERSES,1000,0,1000,0,,0,,0,,1061
14,323,4899914,EDUCACIO AJUTS MENJADOR,0,0,0,0,,0,,0,,1062
09,327C,1200300,BASIQUES C1 DESENVOLUPAMENT COMUNITARI,0.01,0,0.01,0,,0,,0,,1063
10,1622B,1500000,PRODUCTIVITAT DEIXALLERIA,700,0,700,174.99,,174.99,,174.99,,1064
11,920,1210000,COMPLEMENT DESTINACIÓ ADM. GNAL. NOVES TECNOLOGIES,25727.8,0,25727.8,5515.13,,5515.13,,5515.13,,1065
14,330,1200400,CULTURA BÀSIQUES C2 ADM.GNAL.,8378.58,-8378.58,0,0,,0,,0,,1066
14,334,4890400,"CULTURA CONVENI AMICS DE LA MÚSICA, SUBV. PRIMAVERA/TARDOR",7000,0,7000,0,,0,,0,,1067
12,323N,1600000,SEGURETAT SOCIAL NETEJA PREESCOLAR,5224.64,0,5224.64,882.25,,882.25,,882.25,,1068
14,326,4670000,CULTURA CONSORCI NORMALITZACIÓ LING.,24000,0,24000,0,,0,,0,,1069
14,323A,1300000,EDUCACIÓ BÀSIQUES PUIG AGUT,7678.58,0,7678.58,1784.37,,1784.37,,1784.37,,1070
