Org_,Descripció_orgànica,Fun_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,Obligacions_reconegudes,Pagaments_fets,FID
01,Alcaldia i Règim Intern,920PE,1500000,PRODUCTIVITAT PREMI EXCELENCIA,0,0,0,0,0,0,1
01,Alcaldia i Règim Intern,920R,2269900,DESPESES RESPONSABILITAT PATRIMONIAL,4000,0,4000,163.46,163.46,163.46,2
01,Alcaldia i Règim Intern,920S,1310000,PAGA EXTRA NADAL 2012,81221.31,-81221.31,0,0,0,0,3
01,Alcaldia i Règim Intern,924,2260200,INFORMACIÓ MUNICIPAL,18000,1592.11,19592.11,15592.24,15592.24,15592.24,4
01,Alcaldia i Règim Intern,925,1200400,BÀSIQUES C2 ATENCIÓ CIUTADANA,29325.03,3114.04,32439.07,22978.53,22978.53,22978.53,5
01,Alcaldia i Règim Intern,925,1200600,TRIENNIS ATENCIÓ CIUTADANA,5302.14,600.71,5902.85,4199.33,4199.33,4199.33,6
01,Alcaldia i Règim Intern,925,1210000,COMPLEMENT DESTINACIÓ ATENCIÓ CIUTADANA,18715.55,567.09,19282.64,14069.44,14069.44,14069.44,7
01,Alcaldia i Règim Intern,925,1210100,COMPLEMENT ESPECÍFIC ATENCIÓ CIUTADANA,29115,2015.97,31130.97,23165.01,23165.01,23165.01,8
01,Alcaldia i Règim Intern,011,3100000,INTERESSOS PRÉSTECS,133061.16,-68245.71,64815.45,38541.66,38541.66,37431.94,9
01,Alcaldia i Règim Intern,925,1500000,PRODUCTIVITAT ATENCIÓ CIUTADANA,2450,950,3400,2714.84,2714.84,2714.84,10
01,Alcaldia i Règim Intern,011,3100100,INTERESSOS CONVENI PLAÇA,0,68245.71,68245.71,68245.71,68245.71,68245.71,11
01,Alcaldia i Règim Intern,925,1510000,GRATIFICACIONS ATENCIÓ CIUTADANA,0.01,0,0.01,0,0,0,12
01,Alcaldia i Règim Intern,011,9110000,AMORTITZACIÓ PRÉSTECS,97500,-12500,85000,85000,85000,85000,13
01,Alcaldia i Règim Intern,925,1600000,SEGURETAT SOCIAL ATENCIÓ CIUTADANA,23217.9,953.48,24171.38,15884.09,15884.09,15884.09,14
01,Alcaldia i Règim Intern,011,9130000,AMORTITZACIÓ PRÉSTECS,1922900.91,-37754.29,1885146.62,1414668.54,1414668.54,1372800.22,15
01,Alcaldia i Règim Intern,925,2269900,DIETES I VIATGES DEFENSOR CIUTADÀ,500,0,500,0,0,0,16
01,Alcaldia i Règim Intern,011,9130100,AMORTITZACIÓ CONVENI PLAÇA,0,50254.29,50254.29,50254.29,50254.29,50254.29,17
01,Alcaldia i Règim Intern,925S,2269900,DESPESES DIVERSES DEFENSOR CIUTADÀ,1500,0,1500,982,982,982,18
01,Alcaldia i Règim Intern,312,4890100,CONVENI SUBV. HOSPITAL SANT JAUME,40000,0,40000,0,0,0,19
01,Alcaldia i Règim Intern,929,2211000,PRODUCTES DE NETEJA WC PLAÇA,200,0,200,101.42,101.42,101.42,20
01,Alcaldia i Règim Intern,327,2269912,DESPESES PGDM,0,3339.99,3339.99,0,0,0,21
01,Alcaldia i Règim Intern,929J,2150000,MANTENIMENT MOBILIARI I EQUIPS OFICINA,0.01,0,0.01,0,0,0,22
01,Alcaldia i Règim Intern,327A,2269909,DESPESES PGDM,0,771.05,771.05,0,0,0,23
01,Alcaldia i Règim Intern,929J,2200000,MATERIAL OFICINA JUTJAT,0.01,0,0.01,0,0,0,24
01,Alcaldia i Règim Intern,327A,2269912,DESPESES ACOLLIMENT LINGUISTIC,0,97.93,97.93,0,0,0,25
01,Alcaldia i Règim Intern,929J,2211000,PRODUCTES NETEJA JUTJAT,0.01,0,0.01,0,0,0,26
02,Promoció Econòmica,241L,2269915,OPE INTERMEDIACIO AGENCIA SAC/14/00063 (fse),0,18020,18020,0,0,0,27
01,Alcaldia i Règim Intern,327P,2269910,DESPESES PGDM,0,681,681,0,0,0,28
02,Promoció Econòmica,241M,1430015,BTB 38/15 DX-02 FSE PERSONAL NETEJA SUPERFICIES,0,53915.4,53915.4,29236.27,29236.27,29236.27,29
01,Alcaldia i Règim Intern,929J,2219900,SUBMINISTRAMENTS DIVERSOS JUTJAT,0.01,0,0.01,0,0,0,30
01,Alcaldia i Règim Intern,3322A,2219900,SUBMINISTRAMENTS DIVERSOS,200,0,200,0,0,0,31
02,Promoció Econòmica,241M,1600015,BTB 38/15 DX-02 FSE SEGURETAT SOCIAL NETEJA SUPERFICIES,0,18708.48,18708.48,8106.98,8106.98,8106.98,32
01,Alcaldia i Règim Intern,929J,2269900,DESPESES DIVERSES JUTJAT,0.01,0,0.01,0,0,0,33
01,Alcaldia i Règim Intern,3322A,2269900,DESPESES DESTRUCCIÓ PAPER,0.01,0,0.01,0,0,0,34
02,Promoció Econòmica,241M,2260612,OPE CURS GESTOR MAGATZEM,0,8351.14,8351.14,3616.12,3616.12,3616.12,35
01,Alcaldia i Règim Intern,931,1200000,BÀSIQUES A1 SERVEIS ECONÒMICS,14677.32,146.77,14824.09,10772.56,10772.56,10772.56,36
01,Alcaldia i Règim Intern,3322T,2269900,DESPESES ARXIU,800,0,800,0,0,0,37
02,Promoció Econòmica,241M,2260615,"OPE, CURS AUXILIARS MAGATZEM JOVES",0,5802,5802,2421.21,2421.21,2421.21,38
01,Alcaldia i Règim Intern,931,1200100,BÀSIQUES A2 SERVEIS ECONÒMICS,12906.52,129.07,13035.59,9423.5,9423.5,9423.5,39
01,Alcaldia i Règim Intern,491,1300000,BÀSIQUES COMUNICACIÓ,12906.52,1032.64,13939.16,10063.23,10063.23,10063.23,40
02,Promoció Econòmica,241MA,1430015,OPE PERSONAL TECNIC MARMI/53/2015 FSE,0,13398.33,13398.33,13398.33,13398.33,13398.33,41
01,Alcaldia i Règim Intern,931,1200300,BÀSIQUES C1 SERVEIS ECONÒMICS,9884.84,10082.54,19967.38,14657.31,14657.31,14657.31,42
01,Alcaldia i Règim Intern,491,1300200,ALTRES REMUNERACIONS COMUNICACIÓ,16431.32,2164.49,18595.81,13814.95,13814.95,13814.95,43
01,Alcaldia i Règim Intern,931,1200400,BÀSIQUES C2 SERVEIS ECONÒMICS,12567.87,-4105.5,8462.37,6046.98,6046.98,6046.98,44
02,Promoció Econòmica,241MA,1600015,OPE PERSONAL SEGURETAT SOCIAL MARMI/53/2015 FSE,0,4166.18,4166.18,4166.18,4166.18,4166.18,45
01,Alcaldia i Règim Intern,491,1310000,LABORAL TEMPORAL COMUNICACIÓ,0.01,0,0.01,0,0,0,46
01,Alcaldia i Règim Intern,931,1200600,TRIENNIS SERVEIS ECONÒMICS,7709.39,-1547.24,6162.15,4448.65,4448.65,4448.65,47
02,Promoció Econòmica,241MB,1430015,OPE PERSONAL OCUPACIÓ FSE,0,6590.72,6590.72,0,0,0,48
02,Promoció Econòmica,241F,1210113,OPE COMPLEMENT ESPECIFIC FEINATECA,0,1850.11,1850.11,0,0,0,49
01,Alcaldia i Règim Intern,491,1500100,PRODUCTIVITAT COMUNICACIÓ,700,-699.99,0.01,0,0,0,50
02,Promoció Econòmica,241MB,1600015,OPE SEGURETAT SOCIAL OCUPACIÓ FSE,0,3246.17,3246.17,0,0,0,51
02,Promoció Econòmica,241F,1430015,OPE PERSONAL FEINATECA,0,26724.91,26724.91,19479.7,19479.7,19479.7,52
01,Alcaldia i Règim Intern,931,1210000,COMPLEMENT DESTINACIÓ SERVEIS ECONÒMICS,29466.15,2451.08,31917.23,22964.02,22964.02,22964.02,53
02,Promoció Econòmica,241N,1200414,OPE BASIQUES C2 DISPOSITIU INSERCIO ADM (tb) FSE,0,211.46,211.46,0,0,0,54
01,Alcaldia i Règim Intern,491,1600000,SEGURETAT SOCIAL COMUNICACIÓ,9476.94,687.08,10164.02,6834.08,6834.08,6834.08,55
02,Promoció Econòmica,241F,1500014,OPE PRODUCTIVITAT FEINATECA,0,362.15,362.15,362.15,362.15,362.15,56
02,Promoció Econòmica,241N,1200415,BTB 38/15 A1-01 FSE PERSONAL SUPORT BASIQUES C2,0,8378.58,8378.58,5957.04,5957.04,5957.04,57
01,Alcaldia i Règim Intern,912,1200300,BÀSIQUES C1 GABINET ALCALDIA,9884.84,98.85,9983.69,7173.6,7173.6,7173.6,58
01,Alcaldia i Règim Intern,931,1210100,COMPLEMENT ESPECÍFIC SERVEIS ECONÒMICS,64335.48,4087.37,68422.85,51563.96,51563.96,51563.96,59
02,Promoció Econòmica,241F,1500100,OPE PRODUCTIVITAT FEINATECA,0,700.01,700.01,0,0,0,60
02,Promoció Econòmica,241N,1200615,BTB 38/15 A1-01 FSE PERSONAL SUPORT TRIENNIS,0,500.52,500.52,357.78,357.78,357.78,61
01,Alcaldia i Règim Intern,912,1200600,TRIENNIS GABINET ALCALDIA,3168.12,31.68,3199.8,2295.61,2295.61,2295.61,62
01,Alcaldia i Règim Intern,931,1500000,PRODUCTIVITAT SERVEIS ECONÒMICS,2800,-498,2302,1406.93,1406.93,1406.93,63
02,Promoció Econòmica,241F,1600015,OPE SEGURETAT SOCIAL FEINATECA,0,8431.71,8431.71,5621.12,5621.12,5621.12,64
