Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,Recaptació_líquida,Descirpció_orgànica,FID
09,31200,CENTRE OBERT TRIPIJOC,250,0,250,116.25,116.25,SERVEIS SOCIALS,1
09,32900,TAXA INSPECCIONS SANITÀRIES,2000,0,2000,1725,1725,SERVEIS SOCIALS,2
09,34100,SERVEI TRANSPORT ADAPTAT,5000,0,5000,1458,1458,SERVEIS SOCIALS,3
09,39900,ALTRES INGRESSOS BS,0,0,0,90,90,SERVEIS SOCIALS,4
09,45002,GENE - SUBV. PROJECTE IMMIGRACIÓ,37450,0,37450,0,0,SERVEIS SOCIALS,5
09,45030,GENE - SUBV. CENTRE OBERT TRIPIJOC,50000,0,50000,0,0,SERVEIS SOCIALS,6
09,45060,GENE - PROGRAMA DESENVOLUPAMENT COMUNITARI,32000,0,32000,0,0,SERVEIS SOCIALS,7
09,46100,DIPU - CONVENI SERVEIS SOCIALS,17400,0,17400,0,0,SERVEIS SOCIALS,8
09,46101,DIPU - SUBV.MEDIACIO CIUTADANA,14250,0,14250,0,0,SERVEIS SOCIALS,9
09,46102,DIPU - SUBV. XARXA SOCIAL SAD,22400,0,22400,0,0,SERVEIS SOCIALS,10
09,46103,DIPU - SUBV. SALUT PÚBLICA,11000,0,11000,45960,45960,SERVEIS SOCIALS,11
09,46132,DIPU - SUBV. PLA IGUALTAT,2500,0,2500,0,0,SERVEIS SOCIALS,12
09,46149,DIPU - SUBV. CONSUM,5000,0,5000,0,0,SERVEIS SOCIALS,13
09,46500,CONSELL COMARCAL - SUBV. TRANSPORT ADAPTAT,11000,0,11000,11601,11601,SERVEIS SOCIALS,14
12,31200,SERVEI ESCOLA BRESSOL,145000,0,145000,30954.45,30954.45,ESCOLA BRESSOL,15
09,76100,"DIPUTACIÓ, SUBV DESFIBRIL.LADORS",0,0,0,0,0,SERVEIS SOCIALS,16
02K5,45050,GENERALITAT SUBV SOC BTB 38/15 B1-01 NETEJA,0,0,0,0,0,PROMOCIÓ ECONÒMICA,17
01,11200,IBI RÚSTEGA,12000,0,12000,0,0,ALCALDIA I RÈGIM INTERN,18
02,46118,"DIPUTACIÓ, SUBV ACCIONSMVNS 17/Y/240173",0,0,0,0,0,PROMOCIÓ ECONÒMICA,19
09,78000,APORTACIONS EL SARRO,0,0,0,509.75,509.75,SERVEIS SOCIALS,20
13,36000,VENDES MATERIALS BRIGADA,0,0,0,0,0,BRIGADA,21
02K6,45050,GENE. SUBV 2016/PANP/SPOO/0028 FSE,0,0,0,0,0,PROMOCIÓ ECONÒMICA,22
01,11300,IBI URBANA,5650000,0,5650000,40635.95,25439.53,ALCALDIA I RÈGIM INTERN,23
14,31300,PISCINA MUNICIPAL,475000,0,475000,116219.38,116219.38,SERVEI A LES PERSONES,24
0905,46124,DIPUTACIÓ SUBV COHESIÓ SOCIAL 2015,0,0,0,0,0,SERVEIS SOCIALS,25
02L5,45050,GENERALITAT SUBV SOC BTB 38/15 DX-04 FSE AUXILIAR LLAR,0,0,0,0,0,PROMOCIÓ ECONÒMICA,26
02,46119,"DIPUTACIÓ, SUBV FIRA PORC I CERVESA 17/Y/240169",0,0,0,0,0,PROMOCIÓ ECONÒMICA,27
01,11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,1280000,0,1280000,1175415.7,42610.4,ALCALDIA I RÈGIM INTERN,28
0906,39901,APORTACIÓ SARRÓ,0,0,0,0,0,SERVEIS SOCIALS,29
02,46120,"DIPUTACIÓ, SUBV SUPORT SERVEIS I ACTIVITATS",0,0,0,0,0,PROMOCIÓ ECONÒMICA,30
02L6,45050,GENE - SOC. SUBV FEM OCUPACIÓ JOVES FOJ-13-2016,0,0,0,0,0,PROMOCIÓ ECONÒMICA,31
14,31301,TAXES UTILITZACIÓ PAVELLÓ,200,0,200,0,0,SERVEI A LES PERSONES,32
01,11600,IMPOST SOBRE L'INCREMENT DE VALOR DELS TERRENYS URBANS,800000,0,800000,192943.99,125618.93,ALCALDIA I RÈGIM INTERN,33
0906,45002,GENE - SUBV PROJECTE IMMIGRACIÓ,0,0,0,0,0,SERVEIS SOCIALS,34
02,46200,"AJUNT VIC, SUB CATALEG DIPU EMPRENADORS MICROEMPRESES",0,0,0,0,0,PROMOCIÓ ECONÒMICA,35
02M5,45050,GENERALITAT SUBV SOC BTB 38/15 DX-02 FSE NETEJA SUPERFÍCIES,0,0,0,0,0,PROMOCIÓ ECONÒMICA,36
14,31900,TAXES UTILITZACIÓ CAN PUGET,200,0,200,120,120,SERVEI A LES PERSONES,37
01,13000,IMPOST SOBRE ACTIVITATS ECONÒMIQUES,521000,0,521000,22770.27,20724.55,ALCALDIA I RÈGIM INTERN,38
0906,46105,DIPUTACIÓ. SUBV PROGRAMA COMPLEMENTÀRIS,0,0,0,0,0,SERVEIS SOCIALS,39
02,46201,"AJUNT VIC, INGRESSOS DIVERSOS IMPEVIC",0,0,0,0,0,PROMOCIÓ ECONÒMICA,40
02N5,45050,GENERALITAT SUBV 15/FOAP/029/0126443 FSE,0,0,0,0,0,PROMOCIÓ ECONÒMICA,41
14,34901,PREU PUBLIC PUBLICITAT MITJANS,12500,0,12500,745.55,23.07,SERVEI A LES PERSONES,42
01,30200,SERVEI DE RECOLLIDA D'ESCOMBRARIES,1270000,0,1270000,1676.63,-149.1,ALCALDIA I RÈGIM INTERN,43
0906,46106,DIPUTACIÓ. SUBV COHESIÓ SOCIAL,0,0,0,0,0,SERVEIS SOCIALS,44
14,39900,ALTRES INGRESSOS CULTURA,0,0,0,110,110,SERVEI A LES PERSONES,45
02Ñ5,45050,GENERALITAT SUBV TRANSVERSAL PT20150072,0,0,0,0,0,PROMOCIÓ ECONÒMICA,46
02,55001,CANON MERCAT MUNICIPAL,0,0,0,2629.39,2629.39,PROMOCIÓ ECONÒMICA,47
01,32500,TAXA PER EXPEDICIÓ DE DOCUMENTS,17500,0,17500,4121.03,4092.05,ALCALDIA I RÈGIM INTERN,48
0906,46107,DIPUTACIÓ. SUBV ACCIONS IGUALTAT 16Y221394,0,0,0,0,0,SERVEIS SOCIALS,49
14,46101,"DIPUTACIÓ, SUBV PROJ A TEMPS COMPLERT",0,0,0,0,0,SERVEI A LES PERSONES,50
02P5,45050,GENERALITAT SUBV SOC BTB 38/15 DX-10 FSE TREBALL SOCIOEDUCAT,0,0,0,0,0,PROMOCIÓ ECONÒMICA,51
0204,46106,DIPU-SUBV ACCIONS FOMENT OCUPACIÓ,0,0,0,0,0,PROMOCIÓ ECONÒMICA,52
01,32900,EXPEDICIÓ DE PLAQUES I SIMILARS,1500,0,1500,367.75,294.25,ALCALDIA I RÈGIM INTERN,53
0906,46109,DIPUTACIÓ. SUBV PROGRAMA SUPORT MEDIACIÓ,0,0,0,0,0,SERVEIS SOCIALS,54
02P6,45050,GENE - SOC. SUBV JOVES PRÀCTIQUES 2016/JENP/SP00/0004 FSE,0,0,0,0,0,PROMOCIÓ ECONÒMICA,55
0205,45050,"GENT SOC, SUBV INTERMEDIACIÓ SAC/14/00063 (fse)",0,0,0,0,0,PROMOCIÓ ECONÒMICA,56
01,33100,TAXA PER ENTRADA DE VEHICLES,150000,0,150000,-50.3,-77.05,ALCALDIA I RÈGIM INTERN,57
14,46102,"DIPUTACIÓ, SUBV CATÀLEG SERVEIS FESTA MAJOR",0,0,0,0,0,SERVEI A LES PERSONES,58
0906,46112,DIPUTACIÓ. CONVENI FINANÇAMENT BENESTAR SOCIAL,0,0,0,0,0,SERVEIS SOCIALS,59
0205,46128,"DIPUTACIÓ, SUBV INNOVACIÓ ESS",0,0,0,0,0,PROMOCIÓ ECONÒMICA,60
01,33200,TAXA APROF. ESP. EMP. SUBMINISTRADORES,236000,0,236000,73944.49,17138.35,ALCALDIA I RÈGIM INTERN,61
14,46103,"DIPUTACIÓ, SUBV PROG C ESCOLARITZACIÓ 2016-17 17/X/235707",0,0,0,0,0,SERVEI A LES PERSONES,62
02Q5,45050,"GENERALITAT, SUBV SOC B-041/15-02",0,0,0,0,0,PROMOCIÓ ECONÒMICA,63
0906,46113,DIPUTACIÓ. SUBV PROMOCIÓ SALUT,0,0,0,0,0,SERVEIS SOCIALS,64
0205,46178,"DIPUTACIÓ, SUBV CENTRE EMPRESES (AJ VIC) 15/Y/205779",0,0,0,0,0,PROMOCIÓ ECONÒMICA,65
01,33800,"COMPENSACIÓ DE TELEFONICA DE ESPAÑA, SA",45000,0,45000,11328.49,11328.49,ALCALDIA I RÈGIM INTERN,66
14,46105,DIPUTACIÓ SUBV ALFABETITZACIÓ 17/Y/239049,0,0,0,0,0,SERVEI A LES PERSONES,67
02Q6,45050,GENE - SOC. SUBV NOUS PROJECTES B-032/16-02,0,0,0,0,0,PROMOCIÓ ECONÒMICA,68
0906,46115,DIPUTACIÓ. SUBV SEGURETAT ALIMENTARIA,0,0,0,0,0,SERVEIS SOCIALS,69
14,46106,DIPUTACIÓ SUBV CURTMETRATGES 17/Y/239343,0,0,0,0,0,SERVEI A LES PERSONES,70
01,33900,ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DOMINI PUBLIC,0,0,0,720,720,ALCALDIA I RÈGIM INTERN,71
0206,34902,AULA MENTOR,0,0,0,0,0,PROMOCIÓ ECONÒMICA,72
02R5,45050,"GENERALITAT, SUBV SOC B-041/15-01",0,0,0,0,0,PROMOCIÓ ECONÒMICA,73
0906,46116,DIPUTACIÓ. SUBV SANITAT AMBIENTAL,0,0,0,0,0,SERVEIS SOCIALS,74
0206,34905,POP-UP EXPRES,0,0,0,0,0,PROMOCIÓ ECONÒMICA,75
01,34900,PREU PÚBLIC MATRIMONI CIVIL,2000,0,2000,245,245,ALCALDIA I RÈGIM INTERN,76
02R6,45050,GENE - SOC. SUBV OCUPACIÓ I COMPETITIVITAT B-032/16-01,0,0,0,0,0,PROMOCIÓ ECONÒMICA,77
14,46107,DIPUTACIÓ SUBV JOC NET 17/Y/237728,0,0,0,0,0,SERVEI A LES PERSONES,78
0906,46182,DIPUTACIÓ. SUBV AJUTS PROG COMPLEMENTARI ESCOLARITZACIÓ CURS,0,0,0,0,0,SERVEIS SOCIALS,79
0206,36000,CONSELL COMARCAL. CONVENI AUXILIAR MAGATZEM,0,0,0,0,0,PROMOCIÓ ECONÒMICA,80
01,38900,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0,0,0,0,0,ALCALDIA I RÈGIM INTERN,81
14,46108,DIPUTACIÓ SUBV ESDEVENIMENTS PROG 17/Y/237774,0,0,0,0,0,SERVEI A LES PERSONES,82
02S5,45050,"GENERALITAT, SUBV SOSTENIBILITAT SOC B-065/15-02",0,0,0,0,0,PROMOCIÓ ECONÒMICA,83
0906,47000,"CAIXABANC, APORTACIÓ DESFRIBILADORS",0,0,0,0,0,SERVEIS SOCIALS,84
14,46109,"DIPUTACIÓ, SUBV BEQUES EXCLUSIÓ 17/Y/237633",0,0,0,0,0,SERVEI A LES PERSONES,85
02S6,45050,GENE- SOC. SUBV SOSTENIBILITAT B-032/16-04,0,0,0,0,0,PROMOCIÓ ECONÒMICA,86
0206,45060,GENERALITAT. SUBV PREVENCIÓ RESIDUS,0,0,0,0,0,PROMOCIÓ ECONÒMICA,87
01,39110,MULTES PER INFRACCIONS TRIBUTÀRIES I ANÀLOGUES,8000,0,8000,1428.56,597.06,ALCALDIA I RÈGIM INTERN,88
0906,77000,"CAIXA BANC, APROTACIÓ DESFRIBILADORS",0,0,0,0,0,SERVEIS SOCIALS,89
14,55003,CONCESSIONS BAR CAMP DE FUTBOL,0,0,0,2420.62,2420.62,SERVEI A LES PERSONES,90
02T5,45050,GENER. SUBV SOC BTB 38/15 B2-01 FSE MANT EDIFICIS I FIBRA ÓP,0,0,0,0,0,PROMOCIÓ ECONÒMICA,91
0206,46100,DIPUTACIÓ. SUBV FIRA CIRC,0,0,0,0,0,PROMOCIÓ ECONÒMICA,92
