PROCEDIMIENT,TOTALS,Baix_Vila,Cavalleria,Dalt_Vila,disseminats,El_Puig,El_Verdaguer,Erm,Font_Tarres,Gracia,La_Coromina,La_Salut,La_Teuleria,Nou,Vilamirosa,Vista_Alegre,FID
Certificat d'aprofitament urbanístic,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Certificat de legalitat i antiguitat,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Certificat de qualificació urbanística,7,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,3
Certificat o informe de compatibilitat urbanística,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4
Comunicació de canvi de titularitat d'activitats,36,8,2,1,2,1,4,5,1,1,4,0,0,4,3,0,5
Comunicació prèvia ambiental municipal (Annex III),6,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,6
Comunicació prèvia de modificació no substancial d'una activitat amb efectes sobre les persones o el medi ambient,5,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,7
Comunicació prèvia d'obertura,37,2,3,4,1,3,3,9,1,1,5,0,0,1,4,0,8
Comunicació prèvia d'obres,212,34,13,15,6,13,2,40,1,25,14,9,0,18,20,2,9
"Comunicació prèvia municipal d'establiments fixos oberts al públic, d'espectacles públics i activitats recreatives ordinàries",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
Declaració responsable d'obertura,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
Elaborar o modificar el planejament urbanístic,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,12
Inspecció i control periòdics d'activitat,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13
Llicència ambiental (Annex II),3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,14
Llicència de parcel·lació urbanística / declaració innecessarietat / divisió en propietat horitzontal,13,2,1,0,3,1,0,2,0,3,0,0,0,0,1,0,15
Llicència de primera ocupació urbanística,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16
Llicències d'obres amb projecte,85,10,7,2,8,4,4,15,2,11,5,5,1,8,3,0,17
Llicències d'obres sense projectes,106,7,4,8,11,8,3,26,0,14,3,3,1,2,15,1,18
OBS Canvi no substancial d'una activitat,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19
OBS Canvi titularitat activitats,8,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,20
OBS Comunicació prèvia a l'exercici d'activitats de restauració o d'espectacles p·blics (Decret 112/2010),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21
Ofici o denúncia de disciplina urbanística,67,5,8,3,9,4,2,8,8,4,0,2,0,4,8,2,22
Procediment sancionador amb tramitació abreujada,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23
Retorn d'avals de llicències d'obres amb i sense projecte,18,2,5,0,4,0,0,2,1,0,1,2,0,0,1,0,24
Sol·licitud de llicència de guals,32,5,2,0,0,2,0,5,0,9,2,3,0,3,1,0,25
