"Proyecto/Centro","Taller","Plazas","Curso"
"EDUCARTE ARENALES","Pintura a",12,"2013/2014"
"EDUCARTE ARENALES","Pintura b",12,"2013/2014"
"EDUCARTE ARENALES","Corte y confección intermedio",20,"2013/2014"
"EDUCARTE ARENALES","Corte y confección inicial",20,"2013/2014"
"EDUCARTE ARENALES","Corte y confección c",20,"2013/2014"
"EDUCARTE ARENALES","Corte y confección d",20,"2013/2014"
"EDUCARTE LA PATERNA","Técnicas creativas",15,"2013/2014"
"EDUCARTE LA PATERNA","Pintura avanzada",15,"2013/2014"
"EDUCARTE LA PATERNA","Aero baile inicial",20,"2013/2014"
"EDUCARTE LA PATERNA","Aero baile avanzado",20,"2013/2014"
"EDUCARTE LA PATERNA","Informátic@ intermedio",20,"2013/2014"
"EDUCARTE LA PATERNA","Informátic@ inicial",20,"2013/2014"
"EDUCARTE LA PATERNA","Informátic@ avanzado b",20,"2013/2014"
"EDUCARTE LA PATERNA","Informátic@ avanzado a",20,"2013/2014"
"EDUCARTE LA PATERNA","Guitarra avanzado",20,"2013/2014"
"EDUCARTE LA PATERNA","Timple",20,"2013/2014"
"EDUCARTE LA PATERNA","Guitarra inicial",20,"2013/2014"
"EDUCARTE LA PATERNA","Mantenimiento físico",20,"2013/2014"
"EDUCARTE LA PATERNA","Pilates a",15,"2013/2014"
"EDUCARTE LA PATERNA","Pilates b",15,"2013/2014"
"EDUCARTE LA PATERNA","Inglés básico a",10,"2013/2014"
"EDUCARTE LA PATERNA","Inglés básico b",10,"2013/2014"
"UP CIUDAD ALTA","Alfarería a",15,"2013/2014"
"UP CIUDAD ALTA","Alfarería b",15,"2013/2014"
"UP CIUDAD ALTA","Alfarería c",15,"2013/2014"
"UP CIUDAD ALTA","Dibujo y pintura a",15,"2013/2014"
"UP CIUDAD ALTA","Dibujo y pintura b",15,"2013/2014"
"UP CIUDAD ALTA","Acuarela",15,"2013/2014"
"UP CIUDAD ALTA","Aula de proyectos pictóricos",15,"2013/2014"
"UP CIUDAD ALTA","Macramé a",16,"2013/2014"
"UP CIUDAD ALTA","Telares en bastidores y otras aplicaciones a",16,"2013/2014"
"UP CIUDAD ALTA","Macramé b",15,"2013/2014"
"UP CIUDAD ALTA","Telares en bastidores y otras aplicaciones b",17,"2013/2014"
"UP CONO SUR","Baile social",18,"2013/2014"
"UP CONO SUR","Trapera canaria a ganchillo",15,"2013/2014"
"UP CONO SUR","Baile canario",24,"2013/2014"
"UP CONO SUR","Baile social",18,"2013/2014"
"UP CONO SUR","Timple (básico)",15,"2013/2014"
"UP CONO SUR","Fusión timple + guitarra",20,"2013/2014"
"UP CONO SUR","Cultura canaria",20,"2013/2014"
"UP CONO SUR","Telares y tapices a",16,"2013/2014"
