"Nombre","Plazas"
"APARCAMIENTO INTERMODAL DEL RINCÓN",802
"PEDRO INFINITO",268
"CALLE ALICANTE (VEGA DE SAN JOSE)",325
"Aparcamientos VEGUETA",365
"AUDITORIO ALFREDO KRAUSS",400
"CARVAJAL",230
"CASABLANCA I",138
"CASABLANCA III",341
"SECRETARIO PADILLA",330
"PLAZA DE JUAN DEL RIO AYALA",469
"DON BENITO - SCHAMANN",450
"PLAZA DORAMAS",290
"ELDER",181
"FAST PARK (OFICINAS MUNICIPALES)",253
"FRENTE AL CC LA BALLENA",117
"LA FERIA I",287
"LA PUNTILLA",400
"MERCADO CENTRAL",206
"MERCADO DEL PUERTO",716
"NUEVOS JUZGADOS",462
"NUEVA PATERNA",180
"PLAZA RAFAEL O'SHANAHAN",487
"PLAZA DE ESPAÑA SABA",459
"PLAZA DEL PILAR",282
"PLAZA DEL PUEBLO",243
"PROLONGACIÓN PRIMERO DE MAYO",173
"ROTONDA ANTERIOR AL CC LA BALLENA",86
"CALLE RUPERTO CHAPI",230
"SAN BERNARDO",372
"SAN FRANCISCO(URBANIZACION COPHERFAN)",122
"JUZGADOS DE VEGUETA (SANTA ISABEL)",250
"PARQUE DE SAN TELMO",481
"EL SEBADAL (DEPOSITO MUNICIPAL)",139
"SUBIDA DE MATA",120
"MERCADO DE VEGUETA",215
"VENEGAS",691
"VIRGEN DEL LORETO",50
