"DILIG","LUGAR","ALTURA_DE","FECHA","HORA","VEHICULOS","HERIDOS","DESTINO","COLISION","INFR_COND","INFR_PEAT","DENUNCIAS"
1,"GC-23","KM. 2 NORTE",01/01/2011,"07:50",1,0,"Juzgado","Colisión","Sin definir","Ninguna infracción",0
2,"AVDA. DE CANARIAS","SANTIAGO TEJERA OSSAVARRY",01/01/2011,"09:30",2,0,"Juzgado","Colisión","Sin definir","Ninguna infracción",0
6,"CENTRO COMERCIAL LA BALLENA","APARCAMIENTO AEREO",02/01/2011,"10:30",2,1,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
7,"LUIS ANTUNEZ","ITALIA",02/01/2011,"14:15",2,1,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
8,"REPUBLICA DOMINICANA","COSTA RICA",02/01/2011,"17:30",2,0,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
9,"PARROCO SEGUNDO VEGA","26",02/01/2011,"19:05",4,0,"Jefatura","Atropello","Alcohol o drogas","Ninguna infracción",0
10,"LOMO LA PLANA",,02/01/2011,"17:00",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
11,"AVDA. ALCALDE JOSE RAMIREZ BETHENCOURT","ALCARAVANERA",02/01/2011,"21:20",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
12,"PINO APOLINARIO","RESTAURANTE GUINIGUADA",03/01/2011,"16:45",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
13,"AVDA. PINTOR FELO MONZON",,03/01/2011,"09:35",1,4,"Juzgado","Atropello","Conducción distraída","Ninguna infracción",1
14,"AVDA. ESCALERITAS","122",28/01/2011,"07:55",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",1
15,"AGUADULCE","37",03/01/2011,"13:45",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
16,"FARO","FERRERAS",03/01/2011,"10:30",5,7,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
17,"ALMATRICHE","ESTACION DE SERVICIO CEPSA",03/01/2011,"18:40",2,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
18,"PASEO TOMAS MORALES","65",04/01/2011,"02:48",2,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
19,"PLAZA NUESTRA SEÑORA DEL PINO",,04/01/2011,"10:45",2,1,"Jefatura","Colisión","Girar incorrectamente","Ninguna infracción",0
21,"PLAZA BARRANCO DE LA BALLENA",,04/01/2011,"22:45",2,1,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
22,"TUNEL 'JULIO LUENGO'","OESTE",04/01/2011,"15:45",2,0,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
23,"PARQUE MOVIL POLICIA LOCAL",,04/01/2011,"17:15",2,0,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
24,"CENTRO COMERCIAL LA BALLENA","APARCAMIENTO AEREO",05/01/2011,"17:00",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
25,"FRANCISCO GOURIE","77",05/01/2011,"23:00",2,0,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
26,"CARVAJAL","21",06/01/2011,"04:20",2,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
27,"PASEO SAN JOSE","ESQUINA PEDRO DIAZ",06/01/2011,"01:55",2,3,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
28,"URB. MESTISAY",,06/01/2011,"11:00",2,2,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
29,"PINO APOLINARIO","38",06/01/2011,"14:00",6,0,"Jefatura","Colisión","Estado o condición de la vía","Ninguna infracción",0
31,"AVDA. ALCALDE JOSE RAMIREZ BETHENCOURT","KM. 7 NORTE",03/01/2011,"09:50",2,1,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
32,"GC-2","ACCESO A GC-23",07/01/2011,"12:00",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
34,"BERNARDO DE LA TORRE","3",07/01/2011,"19:00",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
35,"AVDA. GUILLERMO SANTANA RIVERO","AVDA. DE LA FERIA",07/01/2011,"19:30",2,2,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
36,"AVDA. ESCALERITAS","ACCESO GC-23",07/01/2011,"20:05",1,2,"Juzgado","Atropello","Conducción distraída","Ninguna infracción",0
37,"CASA ROMAN","9",07/01/2011,"09:00",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
39,"GRAVINA","40",07/01/2011,"23:00",2,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
41,"SEVERO OCHOA","14",07/01/2011,"23:45",2,2,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
42,"AVDA. ALCALDE JUAN RODRIGUEZ DORESTE","CLUB NAUTICO NORTE",08/01/2011,"01:46",1,1,"Juzgado","Atropello","Alcohol o drogas","Ninguna infracción",0
43,"LEON Y CASTILLO","389",08/01/2011,"05:30",1,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
44,"AVDA. DE CANARIAS","KM. 3 SUR",08/01/2011,"06:45",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",1
45,"AVDA. DE LOS CAMBULLONEROS","PLAZA TRABAJADORES PORTUARIOS",08/01/2011,"10:30",1,1,"Jefatura","Otros","Conducción distraída","Ninguna infracción",0
46,"HOYA DE LA PLATA","ROTONDA DE ACCESO",07/01/2011,"19:35",2,1,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
47,"DOMINGO GUERRA DEL RIO","77",06/01/2011,"17:00",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",1
48,"DOLORES DE LA ROCHA","12",08/01/2011,"20:30",3,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
55,"AVDA. ESCALERITAS","177",08/01/2011,"21:20",2,1,"Juzgado","Colisión","Conducción distraída","Ninguna infracción",0
56,"BERNARDO DE LA TORRE","82",09/01/2011,"00:10",2,0,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
57,"DOCTOR MARAÑON","ENTRADA CRUZ DE PIEDRA",09/01/2011,"08:00",1,0,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
59,"GC-110","PARQUE DEL BATAN",09/01/2011,"12:36",1,0,"Jefatura","Otros","Sin definir","Ninguna infracción",0
61,"GC-23","ROTONDA FINAL",09/01/2011,"05:15",2,0,"Jefatura","Colisión","Girar incorrectamente","Ninguna infracción",0
62,"GC-23","KM. 0,200",02/01/2011,"13:00",3,1,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
63,"ARCHIVERO JOAQUIN BLANCO MONTESDEOCA",,02/01/2011,"20:10",2,1,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
64,"CENTRO COMERCIAL EL MIRADOR","APARCAMIENTO AEREO",02/01/2011,"14:40",2,0,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
65,"AVDA. DE LA FERIA","54",03/01/2011,"15:25",2,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
