"FECHA INICIO","FECHA FIN","CONSUMO TOTAL","TOTAL FACTURA"
13/12/2012,14/01/2013,4181,407.26
14/01/2013,14/02/2013,4536,461.09
14/02/2013,12/03/2013,3499,357.05
12/03/2013,12/04/2013,4002,349.84
12/04/2013,13/05/2013,2844,272.56
13/05/2013,17/06/2013,4083,337.21
17/06/2013,17/07/2013,3565,330.05
17/07/2013,14/08/2013,3356,326.80
14/08/2013,13/09/2013,3371,304.87
13/09/2013,15/10/2013,3835,356.13
15/10/2013,18/11/2013,4892,488.06
18/11/2013,22/11/2013,654,63.63
22/11/2013,18/12/2013,4598,202.12
18/12/2013,17/01/2014,5355,562.00
