latitude,longitude,name
28.072876610,-15.415523493,Cámara Hoya La Plata
28.090159426,-15.413859602,Cámara Lady H
28.115205571,-15.418109695,Cámara Fuente Luminosa
28.148703999,-15.421295078,Cámara Belén María
28.073041456,-15.416535714,DS 32
28.073069517,-15.416558511,DS 31
28.072926444,-15.415361228,DS 34
28.072932195,-15.415398904,DS 33
28.080750229,-15.416271393,DD 43
28.080734387,-15.416292972,DD 42
28.080733970,-15.416323576,DD 41
28.090821201,-15.412917126,DS 72
28.090824605,-15.412880271,DS 71
28.094569251,-15.412341727,DD 61
28.106022242,-15.413401579,DD 91
28.114190042,-15.417439578,DD 134
28.114203385,-15.417411761,DD 133
28.114217569,-15.417380920,DD 132
28.115742450,-15.418785884,DD 121
28.130857328,-15.429788185,PMV 16
28.130848139,-15.429712102,PMV 15
28.125204388,-15.427013302,PMV 14
28.125086794,-15.427227651,PMV 13
28.114950518,-15.418192098,PMV 11
28.115044327,-15.418026620,PMV 10
28.112080315,-15.415751160,PMV 9
28.119121907,-15.421634029,ERU 7
28.119157117,-15.421653261,PMV 12
28.115734255,-15.418829612,ERU 6
28.124067489,-15.426065284,ERU 8
28.129417959,-15.429587521,ERU 9
28.136288430,-15.429119734,PMV 17
28.136775433,-15.429041380,PMV 18
28.145147934,-15.429413810,PMV19
28.146312061,-15.428990060,DD 202
28.145952577,-15.429246326,ERU 11
28.148306199,-15.424282262,DD 212
28.148126471,-15.424922078,PMV7
28.148163522,-15.425340425,PMV20
28.148429195,-15.424345912,ERU12
28.106033871,-15.413346331,ERU5
28.107025597,-15.414110524,PMV8
28.095594412,-15.412284116,PMV6
28.085327611,-15.416251665,ERU3
28.079327203,-15.416067890,PMV3
28.080714885,-15.416422857,ERU2
28.086501269,-15.416141796,PMV4
28.061760396,-15.420088020,ERU1
28.064022762,-15.419202533,PMV2
28.059104231,-15.419918102,PMV1
28.094544813,-15.412305903,ERU4
28.095558128,-15.412152536,PMV5
28.086501269,-15.416141796,Cinemómetro 2312 Y 2316
28.125086794,-15.427227651,Cinemómetro 2313
28.095594412,-15.412284116,Cinemómetro 2314
28.115044327,-15.418026620,Cinemómetro 2315
28.079327203,-15.416067890,Cinemómetro 2317
