"dc:identifier";"dc:modified";"id";"lpgc:linea_id";"lpgc:nombre_parada";"lpgc:num_parada"
"14621334";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621334";"1462";"10";"1334"
"14621332";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621332";"1462";"11";"1332"
"14621330";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621330";"1462";"12";"1330"
"14621322";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621322";"1462";"13";"1322"
"14621320";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621320";"1462";"14";"1320"
"14621318";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621318";"1462";"15";"1318"
"14621259";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621259";"1462";"23";"1259"
"14621257";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621257";"1462";"22";"1257"
"14621255";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621255";"1462";"21";"1255"
"14621253";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621253";"1462";"20";"1253"
"14621251";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621251";"1462";"19";"1251"
"14621249";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621249";"1462";"18";"1249"
"14621247";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621247";"1462";"17";"1247"
"14621245";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14621245";"1462";"16";"1245"
"14611990";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611990";"1461";"1";"1990"
"14611987";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611987";"1461";"30";"1987"
"14611621";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611621";"1461";"29";"1621"
"14611559";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611559";"1461";"26";"1559"
"14611517";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611517";"1461";"28";"1517"
"14611515";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611515";"1461";"27";"1515"
"14611427";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611427";"1461";"2";"1427"
"14611345";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611345";"1461";"25";"1345"
"14611343";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611343";"1461";"24";"1343"
"14611341";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611341";"1461";"23";"1341"
"14611339";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611339";"1461";"22";"1339"
"14611337";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611337";"1461";"21";"1337"
"14611335";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611335";"1461";"20";"1335"
"14611333";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611333";"1461";"19";"1333"
"14611331";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611331";"1461";"18";"1331"
"14611321";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611321";"1461";"17";"1321"
"14611319";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611319";"1461";"16";"1319"
"14611317";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611317";"1461";"15";"1317"
"14611283";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611283";"1461";"14";"1283"
"14611281";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611281";"1461";"13";"1281"
"14611280";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611280";"1461";"3";"1280"
"14611276";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611276";"1461";"4";"1276"
"14611274";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611274";"1461";"5";"1274"
"14611272";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611272";"1461";"6";"1272"
"14611270";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611270";"1461";"7";"1270"
"14611266";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611266";"1461";"8";"1266"
"14611264";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611264";"1461";"12";"1264"
"14611048";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611048";"1461";"9";"1048"
"14611046";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611046";"1461";"10";"1046"
"14611044";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14611044";"1461";"11";"1044"
"14591995";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591995";"1459";"1";"1995"
"14591930";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591930";"1459";"35";"1930"
"14591780";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591780";"1459";"8";"1780"
"14591778";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591778";"1459";"9";"1778"
"14591766";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591766";"1459";"10";"1766"
"14591728";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591728";"1459";"4";"1728"
"14591724";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591724";"1459";"5";"1724"
"14591700";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591700";"1459";"14";"1700"
"14591698";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591698";"1459";"15";"1698"
"14591638";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591638";"1459";"13";"1638"
"14591636";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591636";"1459";"12";"1636"
"14591624";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591624";"1459";"11";"1624"
"14591608";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591608";"1459";"17";"1608"
"14591604";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591604";"1459";"16";"1604"
"14591576";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591576";"1459";"3";"1576"
"14591494";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591494";"1459";"34";"1494"
"14591471";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591471";"1459";"7";"1471"
"14591469";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591469";"1459";"6";"1469"
"14591388";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591388";"1459";"2";"1388"
"14591384";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591384";"1459";"23";"1384"
"14591373";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591373";"1459";"22";"1373"
"14591371";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591371";"1459";"21";"1371"
"14591072";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591072";"1459";"18";"1072"
"14591070";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591070";"1459";"19";"1070"
"14591068";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591068";"1459";"20";"1068"
"14591056";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14591056";"1459";"24";"1056"
"14411301";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411301";"1441";"21";"1301"
"14411299";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411299";"1441";"20";"1299"
"14411297";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411297";"1441";"19";"1297"
"14411295";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411295";"1441";"18";"1295"
"14411293";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411293";"1441";"17";"1293"
"14411291";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411291";"1441";"16";"1291"
"14411283";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411283";"1441";"5";"1283"
"14411281";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411281";"1441";"4";"1281"
"14411279";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411279";"1441";"3";"1279"
"14411031";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411031";"1441";"29";"1031"
"14411029";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411029";"1441";"28";"1029"
"14411027";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411027";"1441";"27";"1027"
"14411025";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411025";"1441";"26";"1025"
"14411020";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411020";"1441";"25";"1020"
"14411019";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14411019";"1441";"2";"1019"
"14361942";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361942";"1436";"19";"1942"
"14361903";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361903";"1436";"1";"1903"
"14361766";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361766";"1436";"3";"1766"
"14361734";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361734";"1436";"18";"1734"
"14361708";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361708";"1436";"14";"1708"
"14361700";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361700";"1436";"7";"1700"
"14361698";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361698";"1436";"8";"1698"
"14361638";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361638";"1436";"6";"1638"
"14361636";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361636";"1436";"5";"1636"
"14361624";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361624";"1436";"4";"1624"
"14361497";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361497";"1436";"15";"1497"
"14361404";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361404";"1436";"11";"1404"
"14361400";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361400";"1436";"16";"1400"
"14361398";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361398";"1436";"17";"1398"
"14361252";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361252";"1436";"2";"1252"
"14361188";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361188";"1436";"9";"1188"
"14361186";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361186";"1436";"10";"1186"
"14361176";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361176";"1436";"12";"1176"
"14361174";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14361174";"1436";"13";"1174"
"14341968";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341968";"1434";"1";"1968"
"14341942";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341942";"1434";"24";"1942"
"14341766";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341766";"1434";"8";"1766"
"14341734";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341734";"1434";"23";"1734"
"14341708";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341708";"1434";"19";"1708"
"14341700";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341700";"1434";"12";"1700"
"14341698";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341698";"1434";"13";"1698"
"14341691";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341691";"1434";"5";"1691"
"14341682";"2017-10-31 12:02:33";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_detalle_paradas/14341682";"1434";"4";"1682"
