"dc:identifier";"dc:modified";"id";"lpgc:num_concesion";"lpgc:num_linea"
"1581";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1581";"46";"322"
"1580";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1580";"52";"332"
"1579";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1579";"52";"321"
"1578";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1578";"26";"361"
"1577";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1577";"26";"351"
"1576";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1576";"48";"341"
"1575";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1575";"48";"331"
"1574";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1574";"64";"312"
"1573";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1573";"64";"311"
"1572";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1572";"7";"331"
"1569";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1569";"35";"331"
"1568";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1568";"53";"322"
"1567";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1567";"53";"321"
"1563";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1563";"62";"342"
"1562";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1562";"62";"321"
"1561";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1561";"44";"332"
"1560";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1560";"44";"331"
"1559";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1559";"32";"381"
"1558";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1558";"32";"371"
"1557";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1557";"32";"332"
"1556";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1556";"45";"322"
"1555";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1555";"45";"331"
"1554";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1554";"45";"312"
"1553";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1553";"11";"321"
"1552";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1552";"62";"331"
"1551";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1551";"44";"341"
"1548";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1548";"62";"332"
"1546";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1546";"45";"311"
"1544";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1544";"17";"312"
"1543";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1543";"32";"361"
