"dc:identifier";"dc:modified";"id";"lpgc:nombre_concesion";"lpgc:num_concesion";"lpgc:num_variante"
"1581";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1581";"TAMARACEITE - SIETE PALMAS (POR SAN LORENZO)";"46";"322"
"1580";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1580";"HOYA DE LA PLATA - PEDRO HIDALGO";"52";"332"
"1579";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1579";"HOYA DE LA PLATA - PEDRO HIDALGO";"52";"321"
"1578";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1578";"SANTA CATALINA - CAMPUS UNIVERSITARIO (POR SIETE PALMAS)";"26";"361"
"1577";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1577";"SANTA CATALINA - CAMPUS UNIVERSITARIO (POR SIETE PALMAS)";"26";"351"
"1576";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1576";"ESCALERITAS- CAMPUS UNIVERSITARIO";"48";"341"
"1575";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1575";"ESCALERITAS- CAMPUS UNIVERSITARIO";"48";"331"
"1574";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1574";"TEATRO - HOYA DE LA PLATA";"64";"312"
"1573";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1573";"TEATRO - HOYA DE LA PLATA";"64";"311"
"1572";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1572";"TEATRO - CAMPUS UNIVERSITARIO";"7";"331"
"1569";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1569";"AUDITORIO - LA BALLENA (POR LAS TORRES)";"35";"331"
"1568";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1568";"MERCADO DE VEGUETA - CONO SUR";"53";"322"
"1567";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1567";"MERCADO DE VEGUETA - CONO SUR";"53";"321"
"1563";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1563";"TEATRO- TAMARACEITE";"62";"342"
"1562";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1562";"TEATRO- TAMARACEITE";"62";"321"
"1561";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1561";"SANTA CATALINA - ISLA PERDIDA (POR LA CIRCUNVALACIÓN)";"44";"332"
"1560";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1560";"SANTA CATALINA - ISLA PERDIDA (POR LA CIRCUNVALACIÓN)";"44";"331"
"1559";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1559";"GUINIGUADA- AUDITORIO (POR SAN ANTONIO)";"32";"381"
"1558";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1558";"GUINIGUADA- AUDITORIO (POR SAN ANTONIO)";"32";"371"
"1557";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1557";"GUINIGUADA- AUDITORIO (POR SAN ANTONIO)";"32";"332"
"1556";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1556";"SANTA CATALINA - HOYA ANDREA";"45";"322"
"1555";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1555";"SANTA CATALINA - HOYA ANDREA";"45";"331"
"1554";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1554";"SANTA CATALINA - HOYA ANDREA";"45";"312"
"1553";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1553";"TEATRO - HOSPITAL DR. NEGRÍN (POR LA FERIA)";"11";"321"
"1552";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1552";"TEATRO- TAMARACEITE";"62";"331"
"1551";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1551";"SANTA CATALINA - ISLA PERDIDA (POR LA CIRCUNVALACIÓN)";"44";"341"
"1548";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1548";"TEATRO- TAMARACEITE";"62";"332"
"1546";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1546";"SANTA CATALINA - HOYA ANDREA";"45";"311"
"1544";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1544";"TEATRO - AUDITORIO";"17";"312"
"1543";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1543";"GUINIGUADA- AUDITORIO (POR SAN ANTONIO)";"32";"361"
"1542";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1542";"GUINIGUADA- AUDITORIO (POR SAN ANTONIO)";"32";"351"
"1541";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1541";"HOYA DE LA PLATA - SAN FRANCISCO DE PAULA";"6";"332"
"1533";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1533";"TEATRO - LA PATERNA";"82";"321"
"1532";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1532";"HOYA DE LA PLATA - CASABLANCA";"51";"321"
"1531";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1531";"SANTA CATALINA - LA PATERNA";"22";"321"
"1530";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1530";"ESCALERITAS- CAMPUS UNIVERSITARIO";"48";"322"
"1528";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1528";"GUINIGUADA- AUDITORIO (POR SAN ANTONIO)";"32";"322"
"1525";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1525";"SANTA CATALINA- HOSPITAL DR. NEGRÍN - LA FERIA - ESCALERITAS- PUERTO";"24";"312"
"1520";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1520";"TEATRO - LOMO DE LA CRUZ (POR SAN FRANCISCO)";"84";"322"
