"dc:identifier";"dc:modified";"geo:lat";"geo:long";"id";"lpgc:nombre_parada"
"1986";"2017-10-31 12:01:30";"28.104061";"-15.413307";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1986";"TEATRO"
"1985";"2017-10-31 12:01:30";"28.08301";"-15.438968";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1985";"C/ ARMINDA, 28 (EL SECADERO)"
"1984";"2017-10-31 12:01:30";"28.104292";"-15.413226";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1984";"TEATRO"
"1983";"2017-10-31 12:01:30";"28.07147";"-15.455304";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1983";"CAMPUS UNIVERSITARIO (INGENIERÍAS)    "
"1982";"2017-10-31 12:01:30";"28.104124";"-15.413204";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1982";"TEATRO"
"1980";"2017-10-31 12:01:30";"28.056679";"-15.451378";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1980";"C/ ARQUITECTO LAUREANO ARROYO (SAN FRANCISCO DE PAULA)"
"1979";"2017-10-31 12:01:30";"28.069817";"-15.41805";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1979";"HOYA DE LA PLATA"
"1978";"2017-10-31 12:01:30";"28.080563";"-15.425099";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1978";"CIUDAD DE SAN JUAN DE DIOS "
"1977";"2017-10-31 12:01:30";"28.123617";"-15.435433";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1977";"PASEO DE LA CORNISA"
"1976";"2017-10-31 12:01:30";"28.103992";"-15.413801";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1976";"TEATRO"
"1975";"2017-10-31 12:01:30";"28.093597";"-15.421958";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1975";"C/ BATERÍA DE SAN JUAN "
"1974";"2017-10-31 12:01:30";"28.067375";"-15.42912";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1974";"C/ SALAMANCA, 171 (PEDRO HIDALGO)"
"1973";"2017-10-31 12:01:30";"28.090067";"-15.461467";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1973";"C/ OTOÑO (HOYA ANDREA)"
"1972";"2017-10-31 12:01:30";"28.074102";"-15.428409";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1972";"C/ GAVILAN (RESIDENCIAL LOS GRANJEROS)"
"1971";"2017-10-31 12:01:30";"28.0952";"-15.456183";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1971";"AVDA DEL PINTOR FELO MONZÓN (HIPERCOR)"
"1970";"2017-10-31 12:01:30";"28.079119";"-15.422258";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1970";"C/ LEONARDO TORRIANI (ZÁRATE)"
