"dc:description";"dc:identifier";"dc:modified";"dc:title";"geo:lat";"geo:long";"id";"lpgc:direccion";"lpgc:pois";"lpgc:tipo"
"“…Las Palmas de Gran Canaria es más que una ciudad a orillas del mar. También tiene su huerto, el paisaje natural que la rodea y sin cuyo descubrimiento la visita a la capital no estaría completa…” Atractivos: 1.Jardín Botánico Viera y Clavijo 2. Real Club de Golf de Las Palmas 3.Caldera de Bandama 4. Zona vitivinícola ";"538";"2017-10-31 04:04:26";"Ruta Jardín Botánico Viera y Clavijo (Jardín Canario) - Bandama";"28.0369395";"-15.450742399999967";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/538";"Bandama 35017 Las Palmas de Gran Canaria";"28.0369395, -15.450742399999967";"Rutas"
"“…Triana es un barrio, es una calle, pero también una manera de ver el mundo. Debe su nombre al conocido barrio sevillano por la colonia de comerciantes andaluces que, junto con los ingleses y los daneses, la poblaron en su día, y fue la principal zona mercantil de Las Palmas de Gran Canaria… Atractivos:1.Teatro Pérez Galdós2.Biblioteca Insular3.Plaza Hurtado de Mendoza4.Plaza Cairasco5. Hotel Madrid6.Gabinete Literario7. Iglesia de San Francisco y Alameda de Colón8.Centro de Iniciativas Culturales de la Caja de Canarias(CICCA)9.Calle Mayor de Triana10. Casa Museo Pérez Galdós11. Palacete Rodríguez Quegles12.Parque de San Telmo y Ermita de San Telmo13.Cabildo Insular de Gran Canaria14.Castillo de Mata ";"539";"2017-10-31 04:04:26";"Ruta Barrio de Triana";"28.1054608";"-15.42007860000001";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/539";"Triana 35002 Las Palmas de Gran Canaria";"28.1054608, -15.42007860000001";"Rutas"
"“…Una torre y un campanario de piedra azulada hacen comprender al viajero que ha llegado al lugar donde todo empezó: Vegueta…”  Atractivos: 1. Catedral de Santa Ana2. Museo Diocesano de Arte Sacro3. Plaza de Santa Ana4. Obispado5. Casas Consistoriales6. Plaza del Espíritu Santo7. Museo Canario8. Plaza e Iglesia de Santo Domingo9. Iglesia de San Agustín - Audiencia Provincial - Colegio de Abogados10. Real Sociedad Económica de Amigos del País de Gran Canaria11. Centro Atlántico de Arte Moderno (CAAM)12. Plaza del Pilar Nuevo13. Casa de Colón14. Plaza y Ermita de San Antonio Abad15. Mercado de Vegueta16. Calle Mendizábal ";"540";"2017-10-31 04:04:26";"Ruta Barrio de Vegueta";"28.1016897";"-15.41486169999996";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/540";"Vegueta 35001 Las Palmas de Gran Canaria";"28.1016897, -15.41486169999996";"Rutas"
"“…El viajero creerá que se adentra en otra dimensión de Las Palmas de Gran Canaria y no andará errado. No sólo hemos cambiado de paisaje sino, más importante, hemos cambiado de tiempo…”Atractivos: 1.    Parque Doramas 2.    Hotel Santa Catalina 3.    Pueblo Canario y Ermita de Santa Catalina 4.    Museo Néstor 5.    Monumento Atis Tirma 6.    Muelle Deportivo 7.    Parque Romano 8.    Playa de Las Alcaravaneras 9.    Mercado Central ";"541";"2017-10-31 04:04:26";"Ruta Ciudad Jardín - Alcaravaneras";"28.1241331";"-15.432366399999978";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/541";"Ciudad Jardin35005 Las Palmas de Gran Canaria";"28.1241331, -15.432366399999978";"Ruta"
"“…Llegados a este punto, el olor a salitre y la brisa cercana nos avisan que el paisaje se dispone a cambiar de un modo manifiesto. Ahora se trata de la naturaleza en su apogeo, más que del capricho, la necesidad o el talento del hombre…  Atractivos: 1. Puerto de La Luz y de Las Palmas2. Castillo de La Luz3. Mercado del Puerto4. Edificio Woermann5. Museo Elder de la Ciencia y la Tecnología6. Parque de Santa Catalina7. Playa de Las Canteras8. Avenida José Mesa y López9. Auditorio Alfredo Kraus ";"542";"2017-10-31 04:04:26";"Ruta Parque Marítimo del Muelle Santa Catalina - Playa de las Canteras";"28.1406129";"-15.435789900000032";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/542";"Las Canteras 35007 Las Palmas de Gran Canaria";"28.1406129, -15.435789900000032";"Rutas"
"“…El barrio de Arenales nos lleva desde la ciudad antigua hasta la más moderna en un recorrido limpio y trazado lineal. Antaño una extensión inmensa de terreno despoblado, puede considerarse hoy el centro residencial de Las Palmas de Gran Canaria…” Atractivos:1.    Casa África2.    Plaza de la Feria3.    Comandancia de Marina4.    Fuente Luminosa5.    Centro Insular de Deportes ";"543";"2017-10-31 04:04:26";"Ruta Barrio de Arenales";"28.1096564";"-15.420810800000027";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/543";"Arenales 35004 Las Palmas de Gran Canaria";"28.1096564, -15.420810800000027";"Rutas"
"Ruta El Confital";"845";"2017-10-31 04:04:26";"Ruta El Confital";"28.151225";"-15.458204";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/845";"El Confital, Las Palmas de Gran Canaria";"28.151225,-15.458204,13";"Ruta"
"Ruta Parque de Santa Catalina - Zona Comercial Mesa y López";"846";"2017-10-31 04:04:26";"Ruta Parque de Santa Catalina - Zona Comercial Mesa y López";"28.1325557";"-15.4402469";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/846";"Santa Catalina - Mesa y López";"28.1325557,-15.4402469,16";"Ruta"
"Ruta San Telmo - San Cristóbal";"847";"2017-10-31 04:04:26";"Ruta San Telmo - San Cristóbal";"28.0572922";"-15.416326099999992";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/847";"San Telmo - San Cristóbal";"28.0572922, -15.416326099999992";"Ruta"
"Ruta San Cristóbal - La Laja";"848";"2017-10-31 04:04:26";"Ruta San Cristóbal - La Laja";"28.0572922";"-15.416326099999992";"http://datosabiertos.laspalmasgc.es/api/datos/rutas/848";"San Cristóbal, Las Palmas";"28.0572922, -15.416326099999992";"Ruta"
