DISTRITO,SECCION,MESA,OPCION,VOTOS
01,001,A,ACMA,0
01,001,A,AE,0
01,001,A,BL,3
01,001,A,CDE,0
01,001,A,DN,0
01,001,A,FEJ,0
01,001,A,ID,0
01,001,A,IUCM,56
01,001,A,LF,0
01,001,A,LV,4
01,001,A,MC,0
01,001,A,PCPE,0
01,001,A,PH,0
01,001,A,PM,0
01,001,A,PMMJ,0
01,001,A,PP,131
01,001,A,PSOE,130
01,001,A,UC,8
01,001,A,UCL,0
01,001,A,UL,0
01,001,B,ACMA,0
01,001,B,AE,1
01,001,B,BL,10
01,001,B,CDE,0
01,001,B,DN,0
01,001,B,FEJ,2
01,001,B,ID,0
01,001,B,IUCM,62
01,001,B,LF,0
01,001,B,LV,8
01,001,B,MC,0
01,001,B,PCPE,2
01,001,B,PH,0
01,001,B,PM,0
01,001,B,PMMJ,0
01,001,B,PP,173
01,001,B,PSOE,123
01,001,B,UC,1
01,001,B,UCL,1
01,001,B,UL,0
01,002,A,ACMA,0
01,002,A,AE,1
01,002,A,BL,6
01,002,A,CDE,0
01,002,A,DN,1
01,002,A,FEJ,0
01,002,A,ID,0
01,002,A,IUCM,145
01,002,A,LF,0
01,002,A,LV,5
01,002,A,MC,0
01,002,A,PCPE,1
01,002,A,PH,0
01,002,A,PM,0
01,002,A,PMMJ,0
01,002,A,PP,62
01,002,A,PSOE,186
01,002,A,UC,0
01,002,A,UCL,2
01,002,A,UL,0
01,002,B,ACMA,1
01,002,B,AE,0
01,002,B,BL,9
01,002,B,CDE,1
01,002,B,DN,0
01,002,B,FEJ,0
01,002,B,ID,0
01,002,B,IUCM,133
01,002,B,LF,0
01,002,B,LV,3
01,002,B,MC,0
01,002,B,PCPE,0
01,002,B,PH,0
01,002,B,PM,1
01,002,B,PMMJ,1
01,002,B,PP,80
01,002,B,PSOE,219
01,002,B,UC,0
01,002,B,UCL,3
01,002,B,UL,0
01,003,A,ACMA,1
01,003,A,AE,0
01,003,A,BL,0
01,003,A,CDE,0
01,003,A,DN,0
01,003,A,FEJ,0
01,003,A,ID,0
01,003,A,IUCM,132
01,003,A,LF,0
01,003,A,LV,5
01,003,A,MC,0
01,003,A,PCPE,0
01,003,A,PH,0
01,003,A,PM,0
01,003,A,PMMJ,0
01,003,A,PP,79
01,003,A,PSOE,171
01,003,A,UC,1
01,003,A,UCL,0
01,003,A,UL,0
01,003,B,ACMA,1
01,003,B,AE,0
01,003,B,BL,5
01,003,B,CDE,0
01,003,B,DN,0
01,003,B,FEJ,0
01,003,B,ID,0
01,003,B,IUCM,117
01,003,B,LF,0
01,003,B,LV,4
01,003,B,MC,0
01,003,B,PCPE,1
01,003,B,PH,0
01,003,B,PM,0
01,003,B,PMMJ,0
01,003,B,PP,86
01,003,B,PSOE,177
01,003,B,UC,0
01,003,B,UCL,0
01,003,B,UL,0
01,004,A,ACMA,2
01,004,A,AE,0
01,004,A,BL,12
01,004,A,CDE,2
01,004,A,DN,0
01,004,A,FEJ,0
01,004,A,ID,0
01,004,A,IUCM,110
01,004,A,LF,0
01,004,A,LV,10
01,004,A,MC,1
01,004,A,PCPE,1
01,004,A,PH,3
01,004,A,PM,0
01,004,A,PMMJ,0
01,004,A,PP,125
01,004,A,PSOE,220
01,004,A,UC,0
01,004,A,UCL,2
01,004,A,UL,0
01,004,B,ACMA,1
