DISTRITO,SECCION,MESA,OPCION,VOTOS
01,001,A,AA,0
01,001,A,AE,0
01,001,A,BL,4
01,001,A,CDL,0
01,001,A,CDS,0
01,001,A,CPE,0
01,001,A,DN,1
01,001,A,EU,0
01,001,A,FA,0
01,001,A,FEJ,0
01,001,A,FN,0
01,001,A,IARV,2
01,001,A,IF,0
01,001,A,IILSEP,0
01,001,A,IUCMLI,29
01,001,A,LCE,0
01,001,A,LV,2
01,001,A,LVGVE,1
01,001,A,MSR,0
01,001,A,PACMA,0
01,001,A,PCPE,0
01,001,A,PFV,0
01,001,A,PH,0
01,001,A,PMMJ,1
01,001,A,POSI,0
01,001,A,PP,91
01,001,A,PRC,0
01,001,A,PSA,0
01,001,A,PSOE,118
01,001,A,SAI,0
01,001,A,SZL,0
01,001,A,UCE,0
01,001,A,UCL,0
01,001,A,UNA,0
01,001,A,UPYD,13
01,001,A,UV,0
01,001,B,AA,0
01,001,B,AE,2
01,001,B,BL,3
01,001,B,CDL,0
01,001,B,CDS,0
01,001,B,CPE,0
01,001,B,DN,0
01,001,B,EU,0
01,001,B,FA,0
01,001,B,FEJ,2
01,001,B,FN,0
01,001,B,IARV,0
01,001,B,IF,0
01,001,B,IILSEP,2
01,001,B,IUCMLI,22
01,001,B,LCE,0
01,001,B,LV,1
01,001,B,LVGVE,1
01,001,B,MSR,0
01,001,B,PACMA,0
01,001,B,PCPE,1
01,001,B,PFV,0
01,001,B,PH,0
01,001,B,PMMJ,0
01,001,B,POSI,1
01,001,B,PP,134
01,001,B,PRC,0
01,001,B,PSA,0
01,001,B,PSOE,97
01,001,B,SAI,0
01,001,B,SZL,1
01,001,B,UCE,0
01,001,B,UCL,0
01,001,B,UNA,0
01,001,B,UPYD,19
01,001,B,UV,0
01,002,A,AA,0
01,002,A,AE,1
01,002,A,BL,2
01,002,A,CDL,0
01,002,A,CDS,1
01,002,A,CPE,0
01,002,A,DN,0
01,002,A,EU,0
01,002,A,FA,0
01,002,A,FEJ,0
01,002,A,FN,0
01,002,A,IARV,11
01,002,A,IF,0
01,002,A,IILSEP,1
01,002,A,IUCMLI,57
01,002,A,LCE,0
01,002,A,LV,1
01,002,A,LVGVE,1
01,002,A,MSR,0
01,002,A,PACMA,0
01,002,A,PCPE,0
01,002,A,PFV,0
01,002,A,PH,0
01,002,A,PMMJ,0
01,002,A,POSI,0
01,002,A,PP,35
01,002,A,PRC,0
01,002,A,PSA,0
01,002,A,PSOE,161
01,002,A,SAI,0
01,002,A,SZL,0
01,002,A,UCE,0
01,002,A,UCL,0
01,002,A,UNA,0
01,002,A,UPYD,14
01,002,A,UV,0
01,002,B,AA,0
01,002,B,AE,0
01,002,B,BL,0
01,002,B,CDL,1
01,002,B,CDS,0
01,002,B,CPE,0
01,002,B,DN,2
01,002,B,EU,0
01,002,B,FA,0
01,002,B,FEJ,1
01,002,B,FN,0
01,002,B,IARV,4
01,002,B,IF,0
01,002,B,IILSEP,2
01,002,B,IUCMLI,64
01,002,B,LCE,0
01,002,B,LV,1
01,002,B,LVGVE,6
01,002,B,MSR,0
01,002,B,PACMA,0
01,002,B,PCPE,1
01,002,B,PFV,0
01,002,B,PH,0
01,002,B,PMMJ,1
01,002,B,POSI,0
01,002,B,PP,44
01,002,B,PRC,0
01,002,B,PSA,0
01,002,B,PSOE,173
01,002,B,SAI,2
01,002,B,SZL,0
01,002,B,UCE,0
01,002,B,UCL,0
01,002,B,UNA,0
01,002,B,UPYD,22
01,002,B,UV,0
01,003,A,AA,0
01,003,A,AE,0
01,003,A,BL,1
01,003,A,CDL,0
01,003,A,CDS,0
01,003,A,CPE,0
01,003,A,DN,0
01,003,A,EU,0
01,003,A,FA,0
01,003,A,FEJ,1
01,003,A,FN,1
01,003,A,IARV,1
01,003,A,IF,0
01,003,A,IILSEP,0
01,003,A,IUCMLI,61
01,003,A,LCE,0
01,003,A,LV,1
01,003,A,LVGVE,1
01,003,A,MSR,0
01,003,A,PACMA,1
01,003,A,PCPE,0
01,003,A,PFV,0
01,003,A,PH,0
01,003,A,PMMJ,0
01,003,A,POSI,0
01,003,A,PP,47
01,003,A,PRC,0
01,003,A,PSA,0
01,003,A,PSOE,142
01,003,A,SAI,0
01,003,A,SZL,0
01,003,A,UCE,0
01,003,A,UCL,0
01,003,A,UNA,0
01,003,A,UPYD,8
01,003,A,UV,0
01,003,B,AA,0
01,003,B,AE,0
01,003,B,BL,2
01,003,B,CDL,0
01,003,B,CDS,0
01,003,B,CPE,1
01,003,B,DN,0
01,003,B,EU,1
01,003,B,FA,0
01,003,B,FEJ,0
01,003,B,FN,0
01,003,B,IARV,0
01,003,B,IF,0
01,003,B,IILSEP,5
01,003,B,IUCMLI,72
01,003,B,LCE,0
01,003,B,LV,0
01,003,B,LVGVE,2
01,003,B,MSR,0
01,003,B,PACMA,0
01,003,B,PCPE,0
01,003,B,PFV,0
01,003,B,PH,0
01,003,B,PMMJ,0
01,003,B,POSI,0
01,003,B,PP,50
01,003,B,PRC,0
01,003,B,PSA,0
01,003,B,PSOE,145
01,003,B,SAI,0
01,003,B,SZL,0
01,003,B,UCE,0
01,003,B,UCL,0
01,003,B,UNA,0
01,003,B,UPYD,9
01,003,B,UV,0
01,004,A,AA,0
01,004,A,AE,0
01,004,A,BL,5
01,004,A,CDL,0
01,004,A,CDS,1
01,004,A,CPE,0
01,004,A,DN,0
01,004,A,EU,2
01,004,A,FA,0
01,004,A,FEJ,1
01,004,A,FN,0
01,004,A,IARV,0
01,004,A,IF,0
