rango,hombres,mujeres
"De 0 a 5 años",3435,3246
"De 5 a 10 años",2925,2757
"De 10 a 15 años",2725,2574
"De 15 a 20 años",2356,2213
"De 20 a 25 años",2432,2322
"De 25 a 30 años",2734,2913
"De 30 a 35 años",3659,3602
"De 35 a 40 años",3996,4147
"De 40 a 45 años",3801,3866
"De 45 a 50 años",3576,3826
"De 50 a 55 años",3305,3440
"De 55 a 60 años",2626,2437
"De 60 a 65 años",1423,1369
"De 65 a 70 años",921,798
"De 70 a 75 años",428,483
"De 75 a 80 años",323,410
"De 80 a 85 años",222,367
"De 85 a 90 años",109,246
"Más de 90 años",43,118
