LON,LAT,NOMBRE,DIRECCION,IMAGEN
-3.528836271801765,40.357520148129439,Rocódromo,AV Cerro del Telégrafo s/n  28522,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_770_1.JPG
-3.515758135925131,40.338829833658174,Pista Deportiva de Barrio Dulce Chacón,CL Catalina San Martín s/n  28521,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_14249_1.jpg
-3.554345948130733,40.364791029789949,Pista Deportiva de Barrio Cañada Real,PZ de la Cañada Real s/n  28523,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_14247_1.jpg
-3.532032120815086,40.351510737102487,Pista Deportiva de Barrio Pablo Iglesias,AV de Pablo Iglesias s/n  28522,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_14256_1.jpg
-3.54239600983398,40.376911423096004,Pista Deportiva de Barrio Madres de la Plaza de Mayo,CL Madres de la Plaza de Mayo s/n  28523,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_14252_1.jpg
-3.529250531045325,40.347683536388089,Pista Deportiva de Barrio José Hierro,AV de José Hierro s/n  28522,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_14250_1.jpg
-3.529740814531789,40.357497067128861,Bike Park,AV Cerro del Telégrafo s/n  28522,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/1_1041_1.jpg
-3.520965376191196,40.339607197183767,Pista Deportiva de Barrio 1º de Mayo,AV 1º de mayo s/n  28521,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_14253_1.jpg
-3.554492522666163,40.359990919225652,Pista Deportiva de Barrio Dolores Ibarruri,PZ Dolores Ibarruri s/n  28523,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_14251_1.jpg
-3.536423353941468,40.366797570712393,Pista Deportiva de Barrio La Partija,PS de la Chopera s/n  28523,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_625_1.JPG
-3.519721855055555,40.329895943571465,Pista Deportiva de Barrio Casa Grande,CL Suiza s/n  28521,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_14248_1.jpg
-3.529668441048496,40.37120368554821,Pista Deportiva de Barrio Santa Marta,CL Aigües Tortes s/n  28522,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_628_1.jpg
-3.551842026778266,40.357059200520069,Pista Deportiva de Barrio Parque de Montarco,AV de Covibar s/n  25523,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_627_1.jpg
-3.527863527935227,40.356824485258052,Pista Deportiva de Barrio Parque Bellavista,AV Cerro del Telégrafo s/n  28522,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_622_1.JPG
