CARRER_CODI,CARRER_TIPUS,CARRER_NOM
27,C,COLOM
665,C,SIURANA
707,C,MONCAU
708,PTGE,MONCAU
709,C,ENCANTATS
764,POLIG,SECTOR H
765,POLIG,SECTOR A
769,CP,CASTELLNOU - CASETA POSTAL
77,C,GENERAL PRIM
770,CP,CAN SOLA - CASETA POSTAL
771,C,ALFARRAS
772,PARC,CAN SANT JOAN
774,CP,SANT MUÇ - CASETA POSTAL
775,C,RIGOBERTA MENCHU
776,C,TENZIN GIATSO
777,C,OSCAR ARIAS
778,C,ELIE WIESEL
814,C,CAN POLIT
815,C,SOLIDARITAT
816,C,TOLERANCIA
817,C,LLIBERTAT
818,C,POESIA
940,PTGE,COLOMS
951,C,CAROLINES
952,AV,RUBI
9525,DS,CAN PI DE LA SE
953,C,PONIOL
61,C,MENDEZ NUÑEZ
610,C,ALCOVER
611,C,AMETLLA
627,PTGE,ABRERA
954,PTGE,SANT CRISTOFOL
955,C,SANT ESTEVE
956,AV,SANT MUÇ
957,C,CIVADA
965,PTGE,TRES TORRES
973,PAS,CEPS
63,C,MOLI
630,PTGE,AVIA
631,C,ARENYS
632,PTGE,ARENYS
633,C,ARGENTONA
634,C,ARTESA
635,C,BISBAL
636,C,BEGUES
663,C,CAMPRODON
212,C,MAR
213,TRAV,MAR
214,C,CASCADA
215,C,VOLUNTAT
267,C,FONT DEL FERRO
269,PTGE,LLOBATERAS
270,C,IRIARTE
271,C,EBRE
272,C,SEGRE
273,C,DURAN I BAS
274,C,DOCTOR ZAMENHOF
275,CAMI,CAN ROSES
4,C,BAILEN
40,PG,FERROCARRIL
400,C,TRAFALGAR
401,TRAV,TRAFALGAR
276,C,PRIMER DE MAIG
277,CTRA,MOLINS DE REI
283,C,FRANCISCO GUERRERO
295,C,VIVALDI
296,C,SCHUBERT
398,C,SANTA RITA
533,C,SIERRA NEVADA
534,C,PUIGMADRONA
570,C,HOQUEI
578,PL,NOVA
579,AV,OLIMPIADES
58,C,MAGALLANES
580,PL,PICASSO
581,C,PILOTA BASCA
582,C,PING PONG
583,C,PLATI
584,C,RAMON Y CAJAL
585,PTGE,SANT FRANCESC
586,PTGE,SANT MUÇ
588,PL,SARDANA
589,C,SEGARRA
59,C,JOAN MARAGALL
591,C,TEROL
601,C,PETANCA
609,C,ANGLESOLA
52,C,JUAN RAMON JIMENEZ
520,PTGE,STRAVINSKY
521,C,TXAIKOVSKI
523,C,TURQUESA
71,C,NOU
719,C,HEMINGWAY
72,C,CA N'ORIOL
720,C,HERMANN HESSE
721,C,KIPLING
722,C,THOMAS MANN
723,CAMI,MARTINES (LES)
724,C,PABLO NERUDA
725,C,PIRANDELLO
726,C,BERTRAN ROUSSELL
73,C,ORSO
759,POLIG,SECTOR X
76,C,PERE ESMENDIA
760,POLIG,SECTOR Y
761,POLIG,SECTOR B
762,POLIG,SECTOR W
763,POLIG,SECTOR R
402,C,SANTA EULALIA
403,PTGE,BAILEN
411,C,MARCONI
412,AV,ESTATUT
414,C,SANT ROC
416,.,COVA SOLERA
419,.,SPORTENIS
42,C,PINTOR FORTUNY
420,AV,CATALUNYA
428,C,GUATLLA
466,.,CAN SERRAFOSSA
479,PTGE,BACH
48,PG,PAU CLARIS
484,C,CARCASSI
5050,.,CAN PONS
675,AV,CASTELLNOU
676,C,MOLINA (LA)
677,C,PEDRAFORCA
678,C,VIELLA
679,PTGE,PEDRAFORCA
695,C,MONTNEGRE
5060,LLOC,CAN PI DE VILAROC
511,PL,OCELLS
512,PL,PEP ROVIRA
513,PL,PROGRES
515,C,RAVEL
516,CAMI,RIERA
517,PTGE,SCHUBERT
518,PTGE,SCHUMANN
519,PTGE,STRAUSS
529,URBAT,CAN BARCELO
53,C,DOCTOR ROBERT
530,URBAT,VALLESPARK
531,URBAT,CAN CARRERAS
576,C,FRANCISCO ALONSO
628,C,ALFORJA
629,PTGE,ALINS
664,C,SENIA
302,C,FALCO
303,C,TULIPA
304,C,CERVOL
305,C,LLIRI
306,C,PINSA
307,C,VALL
308,C,AVETS
309,C,ESQUIROL
31,C,DOCTOR GIMBERNAT
310,C,PERDIU
311,C,ALIGA
312,C,PELICA
313,C,ROSSINYOL
314,AV,CAN SUCARRATS
315,C,ORENETA
316,C,PARDAL
317,C,GASELA
318,C,CIGONYA
319,C,LLACUNA
32,C,FLORIDABLANCA
320,C,PANTA
321,C,CANARI
322,C,TORTORA
323,C,TALLERS
324,C,SAFIR
325,C,PLATA
326,C,DIAMANT
327,AV,CAN FATJO
208,C,PRUDENCIA
329,C,PERLA
33,PL,DOCTOR GUARDIET
666,C,CONESA
667,C,COLOMERS
668,C,CELRA
696,C,RASOS DE PEGUERA
697,PTGE,MONTNEGRE
698,C,CAN MATARI
699,C,MONTCARO
