nomTramit,servei,tramitPresencial,tramitTelefonic,tramitTelematica,urlCarpetaCiutadana,urlRegitreTelematic,documents,adreces,perfilCiutadania,perfilEntitats,perfilEmpreses,perfilComercs,perfilEmprenedors,perfilProveidors,temes,contadorVisites,dataModificacio
Ajuts a escoles públiques per al manteniment de centre,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Instància en castellà</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cast.pdf</doc_url></documento><documento><doc_nombre>Ajuts al centre per al manteniment correctiu dels centres d'educació infantil i primària públics</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/MMM_201410111172_176337.pdf</doc_url></documento>,,no,si,no,no,no,si,"<tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",845,04/18/2016 07:32:01 AM
Ajuts al transport per a 4rt ESO i educació postobligatòria al JV Foix,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Sol·licitud d'ajut al transport JV Foix</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_201692410711_55402.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema><tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",1228,10/24/2016 08:46:13 AM
Ajuts per a activitats/projectes pedagògics que realitzen els centres educatius públics,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Bases reguladores d'ajuts a escoles i instituts de la ciutat per a activitats i projectes pedagògics</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/bases_reguladores_d__ajuts__a__activitats_i_o_projectes_pedag_gics.pdf</doc_url></documento><documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento>,,no,si,no,no,no,si,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema><tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",857,04/18/2016 07:34:56 AM
Ajuts per al pagament de l'IBI per a persones amb escasa capacitat econòmica,U025 - OFICINA DE GESTIÓ D'INGRESSOS,si,no,no,,,<documento><doc_nombre>Sol·licitud ajut IBI per a persones amb escasa capacitat econòmica</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/sfm_2016513151139_47125.pdf</doc_url></documento><documento><doc_nombre>Comunicació dades bancàries</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/rac_201541510322_39906.pdf</doc_url></documento><documento><doc_nombre>Bases reguladores dels ajuts per al pagament d'IBI per a persones amb escassa capacitat econòmica</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/sfm_201651411828_48455.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",3790,01/03/2017 08:12:17 AM
Alta al Padró Municipal d'Habitants,U019 - OAC,si,no,no,,,<documento><doc_nombre>Autorització empadronament</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/AUTORITZACIO_GENERICA.pdf</doc_url></documento>,,si,no,no,no,no,no,,2543,06/04/2015 06:18:16 AM
Anul·lació de lloguer de nínxol,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància anulació lloguer nínxol</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492131057_417061.pdf</doc_url></documento>,"<direccion><dir_nombre>Cementiri Municipal</dir_nombre><dir_direccion>Crta. Sabadell Km.13, 08191 Rubí</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>935887722</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari habitual:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>dilluns a dissabte, de 9 a 13 h i de 15 a 18 h. Diumenges i festius, de 9 a 14 h.<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horaris especials:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de juny a setembre de 9 a 13 h i tardes de 16 a 19 h. (de dilluns a dissabtes)<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari d'oficina</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de dilluns a divendres de 9 a 13 h</span></p>]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,709,01/02/2017 09:17:10 AM
Assabentat d'obres menors,U044 - LLICÈNCIES,si,no,no,,,,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",3096,01/02/2017 09:19:41 AM
Canvi de nom de drets funeraris de sepultures,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància canvi nom drets sepultures Inter-Vius</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492131253_419576.pdf</doc_url></documento><documento><doc_nombre>Instància canvi nom drets sepultures Mortis-Causa</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492131348_446680.pdf</doc_url></documento><documento><doc_nombre>Instància canvi nom drets sepultures provisional</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492131447_438802.pdf</doc_url></documento>,"<direccion><dir_nombre>Cementiri Municipal</dir_nombre><dir_direccion>Crta. Sabadell Km.13, 08191 Rubí</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>935887722</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari habitual:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>dilluns a dissabte, de 9 a 13 h i de 15 a 18 h. Diumenges i festius, de 9 a 14 h.<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horaris especials:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de juny a setembre de 9 a 13 h i tardes de 16 a 19 h. (de dilluns a dissabtes)<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari d'oficina</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de dilluns a divendres de 9 a 13 h</span></p>]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,717,01/02/2017 09:22:03 AM
Celebració de matrimonis civils al Castell de Rubí - Ajuntament de Rubí,U007 - GABINET D'ALCALDIA,si,no,no,,,,"<direccion><dir_nombre>Ajuntament de Rubí</dir_nombre><dir_direccion>Plaça de Pere Aguilera, 1</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>RUBI</dir_municipio><dir_telefono>93 5887000</dir_telefono><dir_web>http://www.rubi.cat</dir_web><dir_horario><![CDATA[]]></dir_horario></direccion>",si,no,no,no,no,no,"<tema><tem_codigo>1</tem_codigo><tem_nombre>Temes personals (celebració de matrimoni, volant d'empadronament...)</tem_nombre></tema>",1393,09/29/2016 10:14:33 AM
Certificacions Cadastrals,U025 - OFICINA DE GESTIÓ D'INGRESSOS,si,no,no,,,<documento><doc_nombre>Taxa per expedició de documents administratius</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/Taxa per expedicio de documents administratius.pdf</doc_url></documento>,,si,no,si,no,no,no,<tema><tem_codigo>26</tem_codigo><tem_nombre>Certificats</tem_nombre></tema>,1396,01/03/2017 08:20:15 AM
