ID,OPERACIO,NIF,NOM,DESC_DESPESES,NUM_FACTURA,DATA_FACTURA,DATA_COMPTABILITZACIO,SIGNE,IMPORT_OBLICACIO,ORGANIC,FUNCIONAL,ECONOMIC,DESC_APLICACIO,EXERCICI_PRESUPOST,DADES
220150011787-22015001599,220150011787,B58519406,CAMPOS ESTELA DE RESTAURACION SL,SERVEI CATERING 132115 PAUSA CAFE pastisseria invent nro 17 bar one lexpresso kit PROJECTE REMIDA,2519,2015-02-28T00:00:00.000+01:00,2015-06-18T00:00:00.000+02:00,+,337.19,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150049470-22015008298,220150049470,A08523540,COMERCIAL BB SA,SOPAR BENVINGUDA PONENTS 2N CONGRES I REPRESENTANTS AJUNTAMENT,01/1503645,2015-11-17T00:00:00.000+01:00,2015-12-31T00:00:00.000+01:00,+,675,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150049360-22015007954,220150049360,B08564874,CS ESTABLIMENTS DE PROXIMITAT SL,CATRING PER A LA JORNADA TNCNICA DEL RUBÍ BRILLA EL DIA 910,US 15001706,2015-10-30T00:00:00.000+01:00,2015-12-31T00:00:00.000+01:00,+,203.11,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150004243-22015001600,220150004243,B08564874,CS ESTABLIMENTS DE PROXIMITAT SL,Venta Mercancias RUBI BRILLA,US 15000136,2015-02-28T00:00:00.000+01:00,2015-04-21T00:00:00.000+02:00,+,28.49,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150046240-22015007978,220150046240,B66380304,ENTONSESBROT SL,invitados cattering II Congreso Rubí Brilla celebrado el 13112015 ref num 22015003570,6,2015-11-24T00:00:00.000+01:00,2015-12-24T00:00:00.000+01:00,+,1095.6,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150048657-22015008075,220150048657,G62739180,ROMANI QUALITAT DE VIDA,CATERING DINAR 2N CONGRÉS RUBÍ BRILLA,13047,2015-11-13T00:00:00.000+01:00,2015-12-31T00:00:00.000+01:00,+,2946.9,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150011844-22015003619,220150011844,B08676595,ROSAS 5 SL,HIELO BOLSA 2 KG APROX,FV1501039,2015-04-21T00:00:00.000+02:00,2015-06-18T00:00:00.000+02:00,+,6.77,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150007433-22015003145,220150007433,B08676595,ROSAS 5 SL,PETIT BERNAT PETIT SIOS BLANC PRIVAT BRUT NATURE AIGUA DEL MONTSENY 8 L,FV1501038,2015-04-21T00:00:00.000+02:00,2015-05-13T00:00:00.000+02:00,+,191.86,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150048595-22015008089,220150048595,B07012107,VIAJES BARCELO SL,AVION 030 6174406644 VUELINGLocalizador J999WZFec Emisión 0411201512112015 JEREZ DE LA FRONTERABARCELONA,E00/1281/3775/0,2015-11-30T00:00:00.000+01:00,2015-12-31T00:00:00.000+01:00,+,1589.88,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150007442-22015002549,220150007442,,,Ctering per lacte dentrega de distintius als comeros participants al projecte Comer SostenibleREMIDA,15-5,2015-03-18T00:00:00.000+01:00,2015-05-13T00:00:00.000+02:00,+,568.07,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
