ANY_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,PARTIT_SIGLES,PARTIT_VOTS
2007,M07,Eleccions Municipals 07,ERC,2077
1995,A95,Eleccions al Parlament de Catalunya 95,ICV-EUiA,3467
1994,E94,Eleccions al Parlament Europeu 94,ICV-EUiA,2889
2003,A03,Eleccions al Parlament  de Catalunya 03,ICV-EUiA,1729
2000,C00,Eleccions a Corts Generals 00,PP,6500
2015,A2015,Eleccions al Parlament de Catalunya 2015,PSC,6703
1999,M99,Eleccions Municipals 99,ICV-EUiA,7036
2000,C00,Eleccions a Corts Generals 00,PSC,12064
2015,A2015,Eleccions al Parlament de Catalunya 2015,PP,3397
1999,M99,Eleccions Municipals 99,PP,2421
1980,A80,Eleccions al Parlament de Catalunya 80,ERC,1197
2000,C00,Eleccions a Corts Generals 00,ICV-EUiA,1165
1986,C86,Eleccions a Corts Generals 86,PSC,12394
1999,M99,Eleccions Municipals 99,PSC,5271
1983,M83,Eleccions Municipals 83,PP,1023
2003,A03,Eleccions al Parlament  de Catalunya 03,PSC,11333
1994,E94,Eleccions al Parlament Europeu 94,PSC,6629
2004,C04,Eleccions a Corts Generals 04,ERC,4270
1995,A95,Eleccions al Parlament de Catalunya 95,PSC,6735
1983,M83,Eleccions Municipals 83,PSC,2937
2003,A03,Eleccions al Parlament  de Catalunya 03,PP,3323
1994,E94,Eleccions al Parlament Europeu 94,PP,2921
1989,E89,Eleccions al Parlament Europeu 89,ERC-ACC,409
1995,A95,Eleccions al Parlament de Catalunya 95,PP,2634
1979,M79,Eleccions Municipals 79,PSC,4948
2006,A06,Eleccions al Parlament de Catalunya 06,PP,2806
1989,E89,Eleccions al Parlament Europeu 89,PP,908
2010,A2010,Eleccions al Parlament de Catalunya 2010,PP,3923
1999,A99,Eleccions al Parlament de Catalunya 99,ICV-EUiA,894
2004,E04,Eleccions al Parlament Europeu 04,ERC,1607
2015,M2015,Eleccions Municipals 2015,ERC-AM,4224
1994,E94,Eleccions al Parlament Europeu 94,ERC-ACC,801
2006,A06,Eleccions al Parlament de Catalunya 06,PSC,8059
2011,M2011,Eleccions Municipals 2011,ICV-EUiA,2765
1989,E89,Eleccions al Parlament Europeu 89,PSC,8915
2010,A2010,Eleccions al Parlament de Catalunya 2010,PSC,5725
1989,C89,Eleccions a Corts Generals 89,ERC,525
1999,E99,Eleccions al Parlament Europeu 99,PP,3481
2012,A2012,Eleccions al Parlament de Catalunya 2012,ERC,3647
1987,M87,Eleccions Municipals 87,PSC,4289
2015,C2015,Eleccions Generals 2015,ERC-CATSÍ,3895
2014,E2014,Eleccions al Parlament Europeu 2014,ICV-EUiA,2694
2011,C11,Eleccions a Corts Generals 2011,PSC,10923
2008,C08,Eleccions a Corts Generals 08,PP,6442
1996,C96,Eleccions a Corts Generals 96,PP,4888
1992,A92,Eleccions al Parlament de Catalunya 92,PSC,6030
1993,C93,Eleccions a Corts Generals 93,PP,3505
2011,C11,Eleccions a Corts Generals 2011,PP,7907
2008,C08,Eleccions a Corts Generals 08,PSC,18737
1996,C96,Eleccions a Corts Generals 96,PSC,15752
1992,A92,Eleccions al Parlament de Catalunya 92,PP,648
2003,M03,Eleccions Municipals  03,ERC,2230
1993,C93,Eleccions a Corts Generals 93,PSC,12950
1988,A88,Eleccions al Parlament de Catalunya 88,ERC,591
1993,C93,Eleccions a Corts Generals 93,ICV-EUiA,2578
2015,C2015,Eleccions Generals 2015,PP,4182
1996,C96,Eleccions a Corts Generals 96,ICV-EUiA,3462
2008,C08,Eleccions a Corts Generals 08,ICV-EUiA,1792
2014,E2014,Eleccions al Parlament Europeu 2014,PP,2236
2015,M2015,Eleccions Municipals 2015,ICV-E,2531
1995,M95,Eleccions Municipals 95,ERC,1162
2015,C2015,Eleccions Generals 2015,PSC,7413
1992,A92,Eleccions al Parlament de Catalunya 92,ICV-EUiA,1714
2014,E2014,Eleccions al Parlament Europeu 2014,PSC,4352
2011,C11,Eleccions a Corts Generals 2011,ICV-EUiA,3529
1987,M87,Eleccions Municipals 87,ICV-EUiA,11170
1999,A99,Eleccions al Parlament de Catalunya 99,PP,2224
1979,C79,Eleccions a Corts Generals 79,PSC,6508
1982,C82,Eleccions a Corts Generals 82,ERC,804
1991,M91,Eleccions Municipals 91,ERC,924
1989,E89,Eleccions al Parlament Europeu 89,ICV-EUiA,1572
2010,A2010,Eleccions al Parlament de Catalunya 2010,ICV-EUiA,2385
2006,A06,Eleccions al Parlament de Catalunya 06,ICV-EUiA,2343
2011,M2011,Eleccions Municipals 2011,PSC,6245
1999,A99,Eleccions al Parlament de Catalunya 99,PSC,11618
1984,A84,Eleccions al Parlament de Catalunya 84,ERC,627
2011,M2011,Eleccions Municipals 2011,PP,4596
1995,M95,Eleccions Municipals 95,PSC,4436
1988,A88,Eleccions al Parlament de Catalunya 88,PP,549
1977,C77,Eleccions a Corts Generals 77,PSC,6044
1995,M95,Eleccions Municipals 95,PP,2594
