ID,DATA_CONVOCATORIA,ANY_CONVOCATORIA,CODI_TIPUS_CONVOCATORIA,TIPUS_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,MESA_CODI,MESA_DISTRICTE,MESA_SECCIO,MESA,MESA_OBERTA,MESA_COMUNICADA,MESA_HORA_COMUNICADA,MESA_CENS,MESA_AVANÇ1,MESA_AVANÇ2,MESA_AVANÇ3,MESA_VOTS_NULS,MESA_VOTS_BLANCS,MESA_TOTAL_VOTS,PARTIT_ENTEL,PARTIT_COLOR,PARTIT_CODI,PARTIT_SIGLES,PARTIT_NOM,PARTIT_VOTS,TOTAL_CENS,TOTAL_AVANC1,TOTAL_AVANC2,TOTAL_AVANC3,TOTAL_VOTS_NULS,TOTAL_VOTS_BLANCS,DADES,ESTAT
2016-C2016-3900-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,63,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3900-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,41,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3900-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,3,#2E9AFE,2,PP,Partit Popular,82,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3900-222,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,4,#6B8B23,222,PACMA,Partit Antitaurí Contra el Maltractament Animal,4,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3900-223,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,5,#EF7A36,223,Cs,Ciutadans - Partido de la Ciudadania,62,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3900-298,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,6,#08088A,298,CDC,Convergencia Democràtica de Catalunya,14,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3900-294,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,7,#008000,294,RECORTESCERO,Recortes Cero-Grupo Verde,1,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3900-296,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,8,#97668B,296,ECP,En Comú Podem,113,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3900-14,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3900,1,1,A,SI,SI,23:01,553,207,292,386,4,2,386,9,#FF0000,14,PCPC,Partit Comunista del Poble de Catalunya,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3901-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3901,1,1,B,SI,SI,22:50,719,264,392,500,3,5,500,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,108,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3901-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3901,1,1,B,SI,SI,22:50,719,264,392,500,3,5,500,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,51,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3901-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3901,1,1,B,SI,SI,22:50,719,264,392,500,3,5,500,3,#2E9AFE,2,PP,Partit Popular,75,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
