ANY_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,PARTIT_SIGLES,PARTIT_VOTS
,,,,
1984,A84,Eleccions al Parlament de Catalunya 84,P.E.D.,9
1989,C89,Eleccions a Corts Generals 89,PEC-VERDE,70
1999,A99,Eleccions al Parlament de Catalunya 99,UC-CDS,12
2003,A03,Eleccions al Parlament  de Catalunya 03,LI(LIT-CI),11
2000,C00,Eleccions a Corts Generals 00,IR,21
1996,C96,Eleccions a Corts Generals 96,UC,13
1993,C93,Eleccions a Corts Generals 93,RUIZ-MATEO,42
1994,E94,Eleccions al Parlament Europeu 94,PCPE,74
2009,E09,Eleccions al Parlament Europeu 09,ER-EPV,1251
2010,A2010,Eleccions al Parlament de Catalunya 2010,PECAS,15
1994,E94,Eleccions al Parlament Europeu 94,ADN,4
1988,A88,Eleccions al Parlament de Catalunya 88,A.V-M.E.C,64
1995,M95,Eleccions Municipals 95,COP,196
2004,C04,Eleccions a Corts Generals 04,PFiV,18
2004,E04,Eleccions al Parlament Europeu 04,PH,4
1989,E89,Eleccions al Parlament Europeu 89,PV,133
2000,C00,Eleccions a Corts Generals 00,CIU,4973
2003,A03,Eleccions al Parlament  de Catalunya 03,ICV-EUiA,1729
2009,E09,Eleccions al Parlament Europeu 09,FE de las JONS,7
1989,C89,Eleccions a Corts Generals 89,FE de las JONS,9
2014,E2014,Eleccions al Parlament Europeu 2014,MovimeintoRed,191
1982,C82,Eleccions a Corts Generals 82,C.T.C.,12
2000,C00,Eleccions a Corts Generals 00,PP,6500
2004,C04,Eleccions a Corts Generals 04,EB,34
1989,E89,Eleccions al Parlament Europeu 89,RUIZ-MATEO,331
2004,C04,Eleccions a Corts Generals 04,N,4
2015,A2015,Eleccions al Parlament de Catalunya 2015,PSC,6703
1999,M99,Eleccions Municipals 99,ICV-EUiA,7036
2009,E09,Eleccions al Parlament Europeu 09,PREPAL,1
1999,A99,Eleccions al Parlament de Catalunya 99,EV-CEC,208
2008,C08,Eleccions a Corts Generals 08,PxCat,6
2011,M2011,Eleccions Municipals 2011,Cs,886
2000,C00,Eleccions a Corts Generals 00,PSC,12064
2004,C04,Eleccions a Corts Generals 04,EI-ADD,29
1979,C79,Eleccions a Corts Generals 79,UCE,67
2015,A2015,Eleccions al Parlament de Catalunya 2015,PP,3397
1993,C93,Eleccions a Corts Generals 93,FA,1
1977,C77,Eleccions a Corts Generals 77,C.C.,220
1995,M95,Eleccions Municipals 95,AEC-EVE,275
1999,M99,Eleccions Municipals 99,PP,2421
1980,A80,Eleccions al Parlament de Catalunya 80,PNE,269
2014,E2014,Eleccions al Parlament Europeu 2014,PA,9
2014,E2014,Eleccions al Parlament Europeu 2014,ProyectoEuropa,4
2000,C00,Eleccions a Corts Generals 00,ICV-EUiA,1165
2010,A2010,Eleccions al Parlament de Catalunya 2010,Cs,1377
2010,A2010,Eleccions al Parlament de Catalunya 2010,DESDEBAIX,43
2006,A06,Eleccions al Parlament de Catalunya 06,POSI,58
2010,A2010,Eleccions al Parlament de Catalunya 2010,RI.cat,140
2004,C04,Eleccions a Corts Generals 04,DN,21
2003,A03,Eleccions al Parlament  de Catalunya 03,CIU,5864
1978,R78,Referèndum Constitucional 78,null,0
1999,M99,Eleccions Municipals 99,PSC,5271
2015,M2015,Eleccions Municipals 2015,PxC,698
1979,C79,Eleccions a Corts Generals 79,L.C.R.,182
2009,E09,Eleccions al Parlament Europeu 09,MSR,5
1979,M79,Eleccions Municipals 79,CC-UCD,1278
1986,C86,Eleccions a Corts Generals 86,PCC,647
2012,A2012,Eleccions al Parlament de Catalunya 2012,CUP,845
1977,C77,Eleccions a Corts Generals 77,F.U.T.,176
1983,M83,Eleccions Municipals 83,CIU,1682
2012,A2012,Eleccions al Parlament de Catalunya 2012,PxC,744
1983,M83,Eleccions Municipals 83,PP,1023
2003,A03,Eleccions al Parlament  de Catalunya 03,PSC,11333
2009,E09,Eleccions al Parlament Europeu 09,PACMA,85
2008,C08,Eleccions a Corts Generals 08,PARCARCAT,1
2012,A2012,Eleccions al Parlament de Catalunya 2012,PACMA,276
1999,E99,Eleccions al Parlament Europeu 99,URCL,7
2004,C04,Eleccions a Corts Generals 04,ERC,4270
1986,S86,Eleccions al Senat 86,null,0
1982,C82,Eleccions a Corts Generals 82,SOLID. ES.,30
2008,C08,Eleccions a Corts Generals 08,PDLPEA,51
2012,A2012,Eleccions al Parlament de Catalunya 2012,SI,364
2008,C08,Eleccions a Corts Generals 08,POSI,10
2010,A2010,Eleccions al Parlament de Catalunya 2010,PCPC,27
2011,C11,Eleccions a Corts Generals 2011,UCE,57
1983,M83,Eleccions Municipals 83,PSC,2937
1999,E99,Eleccions al Parlament Europeu 99,UC-CDS,20
2003,A03,Eleccions al Parlament  de Catalunya 03,PHC,9
2003,A03,Eleccions al Parlament  de Catalunya 03,PP,3323
1979,C79,Eleccions a Corts Generals 79,P.S.U.C.,4630
1989,E89,Eleccions al Parlament Europeu 89,ERC-ACC,409
1989,E89,Eleccions al Parlament Europeu 89,PCARLISTA,5
1994,E94,Eleccions al Parlament Europeu 94,EU,17
1988,A88,Eleccions al Parlament de Catalunya 88,J.E.,13
1999,M99,Eleccions Municipals 99,CIU,3491
2006,A06,Eleccions al Parlament de Catalunya 06,PP,2806
2006,A06,Eleccions al Parlament de Catalunya 06,PHC,22
2008,C08,Eleccions a Corts Generals 08,PUM+J,13
1989,E89,Eleccions al Parlament Europeu 89,PCC,386
2004,E04,Eleccions al Parlament Europeu 04,N.I.V,3
1980,A80,Eleccions al Parlament de Catalunya 80,P.N.I.,49
1992,A92,Eleccions al Parlament de Catalunya 92,CIU,5500
1995,A95,Eleccions al Parlament de Catalunya 95,PICC-PIE,11
1999,A99,Eleccions al Parlament de Catalunya 99,ICV-EUiA,894
2004,E04,Eleccions al Parlament Europeu 04,ERC,1607
1994,E94,Eleccions al Parlament Europeu 94,ERC-ACC,801
2011,C11,Eleccions a Corts Generals 2011,CIU,6215
1999,E99,Eleccions al Parlament Europeu 99,ACV,4
1994,E94,Eleccions al Parlament Europeu 94,PCARLISTA,4
2006,A06,Eleccions al Parlament de Catalunya 06,PSC,8059
1999,M99,Eleccions Municipals 99,EV-CEC,635
1999,E99,Eleccions al Parlament Europeu 99,PP,3481
2008,C08,Eleccions a Corts Generals 08,CIU,4124
1996,C96,Eleccions a Corts Generals 96,CIU,5623
1987,M87,Eleccions Municipals 87,PSC,4289
1999,E99,Eleccions al Parlament Europeu 99,COF,33
2009,E09,Eleccions al Parlament Europeu 09,AA,2
2015,C2015,Eleccions Generals 2015,ERC-CATSÍ,3895
2014,E2014,Eleccions al Parlament Europeu 2014,ICV-EUiA,2694
1988,A88,Eleccions al Parlament de Catalunya 88,EVE,55
2011,C11,Eleccions a Corts Generals 2011,PSC,10923
2008,C08,Eleccions a Corts Generals 08,PP,6442
1989,C89,Eleccions a Corts Generals 89,C.S.D.,50
1996,C96,Eleccions a Corts Generals 96,PP,4888
2004,E04,Eleccions al Parlament Europeu 04,DN,16
1992,A92,Eleccions al Parlament de Catalunya 92,PSC,6030
1999,E99,Eleccions al Parlament Europeu 99,CIU,3843
2004,E04,Eleccions al Parlament Europeu 04,P.CANABIS,93
1987,M87,Eleccions Municipals 87,CIU,2498
1986,C86,Eleccions a Corts Generals 86,L.O.C.,8
2011,C11,Eleccions a Corts Generals 2011,PP,7907
2008,C08,Eleccions a Corts Generals 08,PSC,18737
1999,E99,Eleccions al Parlament Europeu 99,TC-PNC,6
1996,C96,Eleccions a Corts Generals 96,PSC,15752
2003,A03,Eleccions al Parlament  de Catalunya 03,POSI,46
1986,C86,Eleccions a Corts Generals 86,UPR,12
1992,A92,Eleccions al Parlament de Catalunya 92,PP,648
2003,M03,Eleccions Municipals  03,ERC,2230
1996,C96,Eleccions a Corts Generals 96,PRT,27
2006,A06,Eleccions al Parlament de Catalunya 06,CIU,5625
1977,C77,Eleccions a Corts Generals 77,P.S.P.C.,248
2015,A2015,Eleccions al Parlament de Catalunya 2015,CatSiqueesPot,4981
2009,E09,Eleccions al Parlament Europeu 09,CDS,4
1989,C89,Eleccions a Corts Generals 89,CDS,1119
1988,A88,Eleccions al Parlament de Catalunya 88,ERC,591
2000,C00,Eleccions a Corts Generals 00,UC-CDS,13
1979,C79,Eleccions a Corts Generals 79,CIU,2113
2015,C2015,Eleccions Generals 2015,PP,4182
1996,C96,Eleccions a Corts Generals 96,ICV-EUiA,3462
2008,C08,Eleccions a Corts Generals 08,ICV-EUiA,1792
2014,E2014,Eleccions al Parlament Europeu 2014,PP,2236
1980,A80,Eleccions al Parlament de Catalunya 80,FE de las JONS,46
1995,M95,Eleccions Municipals 95,ERC,1162
2008,C08,Eleccions a Corts Generals 08,LI(LIT-CI),3
1999,E99,Eleccions al Parlament Europeu 99,AUN,5
2015,C2015,Eleccions Generals 2015,PSC,7413
1992,A92,Eleccions al Parlament de Catalunya 92,ICV-EUiA,1714
1983,M83,Eleccions Municipals 83,PEC-PCC,1051
1979,C79,Eleccions a Corts Generals 79,IR,153
1999,A99,Eleccions al Parlament de Catalunya 99,CIU,6621
2014,E2014,Eleccions al Parlament Europeu 2014,PSC,4352
1989,C89,Eleccions a Corts Generals 89,P.O.R.E.,31
2011,C11,Eleccions a Corts Generals 2011,ICV-EUiA,3529
1977,C77,Eleccions a Corts Generals 77,C.T.B.,57
1994,E94,Eleccions al Parlament Europeu 94,RUIZ-MATEO,60
1987,M87,Eleccions Municipals 87,ICV-EUiA,11170
2008,C08,Eleccions a Corts Generals 08,IR-PRE,35
1984,A84,Eleccions al Parlament de Catalunya 84,M.C.C-OEC,0
1989,C89,Eleccions a Corts Generals 89,P.S.T.,121
2008,C08,Eleccions a Corts Generals 08,AUN,3
1999,A99,Eleccions al Parlament de Catalunya 99,PP,2224
1999,A99,Eleccions al Parlament de Catalunya 99,PHC,9
1979,C79,Eleccions a Corts Generals 79,PSC,6508
1982,C82,Eleccions a Corts Generals 82,ERC,804
1991,M91,Eleccions Municipals 91,ERC,924
1983,M83,Eleccions Municipals 83,P.S.U.C.,12660
2006,A06,Eleccions al Parlament de Catalunya 06,ICV-EUiA,2343
2014,E2014,Eleccions al Parlament Europeu 2014,CIU,2606
1988,A88,Eleccions al Parlament de Catalunya 88,EV - LV,44
1999,A99,Eleccions al Parlament de Catalunya 99,PSC,11618
2004,C04,Eleccions a Corts Generals 04,PH,17
2004,E04,Eleccions al Parlament Europeu 04,PFiV,15
1980,A80,Eleccions al Parlament de Catalunya 80,BEAN-U.P.,68
2010,A2010,Eleccions al Parlament de Catalunya 2010,UPyD,106
2004,E04,Eleccions al Parlament Europeu 04,ARALAR,3
1999,E99,Eleccions al Parlament Europeu 99,CE,12
1984,A84,Eleccions al Parlament de Catalunya 84,ERC,627
1996,C96,Eleccions a Corts Generals 96,VE-AEC,85
